axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2
pt,0,0.1432223439216614,0.1067291498184204,0.0017891570019939148,0.11266058871466399,0.09135982205546458,0.0239889214760773,-0.1664726046546477,-0.01748970521915818
pt,1,0.16647763550281525,0.1432223439216614,0.002054165789663746,0.09251479128071245,0.09611321893962897,0.028723588044199805,-0.27321916664690593,-0.0029717901993421307
pt,2,0.18857827484607695,0.16647763550281525,0.001962860214832412,0.08226831776097013,0.09063188646539733,0.03354341159377637,-0.1562081503793446,-0.13758438166712084
pt,3,0.2108415126800537,0.18857827484607695,0.0020666021372773616,0.0891734464279831,0.08413938607284742,0.031098650814173883,-0.17911619229365427,0.03578178735621109
pt,4,0.2341358065605164,0.2108415126800537,0.0022687864082783765,0.08315922954396869,0.10104324580045522,0.03391572312282973,-0.1325378741865028,-0.04012565259015495
pt,5,0.25929955840110785,0.2341358065605164,0.0022453450023960436,0.08366689651444394,0.08000283905666615,0.03008124677009255,-0.34571351318013843,0.15653020661805503
pt,6,0.2879805088043213,0.25929955840110785,0.0023204156508747167,0.09455296706286449,0.0846548666574851,0.02995652094676593,0.08831911083883683,0.15340331600623738
pt,7,0.3234374105930328,0.2879805088043213,0.002089647637967468,0.07955687878640114,0.08536032420836824,0.03363473355895189,-0.2906998373827633,-0.030013148114241182
pt,8,0.37589795589447017,0.3234374105930328,0.0020540578864215297,0.08502453468236029,0.07790889015605372,0.035828842644715024,-0.06423159147473542,-0.04494149997793969
pt,9,0.6019378304481506,0.37589795589447017,0.0023234222567896676,0.09612651644747218,0.08957638854535362,0.030031630769786214,-0.039413282832032374,0.14333848648859068
q2,0,0.1432223439216614,0.1067291498184204,0.0017867460562737403,0.11199727970991556,0.09073278579151509,0.02399758307107857,-0.16730187374685804,-0.018326101915522492
q2,1,0.16647763550281525,0.1432223439216614,0.0020407014570710527,0.09254245215244022,0.09523884663397184,0.02871410732686276,-0.2737845205541298,-0.002917454395179553
q2,2,0.18857827484607695,0.16647763550281525,0.0019450132301623282,0.08207137762234448,0.08961390266636884,0.03355069899754844,-0.15705068173173062,-0.13788628537829092
q2,3,0.2108415126800537,0.18857827484607695,0.0020659571302929962,0.08898271867830242,0.08411288628858041,0.03110034706310229,-0.178152518270774,0.03538223737400592
q2,4,0.2341358065605164,0.2108415126800537,0.0023064905387330356,0.08273068469396998,0.10245947175585275,0.03391240043266574,-0.13274140633052786,-0.03966997510015467
q2,5,0.25929955840110785,0.2341358065605164,0.002230859085266313,0.08356050287200915,0.07935026257979265,0.030094100412337246,-0.3452749225131571,0.15610195503579055
q2,6,0.2879805088043213,0.25929955840110785,0.00233699327313224,0.09415416070455043,0.08476718756202078,0.029971617322286013,0.08891867885724405,0.15310020797363866
q2,7,0.3234374105930328,0.2879805088043213,0.0020842861630275523,0.08000110035803869,0.08524324023938461,0.03362245077854851,-0.2913570078022033,-0.029549494940410457
q2,8,0.37589795589447017,0.3234374105930328,0.0020559021879588382,0.08497671283167411,0.07788662813134116,0.03582062714528784,-0.063984681962467,-0.04507374036486279
q2,9,0.6019378304481506,0.37589795589447017,0.0023536478379125366,0.0970505001274119,0.09092056362547687,0.030018758511712224,-0.03913478709783597,0.14317297076535737
x,0,0.1432223439216614,0.1067291498184204,0.0017849464226458065,0.11298978111281897,0.0913773843362181,0.023987953674925424,-0.16641113436706984,-0.017890503946399437
x,1,0.16647763550281525,0.1432223439216614,0.0020346797521588697,0.0924937035708,0.0954805338350346,0.028722305776223808,-0.27296844697884964,-0.0033490422855301347
x,2,0.18857827484607695,0.16647763550281525,0.001954248781229204,0.08188795897294492,0.08992730719500289,0.033541009532553054,-0.1571176240131872,-0.13743635753604697
x,3,0.2108415126800537,0.18857827484607695,0.0020559570951564935,0.08905327195659647,0.08377157848130577,0.03110149963901267,-0.17882235029139917,0.035584158292183816
x,4,0.2341358065605164,0.2108415126800537,0.002274278118346924,0.08304953348512077,0.1017035684825216,0.03391050493832186,-0.13215758009923667,-0.039513894912212896
x,5,0.25929955840110785,0.2341358065605164,0.0022440861229175543,0.08351959696004664,0.07977041252697763,0.030094751993592475,-0.34575904995400136,0.15559603084278617
x,6,0.2879805088043213,0.25929955840110785,0.0023094184663936547,0.09396813734211104,0.08441096266337408,0.029972499462417264,0.08817116554398637,0.15256078877012427
x,7,0.3234374105930328,0.2879805088043213,0.0020918564101973024,0.07967423202950953,0.08552926377488146,0.03361586507651491,-0.29170920398342015,-0.029338090916960248
x,8,0.37589795589447017,0.3234374105930328,0.0020319784588755767,0.08501088208512396,0.07731127220243836,0.035793137104099676,-0.06398558972859249,-0.043748078961665444
x,9,0.6019378304481506,0.37589795589447017,0.0023464768869043908,0.0966398542370144,0.09116258555741741,0.030025625563437457,-0.039955105312361114,0.14307706105732176
z,0,0.1432223439216614,0.1067291498184204,0.0017842623550399807,0.11317139116580002,0.09088649642454426,0.02398622192620585,-0.1665914460983528,-0.017203066936946593
z,1,0.16647763550281525,0.1432223439216614,0.0020299036259089887,0.09192713975193828,0.09514060042314261,0.028732416692344106,-0.273592468668569,-0.0036218522493760463
z,2,0.18857827484607695,0.16647763550281525,0.0019579637576116744,0.08283273367042841,0.08996116945570401,0.03354890024032021,-0.15653184396268702,-0.13772621409392632
z,3,0.2108415126800537,0.18857827484607695,0.0020663321839002125,0.08944674696137003,0.08392009756619026,0.03110744712132519,-0.17946194417786626,0.03555986367644926
z,4,0.2341358065605164,0.2108415126800537,0.0022906147368958064,0.0827003840809437,0.10263174945475682,0.03392642948952092,-0.1330301379329753,-0.040163211002597045
z,5,0.25929955840110785,0.2341358065605164,0.002221034515823098,0.0838837093089948,0.07914563311739298,0.030078338179290575,-0.3453664358339436,0.15646859079920825
z,6,0.2879805088043213,0.25929955840110785,0.0023244195043090675,0.09517379359427817,0.08494574840816392,0.029957489064519387,0.08846060662508008,0.15312659257783554
z,7,0.3234374105930328,0.2879805088043213,0.0020777529976120455,0.07983171480231918,0.08506995610803103,0.0336219601617448,-0.2911922427386093,-0.029808456651874735
z,8,0.37589795589447017,0.3234374105930328,0.002037084555087984,0.08491551399238417,0.07782118247049191,0.03582237479776528,-0.0639241426214848,-0.0450495016296013
z,9,0.6019378304481506,0.37589795589447017,0.0023499847942160634,0.09728789708839017,0.09059811132114623,0.029998856725145507,-0.03867795543522747,0.14386463187253196
