axis,axis_bin,par_0,err_0,max_likelihood_mean_0,rmse
missing_mass,0,[0.03680576 0.03404751 0.02133296 0.02297066 0.02705315 0.00627125],[0.00990692 0.00887333 0.00796958 0.00909066 0.01065201 0.0086501 ],0.023912336532473842,0.009979767530460195
missing_mass,1,[0.03449531 0.04861942 0.04962143 0.07241988 0.05555011 0.0467945 ],[0.01017991 0.0133496  0.01176834 0.01703988 0.01471245 0.00951505],0.04777244239798277,0.011897920427000766
missing_mass,2,[0.0289667  0.03839668 0.02342284 0.03936774 0.04264169 0.03713178],[0.00925212 0.01157851 0.00933201 0.00990393 0.00931893 0.01001462],0.034609921096594075,0.006643821548706818
missing_mass,3,[0.03240554 0.03858315 0.03445565 0.02630641 0.029153   0.03896788],[0.00996078 0.01144779 0.01022332 0.00944342 0.00833816 0.01072417],0.03254584942338988,0.004686870053113052
missing_mass,4,[0.00446695 0.02128123 0.03092497 0.03532305 0.03503602 0.02121984],[0.00960407 0.0081978  0.00945107 0.00932165 0.010875   0.00864289],0.024166679732877002,0.010749966406284266
pt,0,[0.01322331 0.04031012 0.01951963 0.03200332 0.04316027 0.01286406],[0.01073922 0.01310657 0.00837102 0.00961372 0.01233011 0.00787601],0.02352905638640854,0.012746422328780545
pt,1,[0.02419947 0.04532699 0.02582348 0.0445765  0.03358871 0.0311689 ],[0.00781224 0.01202752 0.00720012 0.011652   0.01061468 0.00945098],0.031180252244131866,0.008782714701788952
pt,2,[0.01664466 0.02520554 0.0368806  0.04642996 0.05730861 0.04135053],[0.00696146 0.00853742 0.00958633 0.01271791 0.01163498 0.01011835],0.032153661663721876,0.014331294433012995
pt,3,[0.03913815 0.04528601 0.0375931  0.04718453 0.02066318 0.04885047],[0.01190619 0.01220344 0.00951997 0.01022518 0.00885008 0.01159657],0.037993489856244074,0.009637948136969774
pt,4,[0.04754307 0.03376567 0.03650425 0.0281631  0.0314621  0.018316  ],[0.01316313 0.01039744 0.01250772 0.00928346 0.00972246 0.00822303],0.029983161019048712,0.009190619922069869
q2,0,[0.02172366 0.03489918 0.04097574 0.02518064 0.03519356 0.03520329],[0.00759035 0.01131323 0.01128031 0.01039376 0.00922665 0.00918632],0.030894562821369848,0.006726414016155582
q2,1,[0.01970246 0.03566413 0.01817383 0.04646562 0.03866836 0.00948263],[0.00668522 0.01019138 0.00871544 0.01154186 0.00945617 0.01069952],0.02600172617984514,0.013206145226917397
q2,2,[0.03907499 0.04686389 0.032259   0.05225926 0.03180177 0.03595683],[0.01205196 0.01258683 0.01122026 0.01140153 0.00961516 0.00896655],0.03867162643824962,0.007611247717078899
q2,3,[0.01927816 0.02193002 0.05524123 0.04263706 0.02938423 0.01984696],[0.00845188 0.01166706 0.01562812 0.01209082 0.00894204 0.00825775],0.027036530796894512,0.014037759307636932
q2,4,[0.0384833  0.04577865 0.01628086 0.0301744  0.04977343 0.04960234],[0.01067039 0.01249761 0.00633659 0.00921155 0.01520097 0.01149601],0.03109466383098785,0.014035298172928964
x,0,[0.00754996 0.02844694 0.02800274 0.01637376 0.03493888 0.01556146],[0.00889929 0.00846364 0.01040191 0.00833248 0.01053198 0.0091504 ],0.020900667892644782,0.009413628420175051
x,1,[0.03253617 0.03031039 0.0445728  0.05994888 0.03931995 0.03167976],[0.01041166 0.00831826 0.01317789 0.01473666 0.01024249 0.00966062],0.03656768280513878,0.01078298042033541
x,2,[0.02481745 0.04070736 0.03095903 0.04506459 0.02589447 0.05705113],[0.0072621  0.01154499 0.00972136 0.01126739 0.00845398 0.01114302],0.03405103153569432,0.011944026302394
x,3,[0.04113116 0.0439877  0.02296255 0.03936461 0.04903167 0.0240476 ],[0.01220121 0.01374907 0.00871273 0.01103564 0.01373168 0.00816847],0.032695067738654465,0.010642359953407917
x,4,[0.02511718 0.04592535 0.02912778 0.03432963 0.03771636 0.02550963],[0.00939401 0.01088774 0.00987792 0.01158725 0.0104164  0.00830565],0.03177099389934848,0.0074465236124218945
z,0,[0.02201819 0.01057944 0.01936717 0.0192953  0.04346783 0.0364067 ],[0.00816516 0.00731244 0.00613579 0.00799338 0.00777801 0.01113853],0.023446752128133647,0.011330563786631649
z,1,[0.03613852 0.01884251 0.04127968 0.04728024 0.04222144 0.03621376],[0.01044488 0.01377262 0.01050739 0.00913821 0.01099452 0.00919488],0.03865813210657023,0.009118594067270556
z,2,[0.03092056 0.03847048 0.02372815 0.03813353 0.04089288 0.03501739],[0.00752923 0.01108389 0.01332292 0.008855   0.01043206 0.0097165 ],0.034797965058057795,0.005764613361235245
z,3,[0.00774533 0.03632808 0.03388976 0.03104609 0.05164906 0.03241157],[0.00711751 0.00956374 0.00913825 0.00956566 0.01345142 0.0088702 ],0.027746814939313608,0.013634491493591226
z,4,[0.0386739  0.0418018  0.01857992 0.04669542 0.0105793  0.01456476],[0.00826633 0.01252943 0.00816898 0.0113122  0.00842622 0.00784629],0.025106069952888232,0.014683722540187188
