axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2
pt,0,0.2021081566810608,0.00028420978924259543,0.005343705881386995,0.395312637090683,0.4814522862434387,0.02246217429637909,0.0022986382246017456,-0.2684752345085144
pt,1,0.2745443880558014,0.2021081566810608,0.00622102664783597,0.39732253551483154,0.5066002011299133,0.025580866262316704,-0.4541393518447876,0.022482892498373985
pt,2,0.32845301032066343,0.2745443880558014,0.006757315248250961,0.35670560598373413,0.3639862835407257,0.029329940676689148,0.15639932453632355,-0.39577651023864746
pt,3,0.3761687695980072,0.32845301032066343,0.004777621477842331,0.4167318046092987,0.427839070558548,0.03400171548128128,-0.11738830804824829,-0.3003993630409241
pt,4,0.4221225082874298,0.3761687695980072,0.008057625032961369,0.3664499819278717,0.46487897634506226,0.03332943469285965,0.07384905219078064,-0.28025323152542114
pt,5,0.4695405125617982,0.4221225082874298,0.005079282447695732,0.4556756317615509,0.47504135966300964,0.03145160526037216,-0.2676732838153839,-0.22398048639297485
pt,6,0.5219403266906737,0.4695405125617982,0.006624249741435051,0.44250667095184326,0.45231425762176514,0.03319045156240463,0.26599156856536865,-0.3052237033843994
pt,7,0.5852572083473206,0.5219403266906737,0.007508818991482258,0.42638662457466125,0.42015913128852844,0.03314198553562164,-0.0807466059923172,-0.3872776925563812
pt,8,0.6745869636535644,0.5852572083473206,0.00677906908094883,0.4315791428089142,0.531639575958252,0.02939176931977272,-0.21205253899097443,-0.23650206625461578
pt,9,1.193084478378296,0.6745869636535644,0.004205312579870224,0.4400114417076111,0.5224730372428894,0.019156599417328835,-0.3762325346469879,-0.0817253440618515
q2,0,1.173184585571289,1.0000005960464478,0.005835918243974447,0.42693209648132324,0.4182201325893402,0.02722587063908577,-0.11623642593622208,-0.33293670415878296
q2,1,1.2992051362991337,1.173184585571289,0.007199882064014673,0.4560977518558502,0.39574435353279114,0.028495201840996742,-0.03915118798613548,-0.5257694721221924
q2,2,1.4161123991012574,1.2992051362991337,0.005865851417183876,0.42805394530296326,0.5437756776809692,0.024345502257347107,-0.33858340978622437,-0.15540918707847595
q2,3,1.5398921489715576,1.4161123991012574,0.006469316780567169,0.43120020627975464,0.49525216221809387,0.026599973440170288,-0.17876002192497253,-0.22940222918987274
q2,4,1.6799867153167725,1.5398921489715576,0.006491831503808498,0.40300074219703674,0.5053054094314575,0.03031204827129841,-0.28252875804901123,-0.17784157395362854
q2,5,1.8456206560134891,1.6799867153167725,0.007623002398759127,0.3916635811328888,0.5213186144828796,0.029220927506685257,-0.16797107458114624,-0.15029150247573853
q2,6,2.051024580001831,1.8456206560134891,0.006764233112335205,0.35629934072494507,0.5081750750541687,0.03250386565923691,-0.0490974523127079,-0.22533026337623596
q2,7,2.3213657379150394,2.051024580001831,0.005791459698230028,0.4052675664424896,0.5333479046821594,0.026940036565065384,-0.18143677711486816,-0.2166164666414261
q2,8,2.734285640716553,2.3213657379150394,0.005821456667035818,0.3886496424674988,0.4239116907119751,0.03546109050512314,-0.04002595692873001,-0.2914865016937256
q2,9,4.73682165145874,2.734285640716553,0.005986281204968691,0.37510454654693604,0.5555490851402283,0.02796914614737034,0.10381892323493958,0.002913951873779297
x,0,0.14328244030475618,0.1067291498184204,0.005079464986920357,0.49095216393470764,0.4342605471611023,0.02195306122303009,-0.18513944745063782,-0.39086759090423584
x,1,0.1664954960346222,0.14328244030475618,0.006219301372766495,0.4518190622329712,0.4884040951728821,0.02054799348115921,-0.029509685933589935,-0.393010675907135
x,2,0.18854448497295384,0.1664954960346222,0.006289245095103979,0.40359562635421753,0.45723751187324524,0.03401230275630951,-0.1875278651714325,-0.27517998218536377
x,3,0.21073120534420012,0.18854448497295384,0.006690443493425846,0.37137526273727417,0.29217529296875,0.031428564339876175,-0.21832039952278137,-0.5735527276992798
x,4,0.23393914103508,0.21073120534420012,0.0068513196893036366,0.3410322666168213,0.5468403100967407,0.028144564479589462,-0.05361143499612808,-0.02712341956794262
x,5,0.2590043723583222,0.23393914103508,0.006918380036950111,0.46172451972961426,0.5791584849357605,0.02819267474114895,-0.31144028902053833,-0.10701213777065277
x,6,0.28756390213966365,0.2590043723583222,0.005849142093211412,0.38962072134017944,0.5048268437385559,0.031264778226614,0.050668854266405106,-0.2267671376466751
x,7,0.3227645635604859,0.28756390213966365,0.007421357557177544,0.4001821279525757,0.5365167856216431,0.03201563283801079,-0.3948545753955841,-0.12656179070472717
x,8,0.3750255167484283,0.3227645635604859,0.005678088869899511,0.4522908627986908,0.5188825726509094,0.027328209951519966,0.32819223403930664,-0.2214301973581314
x,9,0.6019378304481506,0.3750255167484283,0.007230476010590792,0.4335213899612427,0.6484333872795105,0.026203136891126633,0.08501633256673813,0.02068849839270115
z,0,0.2986597716808319,0.2500004768371582,0.004879102110862732,0.43515342473983765,0.5749778151512146,0.024372592568397522,-0.3395538032054901,-0.049380309879779816
z,1,0.3394251585006714,0.2986597716808319,0.005990685895085335,0.39452600479125977,0.3479081392288208,0.02856750413775444,0.07295038551092148,-0.49967360496520996
z,2,0.3769020318984986,0.3394251585006714,0.006667992565780878,0.376948744058609,0.5373156070709229,0.031156927347183228,-0.2683665454387665,-0.08558345586061478
z,3,0.4135074019432068,0.3769020318984986,0.00686647929251194,0.3877435326576233,0.4271877408027649,0.02474609762430191,0.058762818574905396,-0.4957141876220703
z,4,0.4507721364498138,0.4135074019432068,0.006475722882896662,0.4698620140552521,0.4596228003501892,0.030151668936014175,-0.22706381976604462,-0.314658522605896
z,5,0.4899017810821534,0.4507721364498138,0.004009639378637075,0.40919625759124756,0.5409506559371948,0.026202138513326645,-0.04994136840105057,-0.12742142379283905
z,6,0.5328500866889954,0.4899017810821534,0.007559961639344692,0.46445512771606445,0.5676549673080444,0.025079350918531418,-0.315924733877182,-0.057998429983854294
z,7,0.5828174829483033,0.5328500866889954,0.006532142870128155,0.48899412155151367,0.4593251943588257,0.026102054864168167,-0.014164844527840614,-0.3959932327270508
z,8,0.6462338209152222,0.5828174829483033,0.008557571098208427,0.4241063594818115,0.36702632904052734,0.04138195887207985,-0.17731979489326477,-0.4011545777320862
z,9,0.7499997615814209,0.6462338209152222,0.008537529967725277,0.4221898019313812,0.41773027181625366,0.03614943474531174,0.0029949871823191643,-0.4237521290779114
