,axis,axis_bin,err_0,err_1,err_2,par_0,par_1,par_2
0,pt,0,0.344260325218,16.9191015975,25.4417505329,0.0243681527173,0.0176344819045,0.0706411892775
1,pt,1,0.00410522880708,0.209087763038,0.470264605989,0.0258002894029,-0.463549957629,0.253905375203
2,pt,2,0.248537959125,1.07998214118,3.83838717885,0.0348409286844,-0.475283820066,-0.972116273347
3,pt,3,0.00365007006176,6.57900307246,1.89294560822,0.0339412834084,-0.23726230091,0.120881035846
4,pt,4,0.0144812763239,1.36866700458,0.661652159063,0.0341596366145,0.0707948160869,0.00778372086249
5,pt,5,0.172258230174,12.0811059889,1.4355720825,0.0327010758011,-0.23182645488,0.0708749261095
6,pt,6,0.0303438030783,1.97457779488,0.564625220279,0.0369166977747,0.226261903783,-0.0835035426648
7,pt,7,0.00345803022276,0.0928710223881,0.0895386606158,0.0359894598682,-0.215656949033,-0.072388719767
8,pt,8,0.0167273280139,8.19035819538,22.0735513722,0.0309949348144,-0.386551844829,0.138937698841
9,pt,9,0.0176092186401,1.88974845284,0.797170663838,0.0210626740705,-0.543312675196,0.180608878165
10,q2,0,0.0881756246791,3.97936435353,0.999997261646,0.0192691680306,0.778707499362,-1.0
11,q2,1,0.158690793385,3.16406608575,6.90245655286,0.0350770883336,-0.0898924529787,-0.401004050927
12,q2,2,0.0111925034637,0.568755151104,4.02391225902,0.0231796374827,-0.612252871468,0.32368460341
13,q2,3,0.227863741712,12.0810027214,0.363770284697,0.0290886582672,-0.0986499111621,0.00755429070529
14,q2,4,0.506488012867,12.9714504752,35.3807159158,0.0329011308419,-0.396456657986,0.0614558160751
15,q2,5,0.0812715729358,4.18901485705,2.77590308755,0.0300655017277,-0.367000777655,0.201726036435
16,q2,6,0.0274738493453,0.261005356025,1.3095222691,0.0320503001436,0.0563864736002,0.156098758627
17,q2,7,0.0801642926844,3.51781296411,2.68335053211,0.0332669495542,-0.214407655244,-0.0819824287025
18,q2,8,0.647375038835,7.00875855748,1.31221745336,0.0364968641767,-0.0175083928343,-0.0408865408562
19,q2,9,0.00474038033417,0.0789707914304,0.0785510856201,0.0333640341097,-0.60096526132,-0.891632092032
20,x,0,0.0168240994206,0.256777930203,1.7678988018,0.0248709636161,-0.694754014898,-0.862711547665
21,x,1,0.229300337024,14.6130117779,7.02802147378,0.023204286119,-0.353096112101,-0.105543204872
22,x,2,0.155199716793,0.689481607499,7.68244480209,0.0365547842253,-0.241545569784,-0.0176036355007
23,x,3,0.089905865547,2.26000697932,1.0,0.013134618838,0.830279923874,-1.0
24,x,4,0.0695982859785,5.63457807131,3.10675099951,0.0316982050367,-0.0752262864888,0.20038524623
25,x,5,0.0889609259248,1.1037434303,4.22211119016,0.0362429503759,-0.65013413116,-0.850968472524
26,x,6,0.0523514136159,1.38057849021,1.94323603738,0.0268550204572,0.264907185427,0.27125326401
27,x,7,0.555406200854,11.096299667,10.7431612705,0.0292319847802,-0.569619482987,0.260925871582
28,x,8,0.0243546100221,0.543562712727,0.265506919878,0.0251371074334,0.583980919719,0.177937879137
29,x,9,0.101221115539,1.91795176122,0.530865635539,0.0336042613252,-0.63880628379,-0.87026425278
30,z,0,0.116073788692,8.14034335438,11.17493989,0.0220459919362,-0.323376417429,0.0262653113932
31,z,1,1.0,1.0,1.0,0.0269430002355,-0.273972051308,0.285900298073
32,z,2,0.0164331992521,0.233284492123,0.491088379179,0.0346399950616,-0.00715878921193,-0.411606615493
33,z,3,0.25163667094,6.26488255105,5.50775009048,0.0286193321897,-0.0563494454516,0.218510946152
34,z,4,0.185918927421,2.15407908743,2.89497595284,0.0351674799158,-0.14632037958,-0.546856319584
35,z,5,0.122094082528,1.35552333367,0.536955772313,0.0310848652597,-0.680441206458,-0.781619242828
36,z,6,0.292639485828,1.49920965122,7.2357615035,0.0203684407295,-0.0477179475428,0.455731578284
37,z,7,0.0699356348445,1.18721158925,3.80594621898,0.0317991976728,-0.223191868632,-0.0693938018897
38,z,8,0.0298356231428,1.03938267776,2.53410857227,0.0407456954444,-0.297281674733,-0.0927443154737
39,z,9,0.0443314659846,4.82496465977,0.466791344192,0.0418709949761,-0.0503094467545,-0.266456724148
