,axis,axis_bin,err_0,err_1,err_2,par_0,par_1,par_2
0,pt,0,0.105213971446,0.764233979103,1.0,0.0226409728359,-0.624431671884,-1.0
1,pt,1,0.0123951872755,0.623891931873,0.423616277563,0.0258002683206,-0.46355059242,0.253905846505
2,pt,2,0.204117428249,0.694166043867,5.29281926493,0.0316197940072,0.138885548929,-0.179545872666
3,pt,3,0.0229486119146,1.49600951003,0.411202469526,0.0339412921125,-0.237262669365,0.120880608552
4,pt,4,0.00767748402982,2.35402791493,2.63103626097,0.0341596356398,0.0707948486385,0.00778377603931
5,pt,5,0.0386722152386,1.72973625939,1.24058689237,0.0355867039889,-0.626031481475,-0.872606571591
6,pt,6,0.0231615897576,1.704493977,0.312196172914,0.0369166917552,0.226262996827,-0.0835035337127
7,pt,7,0.0112973418013,8.05184329656,1.4337743619,0.035989510871,-0.215648183832,-0.0723920861521
8,pt,8,0.00509587635894,5.34323259234,0.334259178305,0.0309952128748,-0.386537853772,0.138924444674
9,pt,9,0.0288649485319,0.423219073513,0.845672246122,0.0210628205385,-0.54330562541,0.180601096009
10,q2,0,0.247086052238,0.284961369765,2.32282868276,0.0263357986583,-0.1283125663,-0.0765547341758
11,q2,1,0.0646163606161,0.488059405797,1.0,0.0337072476781,-0.612251335572,-1.0
12,q2,2,0.019409122286,0.922093739547,0.535614020259,0.023179613439,-0.612253689983,0.323684957138
13,q2,3,0.0148915494758,0.597085691752,0.996606205088,0.0194740188083,0.776989343821,-1.0
14,q2,4,0.0263105000009,1.14568629785,2.22577882497,0.0155469092537,0.712580514248,-1.0
15,q2,5,0.0958439659191,3.68401363858,2.89990798396,0.0300655262432,-0.366999315462,0.201725486215
16,q2,6,0.0611518063766,2.59837269759,1.20370748386,0.0320503051763,0.0563864577645,0.156098499466
17,q2,7,0.0068325138802,1.48277468432,0.517810056848,0.0311777249297,-0.61547480492,-0.9914434446
18,q2,8,0.0773074137279,2.21800442735,2.89265891927,0.0364968664264,-0.0175078363856,-0.0408886156755
19,q2,9,0.00687656739972,0.128547172358,0.275083577361,0.0238073800567,0.229359675107,0.428609741601
20,x,0,0.314511789033,14.7654975952,29.471240325,0.0168408664715,0.734971312357,-1.0
21,x,1,0.00362953617205,0.749272119709,0.555686764083,0.0232042883479,-0.353096091211,-0.105543327628
22,x,2,0.0129258400826,0.971670453693,0.838453733812,0.0365548003789,-0.241544876616,-0.0176045403493
23,x,3,0.00308612308259,0.12217796828,0.236568472108,0.0348408577167,-0.198620058611,-0.467018617048
24,x,4,0.112861403461,4.19214882886,4.04463012554,0.0316982175266,-0.075223872952,0.200387426752
25,x,5,0.00458373949479,0.136006451026,0.172955363254,0.0300844159847,-0.423089096895,0.261506571061
26,x,6,0.145439850886,2.39748588326,4.04275966108,0.0268550204183,0.264906920414,0.271253235513
27,x,7,0.0196874136313,0.586728665177,0.144405694478,0.0292319936563,-0.569619723184,0.260925931599
28,x,8,0.0307807347154,2.1940407298,2.28422749187,0.0251370975616,0.58398137354,0.177937993919
29,x,9,0.0117115183916,2.2390316299,5.88352847278,0.0336042165934,-0.638806363748,-0.870261741121
30,z,0,0.0659933739699,1.8684353337,8.07867168906,0.022045989682,-0.32337635824,0.0262654418044
31,z,1,0.0526915815876,0.200087723324,0.68747173563,0.0269430347662,-0.273972985369,0.285901075704
32,z,2,0.00654289613695,0.166661949018,0.427057907557,0.0346399911229,-0.00715898748869,-0.411606714494
33,z,3,0.0480700729419,4.86669926111,3.75664157731,0.0286193170761,-0.0563495601755,0.218510299362
34,z,4,0.0140722225818,0.120715823598,1.48600992398,0.035167482971,-0.146320467116,-0.546856399796
35,z,5,0.0336771117924,0.889588863071,1.0,0.0186571929899,0.695357224566,-1.0
36,z,6,0.325472823786,0.339629613547,13.7068845805,0.0203684621886,-0.0477182117126,0.455731084224
37,z,7,0.00272054287347,0.128367164779,0.129326184389,0.0317992275073,-0.223191694869,-0.0693959666406
38,z,8,0.0404647679942,1.37061468545,2.40257272612,0.0420022816106,-0.676056379935,-0.849512994857
39,z,9,0.114585240277,3.85539701329,3.32975381255,0.0418709984843,-0.0503096392332,-0.266456900194
