axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2
pt,0,0.2021081566810608,0.00028420978924259543,0.005089244339615107,0.40177711844444275,0.48237621784210205,0.02347389981150627,-0.006134551949799061,-0.3088516294956207
pt,1,0.2745443880558014,0.2021081566810608,0.006513575557619333,0.4078191816806793,0.4941009283065796,0.025581732392311096,-0.452427476644516,0.043080028146505356
pt,2,0.32845301032066343,0.2745443880558014,0.007364505901932716,0.38640180230140686,0.41275718808174133,0.02903067320585251,0.16187265515327454,-0.3837096691131592
pt,3,0.3761687695980072,0.32845301032066343,0.004831286612898111,0.4262872338294983,0.4508986175060272,0.03396795690059662,-0.09869970381259918,-0.2866341769695282
pt,4,0.4221225082874298,0.3761687695980072,0.008276308886706829,0.37114349007606506,0.44659850001335144,0.035545408725738525,0.030457187443971634,-0.3578919768333435
pt,5,0.4695405125617982,0.4221225082874298,0.005233669187873602,0.4142325520515442,0.4746686518192291,0.0321231409907341,-0.28358352184295654,-0.21397827565670013
pt,6,0.5219403266906737,0.4695405125617982,0.007831771858036518,0.4837039113044739,0.4789653420448303,0.033785782754421234,0.2134285271167755,-0.386981338262558
pt,7,0.5852572083473206,0.5219403266906737,0.006945345085114241,0.3754217326641083,0.4121229350566864,0.03432947397232056,-0.1808629035949707,-0.29684746265411377
pt,8,0.6745869636535644,0.5852572083473206,0.006967881228774786,0.43703797459602356,0.5353900790214539,0.030003687366843224,-0.21231792867183685,-0.21117913722991943
pt,9,1.193084478378296,0.6745869636535644,0.004518343601375818,0.45737162232398987,0.5603010058403015,0.019086308777332306,-0.3875998258590698,-0.06827946752309799
q2,0,1.173184585571289,1.0000005960464478,0.005501896608620882,0.42424121499061584,0.4281192719936371,0.026977133005857468,-0.05716501176357269,-0.3098519444465637
q2,1,1.2992051362991337,1.173184585571289,0.008325792849063873,0.46015703678131104,0.35183095932006836,0.03054181858897209,-0.01721949502825737,-0.576543927192688
q2,2,1.4161123991012574,1.2992051362991337,0.0053147911094129086,0.37843939661979675,0.5300694704055786,0.024746617302298546,-0.37887290120124817,-0.06467307358980179
q2,3,1.5398921489715576,1.4161123991012574,0.005714931059628725,0.41568681597709656,0.4746355414390564,0.028639189898967743,-0.2031996101140976,-0.2812231779098511
q2,4,1.6799867153167725,1.5398921489715576,0.007260833401232958,0.4427528381347656,0.5416987538337708,0.029759490862488747,-0.25231051445007324,-0.26307594776153564
q2,5,1.8456206560134891,1.6799867153167725,0.007396996486932039,0.3879033923149109,0.5277791023254395,0.031145239248871803,-0.2363479733467102,-0.18288645148277283
q2,6,2.051024580001831,1.8456206560134891,0.007068508304655552,0.36925941705703735,0.4973577857017517,0.033186547458171844,0.0018970556557178497,-0.24127057194709778
q2,7,2.3213657379150394,2.051024580001831,0.005632687825709581,0.4044765532016754,0.5262720584869385,0.02646886184811592,-0.19245517253875732,-0.2363913506269455
q2,8,2.734285640716553,2.3213657379150394,0.004873309284448624,0.3769254982471466,0.4493013918399811,0.035320840775966644,-0.07937741279602051,-0.2667251229286194
q2,9,4.73682165145874,2.734285640716553,0.0066493209451437,0.3817445933818817,0.5759627223014832,0.029133059084415436,0.11117281019687653,-0.041175805032253265
x,0,0.14328244030475618,0.1067291498184204,0.005912055727094412,0.4848008155822754,0.4594704210758209,0.022064941003918648,-0.17984247207641602,-0.32064878940582275
x,1,0.1664954960346222,0.14328244030475618,0.005312702618539333,0.364462673664093,0.43457791209220886,0.023428667336702347,-0.04390519857406616,-0.4000955820083618
x,2,0.18854448497295384,0.1664954960346222,0.006272363476455212,0.4058784544467926,0.4323270320892334,0.03525158390402794,-0.1661345362663269,-0.2961232662200928
x,3,0.21073120534420012,0.18854448497295384,0.007701302878558636,0.42456555366516113,0.318909615278244,0.03133314102888107,-0.18777981400489807,-0.5901908874511719
x,4,0.23393914103508,0.21073120534420012,0.0070288828574121,0.3447045683860779,0.5791688561439514,0.029614120721817017,-0.08709723502397537,-0.0733375996351242
x,5,0.2590043723583222,0.23393914103508,0.006515067536383867,0.4423539340496063,0.5684537887573242,0.029508745297789574,-0.3213003873825073,-0.1174992099404335
x,6,0.28756390213966365,0.2590043723583222,0.006063197739422321,0.4005383253097534,0.5253370404243469,0.03154805302619934,0.0498071163892746,-0.2272675633430481
x,7,0.3227645635604859,0.28756390213966365,0.007313155569136143,0.42301854491233826,0.5554190874099731,0.0315062552690506,-0.3800709843635559,-0.14873646199703217
x,8,0.3750255167484283,0.3227645635604859,0.005233015399426222,0.4401019811630249,0.5165241360664368,0.026212377473711967,0.3695107698440552,-0.15474988520145416
x,9,0.6019378304481506,0.3750255167484283,0.007270722649991512,0.43156591057777405,0.6777670979499817,0.025226373225450516,0.1296875774860382,0.030208341777324677
z,0,0.2986597716808319,0.2500004768371582,0.005192955955862999,0.3740212321281433,0.5555521845817566,0.02690623700618744,-0.3374219238758087,-0.09489843249320984
z,1,0.3394251585006714,0.2986597716808319,0.006182342302054167,0.37023842334747314,0.3342854976654053,0.031000792980194092,0.04276568815112114,-0.4812778830528259
z,2,0.3769020318984986,0.3394251585006714,0.005783195607364178,0.3994063436985016,0.5117089748382568,0.033357709646224976,-0.20572909712791443,-0.12365083396434784
