axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2
pt,0,0.1432223439216614,0.1067291498184204,0.0017418595761946219,0.10950858539913394,0.09081950856353796,0.023852158560687037,-0.16350276481350737,-0.03195440791308697
pt,1,0.16647763550281525,0.1432223439216614,0.0019942652614061,0.09049784037438288,0.09382319684386818,0.02823431808836819,-0.29682639744623845,-0.0082597080987435
pt,2,0.18857827484607695,0.16647763550281525,0.001880064154239705,0.07907475089723912,0.08653278332317405,0.03411694512831198,-0.14817192082554936,-0.157386949244288
pt,3,0.2108415126800537,0.18857827484607695,0.0019691244739576483,0.0870581042005086,0.08262285392590417,0.03134613689533001,-0.11520436184789407,0.0024255658953543477
pt,4,0.2341358065605164,0.2108415126800537,0.00210407293398055,0.07721738732166812,0.09755808695419008,0.03569123492555633,-0.11967496283354126,-0.12250398497321568
pt,5,0.25929955840110785,0.2341358065605164,0.0022601890830769465,0.08387409987448664,0.08163683054581927,0.030426287557982164,-0.3449102485812688,0.12920490803251097
pt,6,0.2879805088043213,0.25929955840110785,0.0021985182479789217,0.08959600106339409,0.0826171457589395,0.03248241045669708,0.06224209735134444,0.050696085472847416
pt,7,0.3234374105930328,0.2879805088043213,0.0020141389729180404,0.0766010695595852,0.08512445373013808,0.034065476190260735,-0.3060082963544507,-0.07358566085572306
pt,8,0.37589795589447017,0.3234374105930328,0.0019402481340989508,0.07837325493504256,0.0746529813843258,0.0369264764066109,-0.10504178227268829,-0.08121976842758642
pt,9,0.6019378304481506,0.37589795589447017,0.002269547436839698,0.09259897603642588,0.08787204753626941,0.031256282332960524,-0.023228722101883807,0.10855732158091584
q2,0,0.1432223439216614,0.1067291498184204,0.0017435172762059693,0.10871546618693258,0.09091249559756394,0.023857558925967887,-0.16423485864769113,-0.032277031880660736
q2,1,0.16647763550281525,0.1432223439216614,0.001982408652238319,0.09050304524635701,0.09369447374171214,0.02823817319202962,-0.29654328724028556,-0.008068027900556645
q2,2,0.18857827484607695,0.16647763550281525,0.0018876865424591373,0.07911146300961072,0.08650581456432223,0.034117081261066905,-0.14789107165542711,-0.1573924668228855
q2,3,0.2108415126800537,0.18857827484607695,0.001975241062953891,0.08690322605233006,0.08231386840819772,0.031351055657637635,-0.1150648759950208,0.0025989574387568497
q2,4,0.2341358065605164,0.2108415126800537,0.0021102316067484303,0.07761048456481591,0.09742957807775496,0.03570102070062478,-0.11964573337170849,-0.12323440901923355
q2,5,0.25929955840110785,0.2341358065605164,0.0021844055115568953,0.08213888978510277,0.07984026895091177,0.03044703028072243,-0.3432898393307085,0.12892424298566357
q2,6,0.2879805088043213,0.25929955840110785,0.0022065111429192276,0.09020863807514608,0.08315374654946874,0.032445539372356634,0.06305155655904403,0.05234619961637663
q2,7,0.3234374105930328,0.2879805088043213,0.0020242589551497463,0.07602901958423104,0.08546500852662257,0.03407399547974152,-0.3058611439002046,-0.07431943481315287
q2,8,0.37589795589447017,0.3234374105930328,0.001941002504990314,0.07824401897216857,0.07482070550940703,0.03692943909377148,-0.10520394463552052,-0.08137715516495161
q2,9,0.6019378304481506,0.37589795589447017,0.0022894942948053533,0.09213505565907965,0.08855707855062103,0.031270225080249424,-0.022864101974189567,0.10820587925329307
x,0,0.1432223439216614,0.1067291498184204,0.001739798009058565,0.10986566289246724,0.09112161376800577,0.023837190388512883,-0.16363113005210164,-0.031743480359660195
x,1,0.16647763550281525,0.1432223439216614,0.0019834106951814403,0.09049687093919781,0.09361404614382939,0.028252881918139267,-0.2963660034118987,-0.008628288890648298
x,2,0.18857827484607695,0.16647763550281525,0.0018811875363087436,0.07906697263826293,0.08659428433581695,0.03409780201125606,-0.14800748600253968,-0.15632893270184448
x,3,0.2108415126800537,0.18857827484607695,0.0019603165616751714,0.08696010872990688,0.08175369760463413,0.03135642609603378,-0.11503102113727592,0.0022606375663938826
x,4,0.2341358065605164,0.2108415126800537,0.002109717708299258,0.07767166347125921,0.09724884397715079,0.035681605278839006,-0.1196404109401584,-0.12269413584471357
x,5,0.25929955840110785,0.2341358065605164,0.0021764144971279566,0.08246355303748006,0.07926815651377699,0.03045687568086817,-0.34275888282901734,0.12872932668791207
x,6,0.2879805088043213,0.25929955840110785,0.0021741076366157508,0.0895391309960784,0.0825555643388641,0.03251006907597438,0.061443280835250816,0.05003319515374437
x,7,0.3234374105930328,0.2879805088043213,0.002002253828276558,0.07621895724619902,0.08443873168003664,0.03407083549411873,-0.306126984064665,-0.07382244450126249
x,8,0.37589795589447017,0.3234374105930328,0.001950572963266527,0.07806255759674052,0.07517787243149927,0.03693559274324909,-0.10526167744444971,-0.08153941697197653
x,9,0.6019378304481506,0.37589795589447017,0.00228323616210192,0.0921702163038299,0.08826426362403895,0.03129042707510719,-0.023310914262933316,0.10728912512484025
z,0,0.1432223439216614,0.1067291498184204,0.0017429965656443928,0.10973388430600708,0.09090648170938839,0.023859185031413366,-0.163561932165988,-0.03240928716486967
z,1,0.16647763550281525,0.1432223439216614,0.0019961517522358034,0.09066510751083064,0.09412176347633147,0.028251586772907417,-0.2962484525727701,-0.008728330421017148
z,2,0.18857827484607695,0.16647763550281525,0.0018711290409881179,0.07919534654899561,0.0862129588963158,0.03411266787978427,-0.14810664137721788,-0.15708676717469747
z,3,0.2108415126800537,0.18857827484607695,0.001966358585619556,0.08700890772822314,0.0827078602397203,0.03135395246533909,-0.11560435507126722,0.0024432200998027232
