axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2
pt,0,0.2021081566810608,0.00028420978924259543,0.005426941439509392,0.41490110754966736,0.4879654347896576,0.02363753318786621,0.0039813220500946045,-0.30601364374160767
pt,1,0.2745443880558014,0.2021081566810608,0.007175537291914225,0.45512521266937256,0.4855688512325287,0.028342677280306816,-0.43472880125045776,-0.13434332609176636
pt,2,0.32845301032066343,0.2745443880558014,0.006030372343957424,0.3688103258609772,0.43167540431022644,0.02852119877934456,0.13057276606559753,-0.2885737419128418
pt,3,0.3761687695980072,0.32845301032066343,0.004349044989794493,0.3978433907032013,0.44951561093330383,0.032914768904447556,-0.19223085045814514,-0.18446655571460724
pt,4,0.4221225082874298,0.3761687695980072,0.007913647219538689,0.3594525456428528,0.4724949300289154,0.03445257991552353,0.025116875767707825,-0.26237761974334717
pt,5,0.4695405125617982,0.4221225082874298,0.005877950228750706,0.43595388531684875,0.4843378961086273,0.031290650367736816,-0.2972298562526703,-0.2003297656774521
pt,6,0.5219403266906737,0.4695405125617982,0.006717394106090069,0.44640421867370605,0.47916293144226074,0.032437942922115326,0.22078672051429749,-0.26896756887435913
pt,7,0.5852572083473206,0.5219403266906737,0.007583934348076582,0.429147332906723,0.44649413228034973,0.03317185118794441,-0.22966738045215607,-0.30937641859054565
pt,8,0.6745869636535644,0.5852572083473206,0.006316013168543577,0.4354065954685211,0.5608454346656799,0.028268951922655106,-0.30954229831695557,-0.1466643214225769
pt,9,1.193084478378296,0.6745869636535644,0.003854435170069337,0.4651487171649933,0.5497674942016602,0.018488623201847076,-0.4012834429740906,-0.09130644798278809
q2,0,1.173184585571289,1.0000005960464478,0.005890498403459787,0.43389803171157837,0.44136789441108704,0.02445784956216812,-0.17449131608009338,-0.23635795712471008
q2,1,1.2992051362991337,1.173184585571289,0.007715409621596336,0.4414474368095398,0.3517487049102783,0.031910188496112823,-0.08403095602989197,-0.5480537414550781
q2,2,1.4161123991012574,1.2992051362991337,0.006017623469233513,0.41700389981269836,0.5769772529602051,0.022700110450387,-0.4085147976875305,-0.027469195425510406
q2,3,1.5398921489715576,1.4161123991012574,0.006123426835983992,0.41700083017349243,0.5022438168525696,0.027610287070274353,-0.14938519895076752,-0.1840265542268753
q2,4,1.6799867153167725,1.5398921489715576,0.006836686283349991,0.41385504603385925,0.5205978751182556,0.030749507248401642,-0.3496209979057312,-0.24089080095291138
q2,5,1.8456206560134891,1.6799867153167725,0.007300776895135641,0.4067422151565552,0.5782515406608582,0.027727855369448662,-0.3823056221008301,-0.05014148727059364
q2,6,2.051024580001831,1.8456206560134891,0.007072252221405506,0.38408163189888,0.4844612181186676,0.03384152799844742,-0.004965636879205704,-0.2592215836048126
q2,7,2.3213657379150394,2.051024580001831,0.00543218245729804,0.42732134461402893,0.5422784090042114,0.02677644044160843,-0.15964683890342712,-0.24181382358074188
q2,8,2.734285640716553,2.3213657379150394,0.0055674291215837,0.3827272355556488,0.41779929399490356,0.03648563474416733,-0.07970467954874039,-0.313242644071579
q2,9,4.73682165145874,2.734285640716553,0.006409126333892345,0.4181547164916992,0.6130869388580322,0.028184007853269577,0.02454281412065029,-0.11209681630134583
x,0,0.14328244030475618,0.1067291498184204,0.00481386249884963,0.4978821277618408,0.44440385699272156,0.020659279078245163,-0.32726868987083435,-0.2445419728755951
x,1,0.1664954960346222,0.14328244030475618,0.006886843126267195,0.43231847882270813,0.5087862610816956,0.02128111571073532,-0.13086849451065063,-0.3842092454433441
x,2,0.18854448497295384,0.1664954960346222,0.006253751926124096,0.4113001823425293,0.47267207503318787,0.03423594683408737,-0.21355482935905457,-0.2619730830192566
x,3,0.21073120534420012,0.18854448497295384,0.007855723612010479,0.4518934190273285,0.33455613255500793,0.030331404879689217,-0.22516678273677826,-0.5940513014793396
x,4,0.23393914103508,0.21073120534420012,0.007158753927797079,0.39088648557662964,0.6146596670150757,0.027384210377931595,0.02299533411860466,-0.04985819011926651
x,5,0.2590043723583222,0.23393914103508,0.005653375759720802,0.38216397166252136,0.5519885420799255,0.028474710881710052,-0.45196735858917236,0.0018596677109599113
x,6,0.28756390213966365,0.2590043723583222,0.005841467995196581,0.38511940836906433,0.5143807530403137,0.032052427530288696,0.009282741695642471,-0.15537065267562866
x,7,0.3227645635604859,0.28756390213966365,0.008094905875623226,0.45356306433677673,0.5822702050209045,0.03011959046125412,-0.40896546840667725,-0.16405236721038818
x,8,0.3750255167484283,0.3227645635604859,0.00581186730414629,0.43203163146972656,0.4885074198246002,0.028782233595848083,0.25588107109069824,-0.1899319887161255
x,9,0.6019378304481506,0.3750255167484283,0.007568822242319584,0.45204615592956543,0.6976239085197449,0.024392645806074142,0.09553900361061096,0.022316699847579002
z,0,0.2986597716808319,0.2500004768371582,0.005361061543226242,0.4370105266571045,0.5842947959899902,0.02458496391773224,-0.3402332663536072,-0.08329522609710693
z,1,0.3394251585006714,0.2986597716808319,0.00626375712454319,0.3970096707344055,0.36041828989982605,0.029576987028121948,0.04654164984822273,-0.4629567563533783
z,2,0.3769020318984986,0.3394251585006714,0.006389622110873461,0.4601595103740692,0.5490143895149231,0.03235558792948723,-0.23143842816352844,-0.18173840641975403
z,3,0.4135074019432068,0.3769020318984986,0.006685280706733465,0.3746737837791443,0.5118910670280457,0.02400818094611168,-0.013813783414661884,-0.3141978681087494
z,4,0.4507721364498138,0.4135074019432068,0.006391092203557491,0.4098145663738251,0.4280390739440918,0.031506385654211044,-0.28637242317199707,-0.2638726234436035
z,5,0.4899017810821534,0.4507721364498138,0.00448277173563838,0.4196282625198364,0.5751696825027466,0.025318384170532227,-0.0661102831363678,-0.05591007322072983
z,6,0.5328500866889954,0.4899017810821534,0.006619865074753761,0.441763699054718,0.5262457728385925,0.025604162365198135,-0.32464852929115295,0.0033301180228590965
z,7,0.5828174829483033,0.5328500866889954,0.006630688440054655,0.459284245967865,0.4360928535461426,0.026255831122398376,-0.1307603120803833,-0.3994348645210266
z,8,0.6462338209152222,0.5828174829483033,0.008039250038564205,0.4521223306655884,0.40786394476890564,0.03809124976396561,-0.18067693710327148,-0.35603225231170654
z,9,0.7499997615814209,0.6462338209152222,0.00928224716335535,0.42742425203323364,0.4160254895687103,0.038910966366529465,-0.045563943684101105,-0.4130989909172058
