axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.10681463778018951,0.1780274361371994,0,1811,1852,-0.01494394,0.016520875,0.00035865456,-165.0,0,0
x,0.10681463778018951,0.1780274361371994,0,941,940,0.00070978916,0.023057144,1.703494e-05,-135.0,1,1
x,0.10681463778018951,0.1780274361371994,0,1528,1555,-0.011692529,0.01800875,0.00028062068,-105.0,2,2
x,0.10681463778018951,0.1780274361371994,0,944,1016,-0.04904498,0.022560515,0.0011770796,-75.0,3,3
x,0.10681463778018951,0.1780274361371994,0,951,1002,-0.034864716,0.022614384,0.00083675317,-45.0,4,4
x,0.10681463778018951,0.1780274361371994,0,437,435,0.0030621868,0.033864114,7.349248e-05,-15.0,5,5
x,0.10681463778018951,0.1780274361371994,0,437,440,-0.0045670928,0.03376725,0.00010961023,15.0,6,6
x,0.10681463778018951,0.1780274361371994,0,819,791,0.023219364,0.02491552,0.0005572647,45.0,7,7
x,0.10681463778018951,0.1780274361371994,0,814,823,-0.0073402696,0.02471519,0.00017616648,75.0,8,8
x,0.10681463778018951,0.1780274361371994,0,1406,1431,-0.011765188,0.018773286,0.00028236452,105.0,9,9
x,0.10681463778018951,0.1780274361371994,0,882,881,0.00075729634,0.023816269,1.8175113e-05,135.0,10,10
x,0.10681463778018951,0.1780274361371994,0,1788,1738,0.01893241,0.01683763,0.00045437782,165.0,11,11
x,0.1780274361371994,0.2277451455593109,1,1843,1859,-0.0057703448,0.016435184,0.00013848828,-165.0,0,12
x,0.1780274361371994,0.2277451455593109,1,1029,1074,-0.028568761,0.021797318,0.0006856503,-135.0,1,13
x,0.1780274361371994,0.2277451455593109,1,1300,1443,-0.06960307,0.019047262,0.0016704737,-105.0,2,14
x,0.1780274361371994,0.2277451455593109,1,1222,1212,0.0054852646,0.02026904,0.00013164635,-75.0,3,15
x,0.1780274361371994,0.2277451455593109,1,850,894,-0.033684056,0.023932068,0.00080841733,-45.0,4,16
x,0.1780274361371994,0.2277451455593109,1,377,393,-0.027742617,0.036023628,0.0006658228,-15.0,5,17
x,0.1780274361371994,0.2277451455593109,1,365,387,-0.03905917,0.03643842,0.00093742006,15.0,6,18
x,0.1780274361371994,0.2277451455593109,1,684,728,-0.0416041,0.026589273,0.0009984984,45.0,7,19
x,0.1780274361371994,0.2277451455593109,1,1012,913,0.06866298,0.022738323,0.0016479115,75.0,8,20
x,0.1780274361371994,0.2277451455593109,1,1389,1246,0.07245587,0.019429727,0.0017389408,105.0,9,21
x,0.1780274361371994,0.2277451455593109,1,976,959,0.011729679,0.022731582,0.0002815123,135.0,10,22
x,0.1780274361371994,0.2277451455593109,1,1829,1684,0.055107158,0.016846145,0.0013225718,165.0,11,23
x,0.2277451455593109,0.27837511897087097,2,1812,1769,0.016031802,0.016708676,0.00038476323,-165.0,0,24
x,0.2277451455593109,0.27837511897087097,2,1064,1120,-0.034233678,0.021385482,0.0008216083,-135.0,1,25
x,0.2277451455593109,0.27837511897087097,2,1285,1309,-0.0123526305,0.019632783,0.00029646314,-105.0,2,26
x,0.2277451455593109,0.27837511897087097,2,1174,1162,0.0068584597,0.02068966,0.00016460303,-75.0,3,27
x,0.2277451455593109,0.27837511897087097,2,844,777,0.05518359,0.024799688,0.0013244061,-45.0,4,28
x,0.2277451455593109,0.27837511897087097,2,397,364,0.057895854,0.03618917,0.0013895006,-15.0,5,29
x,0.2277451455593109,0.27837511897087097,2,330,349,-0.03735958,0.038349684,0.00089662994,15.0,6,30
x,0.2277451455593109,0.27837511897087097,2,639,722,-0.08142132,0.027016344,0.0019541117,45.0,7,31
x,0.2277451455593109,0.27837511897087097,2,1178,1102,0.044503786,0.020921946,0.0010680909,75.0,8,32
x,0.2277451455593109,0.27837511897087097,2,1343,1147,0.10509327,0.019929145,0.0025222385,105.0,9,33
x,0.2277451455593109,0.27837511897087097,2,1082,1078,0.0024724323,0.021516507,5.9338377e-05,135.0,10,34
x,0.2277451455593109,0.27837511897087097,2,1798,1733,0.024577279,0.01682364,0.00058985467,165.0,11,35
x,0.27837511897087097,0.34051498770713806,3,1757,1853,-0.035504404,0.016633073,0.00085210573,-165.0,0,36
x,0.27837511897087097,0.34051498770713806,3,1138,1201,-0.03596073,0.0206635,0.0008630575,-135.0,1,37
x,0.27837511897087097,0.34051498770713806,3,1179,1208,-0.016220482,0.02046523,0.00038929158,-105.0,2,38
x,0.27837511897087097,0.34051498770713806,3,1076,1270,-0.1104058,0.020519786,0.0026497394,-75.0,3,39
x,0.27837511897087097,0.34051498770713806,3,838,811,0.02186056,0.024619877,0.0005246535,-45.0,4,40
x,0.27837511897087097,0.34051498770713806,3,394,463,-0.10749455,0.03396142,0.0025798692,-15.0,5,41
x,0.27837511897087097,0.34051498770713806,3,422,340,0.14367363,0.035850335,0.0034481671,15.0,6,42
x,0.27837511897087097,0.34051498770713806,3,782,705,0.069134995,0.02587046,0.0016592399,45.0,7,43
x,0.27837511897087097,0.34051498770713806,3,1134,1089,0.027026588,0.021201745,0.0006486381,75.0,8,44
x,0.27837511897087097,0.34051498770713806,3,1167,1115,0.030423269,0.020923825,0.00073015847,105.0,9,45
x,0.27837511897087097,0.34051498770713806,3,1075,1062,0.008121888,0.02163134,0.00019492532,135.0,10,46
x,0.27837511897087097,0.34051498770713806,3,1765,1679,0.03333907,0.017030481,0.00080013764,165.0,11,47
x,0.34051498770713806,0.6005192399024963,4,1755,1740,0.005730101,0.016914895,0.00013752242,-165.0,0,48
x,0.34051498770713806,0.6005192399024963,4,1181,1247,-0.03629221,0.020281004,0.00087101304,-135.0,1,49
x,0.34051498770713806,0.6005192399024963,4,1052,1175,-0.07373999,0.021132745,0.0017697598,-105.0,2,50
x,0.34051498770713806,0.6005192399024963,4,1165,1225,-0.033517495,0.020443581,0.00080441986,-75.0,3,51
x,0.34051498770713806,0.6005192399024963,4,789,878,-0.0712808,0.024430146,0.0017107392,-45.0,4,52
x,0.34051498770713806,0.6005192399024963,4,406,403,0.004950977,0.035157695,0.000118823446,-15.0,5,53
x,0.34051498770713806,0.6005192399024963,4,306,395,-0.16950798,0.03722291,0.0040681916,15.0,6,54
x,0.34051498770713806,0.6005192399024963,4,689,661,0.027691241,0.027206115,0.0006645898,45.0,7,55
x,0.34051498770713806,0.6005192399024963,4,1059,1174,-0.068758644,0.021111865,0.0016502074,75.0,8,56
x,0.34051498770713806,0.6005192399024963,4,1135,1037,0.060239926,0.021418085,0.0014457583,105.0,9,57
x,0.34051498770713806,0.6005192399024963,4,1186,1092,0.055092476,0.020920066,0.0013222195,135.0,10,58
x,0.34051498770713806,0.6005192399024963,4,1813,1771,0.015645862,0.016701784,0.00037550068,165.0,11,59
z,0.1212601587176323,0.256461101770401,0,2029,1904,0.04243305,0.015931133,0.0010183932,-165.0,0,0
z,0.1212601587176323,0.256461101770401,0,1380,1298,0.040880993,0.019307742,0.0009811438,-135.0,1,1
z,0.1212601587176323,0.256461101770401,0,1525,1644,-0.050135214,0.017741583,0.0012032451,-105.0,2,2
z,0.1212601587176323,0.256461101770401,0,1080,1183,-0.060767427,0.020982362,0.0014584182,-75.0,3,3
z,0.1212601587176323,0.256461101770401,0,1201,1260,-0.032008003,0.020147521,0.0007681921,-45.0,4,4
z,0.1212601587176323,0.256461101770401,0,902,1012,-0.07673066,0.022790128,0.0018415359,-15.0,5,5
z,0.1212601587176323,0.256461101770401,0,903,883,0.014950879,0.023659782,0.0003588211,15.0,6,6
z,0.1212601587176323,0.256461101770401,0,1261,1083,0.10138661,0.020548377,0.0024332786,45.0,7,7
z,0.1212601587176323,0.256461101770401,0,1272,1204,0.03666709,0.020083182,0.0008800102,75.0,8,8
z,0.1212601587176323,0.256461101770401,0,1694,1704,-0.0039291154,0.017154772,9.429877e-05,105.0,9,9
z,0.1212601587176323,0.256461101770401,0,1305,1198,0.057074364,0.019955428,0.0013697847,135.0,10,10
z,0.1212601587176323,0.256461101770401,0,1839,1895,-0.020023126,0.0163616,0.00048055503,165.0,11,11
z,0.256461101770401,0.33235433101654055,1,2041,2010,0.010216865,0.015710725,0.00024520475,-165.0,0,12
z,0.256461101770401,0.33235433101654055,1,1277,1338,-0.031144138,0.0195458,0.0007474593,-135.0,1,13
z,0.256461101770401,0.33235433101654055,1,1635,1867,-0.088448405,0.01683203,0.0021227617,-105.0,2,14
z,0.256461101770401,0.33235433101654055,1,1233,1281,-0.025491428,0.019937754,0.00061179424,-75.0,3,15
z,0.256461101770401,0.33235433101654055,1,1127,1220,-0.05290394,0.020612698,0.0012696945,-45.0,4,16
z,0.256461101770401,0.33235433101654055,1,611,589,0.02447708,0.028858865,0.00058744993,-15.0,5,17
z,0.256461101770401,0.33235433101654055,1,614,612,0.0021779991,0.028559705,5.227198e-05,15.0,6,18
z,0.256461101770401,0.33235433101654055,1,1134,1184,-0.028798824,0.02076171,0.0006911718,45.0,7,19
z,0.256461101770401,0.33235433101654055,1,1295,1290,0.0025824246,0.019668367,6.197819e-05,75.0,8,20
z,0.256461101770401,0.33235433101654055,1,1880,1652,0.086185135,0.016763732,0.0020684432,105.0,9,21
z,0.256461101770401,0.33235433101654055,1,1254,1295,-0.021474954,0.019802267,0.0005153989,135.0,10,22
z,0.256461101770401,0.33235433101654055,1,2017,1965,0.017434932,0.015844675,0.00041843837,165.0,11,23
z,0.33235433101654055,0.3989480912685395,2,2187,2337,-0.044267688,0.014852951,0.0010624245,-165.0,0,24
z,0.33235433101654055,0.3989480912685395,2,1292,1366,-0.0371702,0.019383058,0.00089208485,-135.0,1,25
z,0.33235433101654055,0.3989480912685395,2,1662,1756,-0.03671757,0.017093107,0.0008812217,-105.0,2,26
z,0.33235433101654055,0.3989480912685395,2,1391,1452,-0.028646473,0.018747065,0.00068751536,-75.0,3,27
z,0.33235433101654055,0.3989480912685395,2,1091,1100,-0.0054842634,0.021363493,0.00013162232,-45.0,4,28
z,0.33235433101654055,0.3989480912685395,2,514,543,-0.036630362,0.03073767,0.0008791287,-15.0,5,29
z,0.33235433101654055,0.3989480912685395,2,450,485,-0.049977507,0.03266263,0.0011994602,15.0,6,30
z,0.33235433101654055,0.3989480912685395,2,938,843,0.07121605,0.023635453,0.0017091852,45.0,7,31
z,0.33235433101654055,0.3989480912685395,2,1254,1171,0.04569667,0.02028571,0.00109672,75.0,8,32
z,0.33235433101654055,0.3989480912685395,2,1738,1500,0.09813372,0.017488811,0.0023552093,105.0,9,33
z,0.33235433101654055,0.3989480912685395,2,1293,1211,0.043721765,0.01996491,0.0010493224,135.0,10,34
z,0.33235433101654055,0.3989480912685395,2,2308,2217,0.026849795,0.014860523,0.00064439507,165.0,11,35
z,0.3989480912685395,0.47198367714881895,3,2303,2383,-0.02279323,0.014604477,0.0005470375,-165.0,0,36
z,0.3989480912685395,0.47198367714881895,3,1304,1285,0.009798052,0.019652288,0.00023515325,-135.0,1,37
