axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,shift
x,0,0.14328244030475618,0.10672914981842041,23402,23361,-165.0,0,0.0046243267,2.809383e-05,-0.0011705762,0,2.5145942e-05
x,0,0.14328244030475618,0.10672914981842041,8803,8493,-135.0,1,0.007601561,0.00057430874,-0.02392953,1,-0.00025225244
x,0,0.14328244030475618,0.10672914981842041,19050,18561,-105.0,2,0.005155575,0.00041660396,-0.017358499,2,0.00021155924
x,0,0.14328244030475618,0.10672914981842041,8004,7971,-75.0,3,0.007911848,6.619154e-05,-0.002757981,3,-8.945726e-05
x,0,0.14328244030475618,0.10672914981842041,9128,8545,-45.0,4,0.0075149005,0.001057031,-0.044042956,4,-4.490465e-05
x,0,0.14328244030475618,0.10672914981842041,4251,4209,-15.0,5,0.010871896,0.00015907735,-0.0066282228,5,-0.0013972251
x,0,0.14328244030475618,0.10672914981842041,4458,4361,15.0,6,0.010647398,0.00035243723,-0.014684885,6,-0.0014563845
x,0,0.14328244030475618,0.10672914981842041,8859,9159,45.0,7,0.007447995,0.0005335119,0.022229662,7,0.00026099198
x,0,0.14328244030475618,0.10672914981842041,7913,8042,75.0,8,0.007916374,0.0002590731,0.010794712,8,0.00044163968
x,0,0.14328244030475618,0.10672914981842041,18280,19149,105.0,9,0.0051663895,0.00074394525,0.030997718,9,-3.5041943e-05
x,0,0.14328244030475618,0.10672914981842041,8800,8809,135.0,10,0.0075358553,1.637711e-05,0.0006823795,10,0.0002306226
x,0,0.14328244030475618,0.10672914981842041,23164,23450,165.0,11,0.0046315594,0.00019659799,0.008191583,11,0.0002852371
x,1,0.16649549603462221,0.14328244030475618,24344,23757,-165.0,0,0.004558955,0.00039103298,-0.016293041,12,0.00016646832
x,1,0.16649549603462221,0.14328244030475618,9921,9632,-135.0,1,0.007150044,0.00047360238,-0.019733433,13,0.0009887572
x,1,0.16649549603462221,0.14328244030475618,17625,17217,-105.0,2,0.005356676,0.00037522044,-0.015634185,14,0.00017428957
x,1,0.16649549603462221,0.14328244030475618,10113,9669,-75.0,3,0.0071067302,0.0007191876,-0.02996615,15,-0.00023453496
