axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.10681463778018951,0.1780274361371994,0,12245,12233,0.0006545209,0.0063916347,1.5708501e-05,-165.0,0,0
x,0.10681463778018951,0.1780274361371994,0,5929,5861,0.0077004,0.009209377,0.0001848096,-135.0,1,1
x,0.10681463778018951,0.1780274361371994,0,9613,9718,-0.007251923,0.0071921945,0.00017404616,-105.0,2,2
x,0.10681463778018951,0.1780274361371994,0,5758,5913,-0.01773135,0.0092550265,0.0004255524,-75.0,3,3
x,0.10681463778018951,0.1780274361371994,0,5321,5746,-0.051271636,0.009493218,0.0012305193,-45.0,4,4
x,0.10681463778018951,0.1780274361371994,0,2569,2535,0.008893781,0.013996759,0.00021345075,-15.0,5,5
x,0.10681463778018951,0.1780274361371994,0,2470,2502,-0.008592847,0.014181377,0.00020622833,15.0,6,6
x,0.10681463778018951,0.1780274361371994,0,5544,5398,0.017814528,0.009558345,0.0004275487,45.0,7,7
x,0.10681463778018951,0.1780274361371994,0,5851,5682,0.019564223,0.009309915,0.00046954135,75.0,8,8
x,0.10681463778018951,0.1780274361371994,0,9589,9202,0.027496615,0.0072922376,0.00065991876,105.0,9,9
x,0.10681463778018951,0.1780274361371994,0,5802,5808,-0.0006899811,0.009280765,1.6559547e-05,135.0,10,10
x,0.10681463778018951,0.1780274361371994,0,12508,12261,0.013313943,0.0063534155,0.00031953462,165.0,11,11
x,0.1780274361371994,0.2277451455593109,1,12146,12492,-0.018749462,0.0063697286,0.0004499871,-165.0,0,12
x,0.1780274361371994,0.2277451455593109,1,6529,6703,-0.017556662,0.008692012,0.00042135987,-135.0,1,13
x,0.1780274361371994,0.2277451455593109,1,8473,9041,-0.04329933,0.007549181,0.0010391839,-105.0,2,14
x,0.1780274361371994,0.2277451455593109,1,6877,7233,-0.033685356,0.008413757,0.0008084486,-75.0,3,15
x,0.1780274361371994,0.2277451455593109,1,4742,5083,-0.04633829,0.010077828,0.001112119,-45.0,4,16
x,0.1780274361371994,0.2277451455593109,1,2142,2310,-0.05038164,0.014968233,0.0012091594,-15.0,5,17
x,0.1780274361371994,0.2277451455593109,1,2165,2172,-0.0021548984,0.0151846325,5.171756e-05,15.0,6,18
x,0.1780274361371994,0.2277451455593109,1,4972,4729,0.03344321,0.010147259,0.000802637,45.0,7,19
x,0.1780274361371994,0.2277451455593109,1,6791,6495,0.029745115,0.008671828,0.0007138828,75.0,8,20
x,0.1780274361371994,0.2277451455593109,1,8666,8275,0.030814555,0.007679345,0.0007395493,105.0,9,21
x,0.1780274361371994,0.2277451455593109,1,6632,6477,0.015786298,0.008732952,0.00037887113,135.0,10,22
x,0.1780274361371994,0.2277451455593109,1,12595,12379,0.01154739,0.006327425,0.00027713738,165.0,11,23
x,0.2277451455593109,0.27837511897087097,2,12117,12408,-0.015841713,0.0063847075,0.00038020112,-165.0,0,24
x,0.2277451455593109,0.27837511897087097,2,6846,7267,-0.039827306,0.008410961,0.00095585536,-135.0,1,25
x,0.2277451455593109,0.27837511897087097,2,7917,8328,-0.033778496,0.007841376,0.00081068394,-105.0,2,26
x,0.2277451455593109,0.27837511897087097,2,6918,7256,-0.031837754,0.008395249,0.0007641061,-75.0,3,27
x,0.2277451455593109,0.27837511897087097,2,4699,4920,-0.030674715,0.010191324,0.00073619315,-45.0,4,28
x,0.2277451455593109,0.27837511897087097,2,2262,2242,0.0059285676,0.014900236,0.00014228563,-15.0,5,29
x,0.2277451455593109,0.27837511897087097,2,2178,2101,0.024025178,0.015282819,0.0005766043,15.0,6,30
x,0.2277451455593109,0.27837511897087097,2,4767,4664,0.014581347,0.010296152,0.00034995232,45.0,7,31
x,0.2277451455593109,0.27837511897087097,2,7383,6912,0.043990098,0.008355786,0.0010557624,75.0,8,32
x,0.2277451455593109,0.27837511897087097,2,8029,7664,0.031053107,0.007978799,0.0007452746,105.0,9,33
x,0.2277451455593109,0.27837511897087097,2,7220,6967,0.023809383,0.008393277,0.0005714252,135.0,10,34
x,0.2277451455593109,0.27837511897087097,2,12457,12484,-0.0014453335,0.006332025,3.4688004e-05,165.0,11,35
x,0.27837511897087097,0.34051498770713806,3,11856,12200,-0.019092077,0.0064462796,0.00045820986,-165.0,0,36
x,0.27837511897087097,0.34051498770713806,3,7299,7540,-0.021683559,0.00820721,0.0005204054,-135.0,1,37
x,0.27837511897087097,0.34051498770713806,3,7417,7745,-0.02888255,0.008117841,0.0006931812,-105.0,2,38
x,0.27837511897087097,0.34051498770713806,3,7153,7762,-0.054514524,0.008176022,0.0013083486,-75.0,3,39
x,0.27837511897087097,0.34051498770713806,3,4756,4955,-0.027359447,0.010143911,0.0006566267,-45.0,4,40
x,0.27837511897087097,0.34051498770713806,3,2332,2355,-0.0065516555,0.0146064,0.00015723973,-15.0,5,41
