axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.06642547994852066,0.15938930809497834,0,107495,108304,-0.005005152,0.0021526322,0.000120123645,-165.0,0,0
x,0.06642547994852066,0.15938930809497834,0,58727,59305,-0.00653802,0.0029106557,0.00015691249,-135.0,1,1
x,0.06642547994852066,0.15938930809497834,0,76321,78995,-0.022985999,0.002536747,0.000551664,-105.0,2,2
x,0.06642547994852066,0.15938930809497834,0,63731,65630,-0.019599264,0.0027798086,0.00047038237,-75.0,3,3
x,0.06642547994852066,0.15938930809497834,0,43598,44093,-0.0075364765,0.0033768374,0.00018087543,-45.0,4,4
x,0.06642547994852066,0.15938930809497834,0,22725,22907,-0.0053250054,0.0046812203,0.00012780013,-15.0,5,5
x,0.06642547994852066,0.15938930809497834,0,23464,23462,5.6902933e-05,0.0046162917,1.3656704e-06,15.0,6,6
x,0.06642547994852066,0.15938930809497834,0,44270,43344,0.01411093,0.0033780804,0.00033866233,45.0,7,7
x,0.06642547994852066,0.15938930809497834,0,65697,63749,0.020091783,0.0027788684,0.0004822028,75.0,8,8
x,0.06642547994852066,0.15938930809497834,0,79934,77012,0.024856966,0.0025234267,0.0005965672,105.0,9,9
x,0.06642547994852066,0.15938930809497834,0,60079,58613,0.016490381,0.0029022193,0.00039576917,135.0,10,10
x,0.06642547994852066,0.15938930809497834,0,109275,108371,0.0055454387,0.002143473,0.00013309054,165.0,11,11
x,0.15938930809497834,0.20139681696891787,1,101383,102065,-0.0044755777,0.0022170166,0.00010741386,-165.0,0,12
x,0.15938930809497834,0.20139681696891787,1,65135,67030,-0.019143041,0.0027501867,0.00045943298,-135.0,1,13
x,0.15938930809497834,0.20139681696891787,1,69701,72521,-0.026472837,0.002650723,0.0006353481,-105.0,2,14
x,0.15938930809497834,0.20139681696891787,1,68037,70716,-0.025777956,0.002683703,0.00061867095,-75.0,3,15
x,0.15938930809497834,0.20139681696891787,1,44316,45903,-0.023485353,0.003328367,0.0005636485,-45.0,4,16
x,0.15938930809497834,0.20139681696891787,1,23944,23836,0.003017837,0.0045748297,7.242809e-05,-15.0,5,17
x,0.15938930809497834,0.20139681696891787,1,23951,23720,0.006469577,0.0045799823,0.00015526985,15.0,6,18
x,0.15938930809497834,0.20139681696891787,1,45940,44117,0.02702635,0.0033310612,0.0006486324,45.0,7,19
x,0.15938930809497834,0.20139681696891787,1,70679,67915,0.02662636,0.0026851823,0.00063903263,75.0,8,20
x,0.15938930809497834,0.20139681696891787,1,72293,69183,0.029349167,0.0026574892,0.00070438,105.0,9,21
x,0.15938930809497834,0.20139681696891787,1,67251,65588,0.01671417,0.0027433203,0.0004011401,135.0,10,22
x,0.15938930809497834,0.20139681696891787,1,102794,101122,0.010947201,0.0022143605,0.00026273285,165.0,11,23
x,0.20139681696891787,0.24664562046527866,2,96722,97444,-0.004964576,0.0022693842,0.00011914983,-165.0,0,24
x,0.20139681696891787,0.24664562046527866,2,66865,69097,-0.021917693,0.0027113582,0.00052602467,-135.0,1,25
x,0.20139681696891787,0.24664562046527866,2,67477,70800,-0.032084744,0.0026878275,0.00077003386,-105.0,2,26
x,0.20139681696891787,0.24664562046527866,2,68496,71132,-0.025205255,0.00267532,0.00060492614,-75.0,3,27
x,0.20139681696891787,0.24664562046527866,2,47051,48847,-0.025004314,0.0032281925,0.0006001035,-45.0,4,28
x,0.20139681696891787,0.24664562046527866,2,25648,25707,-0.0015338662,0.004412738,3.6812788e-05,-15.0,5,29
x,0.20139681696891787,0.24664562046527866,2,25685,25303,0.010002615,0.004428374,0.00024006276,15.0,6,30
x,0.20139681696891787,0.24664562046527866,2,48673,47218,0.020258315,0.0032286574,0.00048619957,45.0,7,31
x,0.20139681696891787,0.24664562046527866,2,71601,68113,0.03333149,0.00267386,0.0007999558,75.0,8,32
x,0.20139681696891787,0.24664562046527866,2,70717,67037,0.035666604,0.002692598,0.0008559985,105.0,9,33
x,0.20139681696891787,0.24664562046527866,2,69547,66644,0.028458815,0.002708631,0.00068301155,135.0,10,34
x,0.20139681696891787,0.24664562046527866,2,97830,95462,0.016356334,0.002274233,0.00039255203,165.0,11,35
x,0.24664562046527866,0.3102180302143097,3,93401,94937,-0.010888585,0.002304121,0.00026132603,-165.0,0,36
x,0.24664562046527866,0.3102180302143097,3,68077,70577,-0.024072753,0.0026847753,0.0005777461,-135.0,1,37
x,0.24664562046527866,0.3102180302143097,3,65972,69365,-0.033472296,0.0027167413,0.0008033351,-105.0,2,38
x,0.24664562046527866,0.3102180302143097,3,67299,71084,-0.036517523,0.0026863888,0.0008764206,-75.0,3,39
x,0.24664562046527866,0.3102180302143097,3,50426,51743,-0.017210156,0.0031280674,0.00041304374,-45.0,4,40
x,0.24664562046527866,0.3102180302143097,3,26050,25992,0.0014879633,0.0043835156,3.5711117e-05,-15.0,5,41
x,0.24664562046527866,0.3102180302143097,3,25943,25933,0.0002573663,0.004390528,6.1767914e-06,15.0,6,42
x,0.24664562046527866,0.3102180302143097,3,51969,49606,0.031059543,0.0031361512,0.000745429,45.0,7,43
x,0.24664562046527866,0.3102180302143097,3,71535,67686,0.03691147,0.0026782528,0.00088587526,75.0,8,44
x,0.24664562046527866,0.3102180302143097,3,69541,65848,0.036417834,0.0027159397,0.000874028,105.0,9,45
x,0.24664562046527866,0.3102180302143097,3,70534,67496,0.029385457,0.0026904547,0.00070525095,135.0,10,46
x,0.24664562046527866,0.3102180302143097,3,94741,93354,0.009845038,0.0023056339,0.00023628092,165.0,11,47
x,0.3102180302143097,0.6620224714279175,4,89913,91324,-0.010394374,0.0023488381,0.00024946497,-165.0,0,48
x,0.3102180302143097,0.6620224714279175,4,69510,72814,-0.030994173,0.0026494286,0.00074386015,-135.0,1,49
x,0.3102180302143097,0.6620224714279175,4,65773,70573,-0.04700207,0.0027051948,0.0011280497,-105.0,2,50
x,0.3102180302143097,0.6620224714279175,4,66762,71250,-0.043416437,0.0026892542,0.0010419945,-75.0,3,51
x,0.3102180302143097,0.6620224714279175,4,52274,54738,-0.030741595,0.0030554729,0.0007377983,-45.0,4,52
x,0.3102180302143097,0.6620224714279175,4,25217,25488,-0.0071357014,0.004440824,0.00017125683,-15.0,5,53
x,0.3102180302143097,0.6620224714279175,4,25440,24896,0.014429071,0.004456721,0.00034629772,15.0,6,54
x,0.3102180302143097,0.6620224714279175,4,54835,52307,0.03150181,0.0030535464,0.0007560435,45.0,7,55
x,0.3102180302143097,0.6620224714279175,4,71442,66596,0.04687086,0.002688581,0.0011249006,75.0,8,56
x,0.3102180302143097,0.6620224714279175,4,70613,65535,0.049796592,0.0027067943,0.0011951182,105.0,9,57
x,0.3102180302143097,0.6620224714279175,4,72268,68429,0.036429353,0.0026642147,0.0008743045,135.0,10,58
x,0.3102180302143097,0.6620224714279175,4,91315,89804,0.011138293,0.0023495844,0.00026731903,165.0,11,59
z,0.11137887835502625,0.2753820359706879,0,127471,127161,0.0016254248,0.001981723,3.9010196e-05,-165.0,0,0
z,0.11137887835502625,0.2753820359706879,0,100247,100679,-0.0028705543,0.0022309,6.889331e-05,-135.0,1,1
z,0.11137887835502625,0.2753820359706879,0,123866,124853,-0.005298176,0.0020051156,0.00012715622,-105.0,2,2
z,0.11137887835502625,0.2753820359706879,0,97623,99342,-0.011652121,0.0022530768,0.0002796509,-75.0,3,3
