axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,2112,2214,-165.0,0,0.015196425,0.000755515,0.03147979,0
x,0,0.1780274361371994,0.10681463778018951,1122,1087,-135.0,1,0.021271834,0.00050769374,-0.021153904,1
x,0,0.1780274361371994,0.10681463778018951,1800,1892,-105.0,2,0.016448589,0.0007984644,0.03326935,2
x,0,0.1780274361371994,0.10681463778018951,1162,1098,-75.0,3,0.021020118,0.0009074045,-0.037808523,3
x,0,0.1780274361371994,0.10681463778018951,1152,1077,-45.0,4,0.021159543,0.0010781536,-0.044923067,4
x,0,0.1780274361371994,0.10681463778018951,469,526,-15.0,5,0.03160927,0.0018356134,0.07648389,5
x,0,0.1780274361371994,0.10681463778018951,505,491,15.0,6,0.031680632,0.00045039976,-0.018766657,6
x,0,0.1780274361371994,0.10681463778018951,977,1013,45.0,7,0.022410253,0.0005796674,0.024152808,7
x,0,0.1780274361371994,0.10681463778018951,1044,1086,75.0,8,0.02166006,0.0006318284,0.026326181,8
x,0,0.1780274361371994,0.10681463778018951,1781,1831,105.0,9,0.016636116,0.00044355931,0.018481638,9
x,0,0.1780274361371994,0.10681463778018951,1066,1131,135.0,10,0.021317972,0.0009480096,0.0395004,10
x,0,0.1780274361371994,0.10681463778018951,2174,2144,165.0,11,0.015217383,0.00022262197,-0.009275915,11
x,1,0.2277451455593109,0.1780274361371994,2394,2356,-165.0,0,0.014508697,0.0002563418,-0.010680908,12
x,1,0.2277451455593109,0.1780274361371994,1328,1230,-135.0,1,0.019746078,0.0012275946,-0.05114977,13
x,1,0.2277451455593109,0.1780274361371994,1757,1681,-105.0,2,0.017047387,0.00070833246,-0.029513853,14
x,1,0.2277451455593109,0.1780274361371994,1416,1298,-75.0,3,0.01916294,0.001393162,-0.058048412,15
x,1,0.2277451455593109,0.1780274361371994,960,896,-45.0,4,0.023187306,0.0011049216,-0.046038397,16
x,1,0.2277451455593109,0.1780274361371994,452,415,-15.0,5,0.03390661,0.0013674519,-0.05697716,17
x,1,0.2277451455593109,0.1780274361371994,400,458,15.0,6,0.03400011,0.0021660582,0.09025242,18
x,1,0.2277451455593109,0.1780274361371994,816,882,45.0,7,0.024235142,0.0012454769,0.05189487,19
x,1,0.2277451455593109,0.1780274361371994,1188,1320,75.0,8,0.019918716,0.0016864592,0.07026913,20
x,1,0.2277451455593109,0.1780274361371994,1590,1783,105.0,9,0.017168045,0.0018334554,0.07639398,21
x,1,0.2277451455593109,0.1780274361371994,1226,1300,135.0,10,0.01988158,0.0009387021,0.039112587,22
x,1,0.2277451455593109,0.1780274361371994,2248,2369,165.0,11,0.014708014,0.0008397595,0.03498998,23
x,2,0.27837511897087097,0.2277451455593109,2383,2302,-165.0,0,0.014605938,0.00055399374,-0.023083072,24
x,2,0.27837511897087097,0.2277451455593109,1476,1392,-135.0,1,0.01865856,0.00093848986,-0.039103743,25
x,2,0.27837511897087097,0.2277451455593109,1706,1607,-105.0,2,0.017359747,0.00095750974,-0.03989624,26
x,2,0.27837511897087097,0.2277451455593109,1453,1370,-75.0,3,0.018806575,0.0009420992,-0.039254133,27
x,2,0.27837511897087097,0.2277451455593109,883,901,-45.0,4,0.023673538,0.00032330104,0.013470876,28
x,2,0.27837511897087097,0.2277451455593109,429,417,-15.0,5,0.034374543,0.00045450672,-0.01893778,29
x,2,0.27837511897087097,0.2277451455593109,385,405,15.0,6,0.035558075,0.0008112082,0.03380034,30
x,2,0.27837511897087097,0.2277451455593109,799,889,45.0,7,0.024277873,0.0017084391,0.07118496,31
x,2,0.27837511897087097,0.2277451455593109,1388,1479,75.0,8,0.018659322,0.0010170519,0.042377163,32
x,2,0.27837511897087097,0.2277451455593109,1531,1659,105.0,9,0.01767993,0.0012857268,0.05357195,33
x,2,0.27837511897087097,0.2277451455593109,1364,1382,135.0,10,0.019082405,0.0002100397,0.008751654,34
x,2,0.27837511897087097,0.2277451455593109,2309,2234,165.0,11,0.014832798,0.0005289906,-0.022041274,35
x,3,0.34051498770713806,0.27837511897087097,2365,2362,-165.0,0,0.014544777,2.0335978e-05,-0.0008473324,36
x,3,0.34051498770713806,0.27837511897087097,1532,1457,-135.0,1,0.018280717,0.00080401613,-0.03350067,37
x,3,0.34051498770713806,0.27837511897087097,1621,1509,-105.0,2,0.017853841,0.0011465767,-0.047774028,38
x,3,0.34051498770713806,0.27837511897087097,1619,1444,-75.0,3,0.018016038,0.0018307139,-0.076279745,39
x,3,0.34051498770713806,0.27837511897087097,926,932,-45.0,4,0.023199204,0.000103474886,0.0043114536,40
x,3,0.34051498770713806,0.27837511897087097,461,464,-15.0,5,0.032879487,0.00010392234,0.0043300977,41
x,3,0.34051498770713806,0.27837511897087097,386,447,15.0,6,0.03448195,0.0023464658,0.09776941,42
x,3,0.34051498770713806,0.27837511897087097,913,916,45.0,7,0.023382563,5.2557774e-05,0.0021899072,43
x,3,0.34051498770713806,0.27837511897087097,1423,1512,75.0,8,0.018443346,0.00097165327,0.040485553,44
x,3,0.34051498770713806,0.27837511897087097,1501,1580,105.0,9,0.018005265,0.0008216083,0.034233678,45
x,3,0.34051498770713806,0.27837511897087097,1414,1456,135.0,10,0.018662771,0.00046891792,0.019538246,46
x,3,0.34051498770713806,0.27837511897087097,2266,2261,165.0,11,0.014862583,3.539068e-05,-0.0014746117,47
x,4,0.6005192399024963,0.34051498770713806,2257,2398,-165.0,0,0.0146448435,0.00097057445,0.0404406,48
x,4,0.6005192399024963,0.34051498770713806,1572,1598,-135.0,1,0.017760055,0.00026281097,0.010950457,49
x,4,0.6005192399024963,0.34051498770713806,1585,1406,-105.0,2,0.018226406,0.0019176353,-0.07990147,50
x,4,0.6005192399024963,0.34051498770713806,1539,1329,-75.0,3,0.0185834,0.0023462244,-0.09775935,51
x,4,0.6005192399024963,0.34051498770713806,948,885,-45.0,4,0.023332488,0.0011013048,-0.045887697,52
x,4,0.6005192399024963,0.34051498770713806,462,457,-15.0,5,0.032986086,0.00017433474,-0.0072639473,53
x,4,0.6005192399024963,0.34051498770713806,397,432,15.0,6,0.034676217,0.001352829,0.056367878,54
x,4,0.6005192399024963,0.34051498770713806,865,927,45.0,7,0.023597565,0.0011086209,0.046192538,55
x,4,0.6005192399024963,0.34051498770713806,1483,1433,75.0,8,0.018513665,0.0005494294,-0.02289289,56
x,4,0.6005192399024963,0.34051498770713806,1347,1459,105.0,9,0.018851183,0.0012789683,0.053290345,57
