axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.10681463778018951,0.1780274361371994,0,1699,1765,-0.025438074,0.016985195,0.0006105138,-165.0,0,0
x,0.10681463778018951,0.1780274361371994,0,890,840,0.038587093,0.024024446,0.00092609023,-135.0,1,1
x,0.10681463778018951,0.1780274361371994,0,1451,1468,-0.0077755833,0.01850844,0.000186614,-105.0,2,2
x,0.10681463778018951,0.1780274361371994,0,833,824,0.0072516724,0.024565598,0.00017404013,-75.0,3,3
x,0.10681463778018951,0.1780274361371994,0,823,880,-0.044686712,0.024207985,0.0010724812,-45.0,4,4
x,0.10681463778018951,0.1780274361371994,0,370,333,0.07026913,0.037622485,0.0016864592,-15.0,5,5
x,0.10681463778018951,0.1780274361371994,0,308,312,-0.008613635,0.040159475,0.00020672724,15.0,6,6
x,0.10681463778018951,0.1780274361371994,0,761,734,0.024112416,0.02585551,0.000578698,45.0,7,7
x,0.10681463778018951,0.1780274361371994,0,745,694,0.04731813,0.02633194,0.0011356352,75.0,8,8
x,0.10681463778018951,0.1780274361371994,0,1293,1255,0.019911425,0.019806793,0.00047787421,105.0,9,9
x,0.10681463778018951,0.1780274361371994,0,813,871,-0.04598372,0.024342733,0.0011036093,135.0,10,10
x,0.10681463778018951,0.1780274361371994,0,1699,1641,0.023184605,0.017298562,0.00055643055,165.0,11,11
x,0.1780274361371994,0.2277451455593109,1,1636,1673,-0.014928739,0.01738214,0.00035828972,-165.0,0,12
x,0.1780274361371994,0.2277451455593109,1,950,876,0.05410646,0.023367539,0.001298555,-135.0,1,13
x,0.1780274361371994,0.2277451455593109,1,1260,1357,-0.049486436,0.01952386,0.0011876745,-105.0,2,14
x,0.1780274361371994,0.2277451455593109,1,1026,1018,0.005225493,0.022118397,0.00012541184,-75.0,3,15
x,0.1780274361371994,0.2277451455593109,1,692,771,-0.07209431,0.026076317,0.0017302633,-45.0,4,16
x,0.1780274361371994,0.2277451455593109,1,264,326,-0.14030007,0.040762145,0.0033672017,-15.0,5,17
x,0.1780274361371994,0.2277451455593109,1,328,279,0.10777687,0.040352322,0.002586645,15.0,6,18
x,0.1780274361371994,0.2277451455593109,1,689,638,0.05131182,0.02741524,0.0012314838,45.0,7,19
x,0.1780274361371994,0.2277451455593109,1,870,869,0.0007677479,0.02398005,1.842595e-05,75.0,8,20
x,0.1780274361371994,0.2277451455593109,1,1204,1168,0.020263104,0.020528324,0.0004863145,105.0,9,21
x,0.1780274361371994,0.2277451455593109,1,918,853,0.049001906,0.023733877,0.0011760457,135.0,10,22
x,0.1780274361371994,0.2277451455593109,1,1632,1652,-0.00813102,0.017449543,0.00019514447,165.0,11,23
x,0.2277451455593109,0.27837511897087097,2,1675,1715,-0.01575355,0.017173003,0.0003780852,-165.0,0,24
x,0.2277451455593109,0.27837511897087097,2,987,1058,-0.04635357,0.02208952,0.0011124858,-135.0,1,25
x,0.2277451455593109,0.27837511897087097,2,1141,1238,-0.05443716,0.020471908,0.0013064919,-105.0,2,26
x,0.2277451455593109,0.27837511897087097,2,1090,1082,0.0049175452,0.021456795,0.00011802109,-75.0,3,27
