axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.10681463778018951,0.17718307673931125,0,2423,2447,-0.0065796147,0.0143293375,0.00015791075,-165.0,0,0
x,0.10681463778018951,0.17718307673931125,0,1260,1289,-0.0151896,0.01980455,0.00036455042,-135.0,1,1
x,0.10681463778018951,0.17718307673931125,0,1933,1959,-0.008919052,0.016028626,0.00021405725,-105.0,2,2
x,0.10681463778018951,0.17718307673931125,0,1213,1233,-0.010916708,0.02021836,0.000262001,-75.0,3,3
x,0.10681463778018951,0.17718307673931125,0,1155,1231,-0.042526666,0.020453691,0.00102064,-45.0,4,4
x,0.10681463778018951,0.17718307673931125,0,534,604,-0.08212473,0.029543325,0.0019709936,-15.0,5,5
x,0.10681463778018951,0.17718307673931125,0,599,582,0.0192184,0.029093424,0.0004612416,15.0,6,6
x,0.10681463778018951,0.17718307673931125,0,1208,1109,0.05704628,0.020740975,0.0013691107,45.0,7,7
x,0.10681463778018951,0.17718307673931125,0,1281,1158,0.06733044,0.020202609,0.0016159306,75.0,8,8
x,0.10681463778018951,0.17718307673931125,0,2040,1878,0.055203773,0.015951628,0.0013248905,105.0,9,9
x,0.10681463778018951,0.17718307673931125,0,1178,1314,-0.07286333,0.01997883,0.00174872,135.0,10,10
x,0.10681463778018951,0.17718307673931125,0,2579,2354,0.060896117,0.0142114265,0.0014615068,165.0,11,11
x,0.17718307673931125,0.22535382211208344,1,2496,2520,-0.0063881027,0.014119274,0.00015331447,-165.0,0,12
x,0.17718307673931125,0.22535382211208344,1,1370,1410,-0.019210266,0.01896258,0.00046104638,-135.0,1,13
x,0.17718307673931125,0.22535382211208344,1,1751,1828,-0.02872415,0.016708594,0.00068937964,-105.0,2,14
x,0.17718307673931125,0.22535382211208344,1,1452,1456,-0.0018364697,0.018543942,4.4075274e-05,-75.0,3,15
x,0.17718307673931125,0.22535382211208344,1,1043,1040,0.001922871,0.021910615,4.6148903e-05,-45.0,4,16
x,0.17718307673931125,0.22535382211208344,1,477,483,-0.008344459,0.03227374,0.00020026702,-15.0,5,17
x,0.17718307673931125,0.22535382211208344,1,464,554,-0.11803557,0.031122858,0.0028328537,15.0,6,18
x,0.17718307673931125,0.22535382211208344,1,1098,1075,0.014131436,0.021449974,0.00033915447,45.0,7,19
x,0.17718307673931125,0.22535382211208344,1,1449,1312,0.06624793,0.01898942,0.0015899504,75.0,8,20
x,0.17718307673931125,0.22535382211208344,1,1858,1779,0.029000266,0.0165747,0.0006960064,105.0,9,21
x,0.17718307673931125,0.22535382211208344,1,1389,1369,0.009681751,0.019040681,0.00023236203,135.0,10,22
x,0.17718307673931125,0.22535382211208344,1,2433,2457,-0.006552704,0.014300007,0.0001572649,165.0,11,23
x,0.22535382211208344,0.2737313747406006,2,2436,2549,-0.030264357,0.014156909,0.0007263446,-165.0,0,24
x,0.22535382211208344,0.2737313747406006,2,1476,1476,0.0,0.018405255,0.0,-135.0,1,25
x,0.22535382211208344,0.2737313747406006,2,1597,1688,-0.03698488,0.017435526,0.00088763714,-105.0,2,26
x,0.22535382211208344,0.2737313747406006,2,1511,1475,0.016096478,0.018297799,0.00038631549,-75.0,3,27
x,0.22535382211208344,0.2737313747406006,2,998,1086,-0.05637715,0.02187056,0.0013530516,-45.0,4,28
x,0.22535382211208344,0.2737313747406006,2,504,507,-0.003961761,0.031450026,9.5082265e-05,-15.0,5,29
x,0.22535382211208344,0.2737313747406006,2,485,507,-0.029609371,0.031736113,0.0007106249,15.0,6,30
x,0.22535382211208344,0.2737313747406006,2,1066,1020,0.029441621,0.021885403,0.0007065989,45.0,7,31
x,0.22535382211208344,0.2737313747406006,2,1598,1431,0.073609754,0.018120516,0.0017666342,75.0,8,32
x,0.22535382211208344,0.2737313747406006,2,1681,1599,0.033377837,0.01745103,0.0008010681,105.0,9,33
x,0.22535382211208344,0.2737313747406006,2,1475,1441,0.015567166,0.018516274,0.00037361198,135.0,10,34
x,0.22535382211208344,0.2737313747406006,2,2472,2442,0.008150876,0.014264876,0.00019562102,165.0,11,35
x,0.2737313747406006,0.33397098183631896,3,2299,2467,-0.047062326,0.014469099,0.0011294958,-165.0,0,36
x,0.2737313747406006,0.33397098183631896,3,1532,1524,0.0034950615,0.018089255,8.388148e-05,-135.0,1,37
x,0.2737313747406006,0.33397098183631896,3,1523,1631,-0.045717265,0.017787496,0.0010972144,-105.0,2,38
x,0.2737313747406006,0.33397098183631896,3,1462,1616,-0.06679905,0.017984344,0.0016031773,-75.0,3,39
x,0.2737313747406006,0.33397098183631896,3,1107,1017,0.056572605,0.021663401,0.0013577426,-45.0,4,40
x,0.2737313747406006,0.33397098183631896,3,545,512,0.041682824,0.03073158,0.0010003878,-15.0,5,41
x,0.2737313747406006,0.33397098183631896,3,529,481,0.06345094,0.031402435,0.0015228225,15.0,6,42
x,0.2737313747406006,0.33397098183631896,3,1062,1046,0.010133688,0.021779224,0.00024320852,45.0,7,43
x,0.2737313747406006,0.33397098183631896,3,1599,1526,0.031188251,0.017879842,0.00074851804,75.0,8,44
x,0.2737313747406006,0.33397098183631896,3,1595,1534,0.026028099,0.01787105,0.0006246744,105.0,9,45
x,0.2737313747406006,0.33397098183631896,3,1571,1570,0.00042506,0.017842922,1.020144e-05,135.0,10,46
x,0.2737313747406006,0.33397098183631896,3,2505,2440,0.01754952,0.014218375,0.00042118848,165.0,11,47
x,0.33397098183631896,0.6021702885627747,4,2378,2353,0.007055133,0.0145382695,0.00016932319,-165.0,0,48
x,0.33397098183631896,0.6021702885627747,4,1611,1640,-0.011909656,0.017537218,0.00028583175,-135.0,1,49
x,0.33397098183631896,0.6021702885627747,4,1520,1616,-0.04087082,0.017842222,0.0009808997,-105.0,2,50
x,0.33397098183631896,0.6021702885627747,4,1479,1622,-0.061567634,0.017923567,0.0014776232,-75.0,3,51
x,0.33397098183631896,0.6021702885627747,4,992,1077,-0.05485,0.021951564,0.0013164,-45.0,4,52
x,0.33397098183631896,0.6021702885627747,4,492,535,-0.055900563,0.03115553,0.0013416135,-15.0,5,53
x,0.33397098183631896,0.6021702885627747,4,518,512,0.00777736,0.031157905,0.00018665663,15.0,6,54
x,0.33397098183631896,0.6021702885627747,4,1111,1040,0.044069298,0.021540593,0.0010576631,45.0,7,55
x,0.33397098183631896,0.6021702885627747,4,1530,1515,0.0065769134,0.018121617,0.00015784592,75.0,8,56
x,0.33397098183631896,0.6021702885627747,4,1597,1472,0.054379012,0.018024303,0.0013050963,105.0,9,57
x,0.33397098183631896,0.6021702885627747,4,1636,1577,0.024516555,0.017636567,0.0005883973,135.0,10,58
x,0.33397098183631896,0.6021702885627747,4,2424,2379,0.01250887,0.014428119,0.00030021288,165.0,11,59
z,0.12744246423244476,0.2507466971874237,0,2692,2830,-0.03336575,0.013449617,0.000800778,-165.0,0,0
z,0.12744246423244476,0.2507466971874237,0,1774,1862,-0.032312974,0.016575294,0.0007755114,-135.0,1,1
z,0.12744246423244476,0.2507466971874237,0,2085,2229,-0.044565678,0.015209965,0.0010695762,-105.0,2,2
z,0.12744246423244476,0.2507466971874237,0,1571,1534,0.015909564,0.017943792,0.00038182954,-75.0,3,3
z,0.12744246423244476,0.2507466971874237,0,1498,1529,-0.013673115,0.018174112,0.00032815474,-45.0,4,4
z,0.12744246423244476,0.2507466971874237,0,1101,1108,-0.0042307805,0.021276405,0.00010153873,-15.0,5,5
z,0.12744246423244476,0.2507466971874237,0,1069,1067,0.0012501063,0.021637099,3.0002551e-05,15.0,6,6
z,0.12744246423244476,0.2507466971874237,0,1484,1421,0.02895427,0.018545767,0.0006949025,45.0,7,7
z,0.12744246423244476,0.2507466971874237,0,1539,1415,0.05604403,0.018370105,0.0013450568,75.0,8,8
z,0.12744246423244476,0.2507466971874237,0,2109,1991,0.03842522,0.015605842,0.0009222053,105.0,9,9
z,0.12744246423244476,0.2507466971874237,0,1782,1698,0.032226875,0.016942782,0.000773445,135.0,10,10
z,0.12744246423244476,0.2507466971874237,0,3031,2857,0.03945478,0.013022003,0.0009469147,165.0,11,11
z,0.2507466971874237,0.31731894612312317,1,2795,2905,-0.025765348,0.013240926,0.0006183684,-165.0,0,12
z,0.2507466971874237,0.31731894612312317,1,1697,1761,-0.024710024,0.017000234,0.0005930406,-135.0,1,13
z,0.2507466971874237,0.31731894612312317,1,2216,2257,-0.012237794,0.014950924,0.00029370704,-105.0,2,14
z,0.2507466971874237,0.31731894612312317,1,1618,1683,-0.026289724,0.017399112,0.00063095335,-75.0,3,15
z,0.2507466971874237,0.31731894612312317,1,1486,1502,-0.007149202,0.018293576,0.00017158085,-45.0,4,16
z,0.2507466971874237,0.31731894612312317,1,787,789,-0.0016943064,0.0251896,4.0663355e-05,-15.0,5,17
z,0.2507466971874237,0.31731894612312317,1,807,862,-0.04399715,0.024454067,0.0010559316,15.0,6,18
z,0.2507466971874237,0.31731894612312317,1,1522,1440,0.036961276,0.018361604,0.0008870706,45.0,7,19
