axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,shift
x,0,0.14328244030475618,0.10672914981842041,22885,22846,-165.0,0,0.004676214,2.7326458e-05,-0.0011386024,0,-6.827875e-06
x,0,0.14328244030475618,0.10672914981842041,8574,8240,-135.0,1,0.0077092424,0.00063650945,-0.026521226,1,0.0023394432
x,0,0.14328244030475618,0.10672914981842041,18633,18154,-105.0,2,0.0052129934,0.0004172252,-0.017384384,2,0.00023744442
x,0,0.14328244030475618,0.10672914981842041,7820,7774,-75.0,3,0.008007886,9.45213e-05,-0.0039383876,3,0.0010909494
x,0,0.14328244030475618,0.10672914981842041,8893,8342,-45.0,4,0.0076102405,0.0010244005,-0.04268335,4,-0.001404509
x,0,0.14328244030475618,0.10672914981842041,4108,4043,-15.0,5,0.011075668,0.0002555241,-0.010646837,5,0.002621389
x,0,0.14328244030475618,0.10672914981842041,4291,4189,15.0,6,0.010857905,0.00038541952,-0.016059147,6,-8.212216e-05
x,0,0.14328244030475618,0.10672914981842041,8632,8930,45.0,7,0.0075439974,0.0005437155,0.022654813,7,-0.00016415864
x,0,0.14328244030475618,0.10672914981842041,7721,7857,75.0,8,0.008011515,0.00027974133,0.0116558885,8,-0.0004195366
x,0,0.14328244030475618,0.10672914981842041,17852,18717,105.0,9,0.0052266903,0.00075793586,0.03158066,9,-0.0006179847
x,0,0.14328244030475618,0.10672914981842041,8551,8595,135.0,10,0.0076368814,8.222792e-05,0.0034261632,10,-0.0025131612
x,0,0.14328244030475618,0.10672914981842041,22656,22926,165.0,11,0.004683707,0.00018980158,0.007908399,11,0.0005684206
x,1,0.16649549603462221,0.14328244030475618,23803,23217,-165.0,0,0.0046110367,0.00039934146,-0.016639227,12,0.00051265396
x,1,0.16649549603462221,0.14328244030475618,9673,9404,-135.0,1,0.0072388235,0.00045182643,-0.018826101,13,8.142553e-05
x,1,0.16649549603462221,0.14328244030475618,17209,16804,-105.0,2,0.00542154,0.0003815395,-0.015897479,14,0.00043758377
