axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,shift
x,0,0.14328244030475618,0.10672914981842041,23332,23292,-165.0,0,0.0046312152,2.7490327e-05,-0.0011454303,0,0.0
x,0,0.14328244030475618,0.10672914981842041,8769,8457,-135.0,1,0.007616944,0.0005803628,-0.024181783,1,0.0
x,0,0.14328244030475618,0.10672914981842041,19006,18524,-105.0,2,0.0051611545,0.00041152656,-0.01714694,2,0.0
x,0,0.14328244030475618,0.10672914981842041,7988,7954,-75.0,3,0.0079200305,6.8338515e-05,-0.0028474382,3,0.0
x,0,0.14328244030475618,0.10672914981842041,9119,8536,-45.0,4,0.007518715,0.0010581086,-0.04408786,4,0.0
x,0,0.14328244030475618,0.10672914981842041,4184,4134,-15.0,5,0.01096419,0.00019261075,-0.008025448,5,0.0
x,0,0.14328244030475618,0.10672914981842041,4395,4290,15.0,6,0.010728981,0.00038739046,-0.01614127,6,0.0
x,0,0.14328244030475618,0.10672914981842041,8842,9145,45.0,7,0.007454367,0.0005397757,0.022490654,7,0.0
x,0,0.14328244030475618,0.10672914981842041,7894,8028,75.0,8,0.007924534,0.00026967246,0.011236352,8,0.0
x,0,0.14328244030475618,0.10672914981842041,18238,19104,105.0,9,0.00517241,0.0007431042,0.030962676,9,0.0
x,0,0.14328244030475618,0.10672914981842041,8768,8780,135.0,10,0.007548941,2.191205e-05,0.0009130021,10,0.0
x,0,0.14328244030475618,0.10672914981842041,23084,23379,165.0,11,0.004639068,0.00020344368,0.00847682,11,0.0
x,1,0.16649549603462221,0.14328244030475618,24299,23719,-165.0,0,0.0045629055,0.00038703775,-0.016126573,12,0.0
x,1,0.16649549603462221,0.14328244030475618,9895,9621,-135.0,1,0.007156955,0.00044987223,-0.018744675,13,0.0
x,1,0.16649549603462221,0.14328244030475618,17603,17200,-105.0,2,0.005359691,0.0003710375,-0.015459895,14,0.0
x,1,0.16649549603462221,0.14328244030475618,10104,9657,-75.0,3,0.007110455,0.00072481646,-0.030200684,15,0.0
x,1,0.16649549603462221,0.14328244030475618,7828,7433,-45.0,4,0.00809001,0.00082936086,-0.0345567,16,0.0
x,1,0.16649549603462221,0.14328244030475618,2886,2929,-15.0,5,0.013113058,0.00023694534,0.009872722,17,0.0
x,1,0.16649549603462221,0.14328244030475618,2947,3027,15.0,6,0.012935939,0.00042909573,0.017878989,18,0.0
x,1,0.16649549603462221,0.14328244030475618,7803,7867,45.0,7,0.007988386,0.00013087009,0.00545292,19,0.0
x,1,0.16649549603462221,0.14328244030475618,9743,9835,75.0,8,0.0071467287,0.00015057363,0.006273901,20,0.0
x,1,0.16649549603462221,0.14328244030475618,17137,17984,105.0,9,0.0053332425,0.0007727624,0.032198433,21,0.0
x,1,0.16649549603462221,0.14328244030475618,9852,9842,135.0,10,0.007125789,1.6270298e-05,-0.0006779291,22,0.0
x,1,0.16649549603462221,0.14328244030475618,23897,24126,165.0,11,0.004563169,0.00015279728,0.0063665533,23,0.0
x,2,0.18854448497295384,0.16649549603462221,24132,24116,-165.0,0,0.0045526084,1.0626006e-05,-0.00044275026,24,0.0
x,2,0.18854448497295384,0.16649549603462221,10756,10477,-135.0,1,0.006861633,0.00042103895,-0.01754329,25,0.0
x,2,0.18854448497295384,0.16649549603462221,16775,15838,-105.0,2,0.0055333083,0.0009206155,-0.03835898,26,0.0
x,2,0.18854448497295384,0.16649549603462221,11297,10835,-75.0,3,0.006719252,0.0006688839,-0.027870161,27,0.0
x,2,0.18854448497295384,0.16649549603462221,7082,6753,-45.0,4,0.0084975045,0.00076198456,-0.031749357,28,0.0
