axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,12373,12395,-0.0011859051,0.0063541024,2.8461722e-05,-165.0,0,0,-0.0065638516
x,0.10681463778018951,0.17718307673931125,0,6096,6025,0.007820564,0.009082753,0.00018769354,-135.0,1,1,-0.020893347
x,0.10681463778018951,0.17718307673931125,0,9855,9888,-0.0022316135,0.0071169245,5.3558724e-05,-105.0,2,2,-0.011936752
x,0.10681463778018951,0.17718307673931125,0,5871,6021,-0.016840482,0.009168767,0.0004041716,-75.0,3,3,0.008189639
x,0.10681463778018951,0.17718307673931125,0,5506,5893,-0.045327567,0.009356642,0.0010878616,-45.0,4,4,0.021973912
x,0.10681463778018951,0.17718307673931125,0,2618,2631,-0.003306625,0.013802551,7.9359e-05,-15.0,5,5,-0.022725128
x,0.10681463778018951,0.17718307673931125,0,2628,2675,-0.011832988,0.01373121,0.0002839917,15.0,6,6,0.02275416
x,0.10681463778018951,0.17718307673931125,0,5883,5730,0.017589973,0.0092781335,0.00042215936,45.0,7,7,0.01756438
x,0.10681463778018951,0.17718307673931125,0,6209,5942,0.029337116,0.009067906,0.00070409075,75.0,8,8,0.004704125
x,0.10681463778018951,0.17718307673931125,0,10253,9733,0.034737267,0.007069275,0.0008336944,105.0,9,9,-0.0003967695
x,0.10681463778018951,0.17718307673931125,0,6106,6029,0.0084716715,0.009077464,0.00020332012,135.0,10,10,-0.007941233
x,0.10681463778018951,0.17718307673931125,0,12644,12359,0.015218467,0.0063234437,0.00036524324,165.0,11,11,0.008939304
x,0.17718307673931125,0.22535382211208344,1,12222,12532,-0.01671993,0.006355015,0.00040127832,-165.0,0,12,0.0036239643
x,0.17718307673931125,0.22535382211208344,1,6627,6804,-0.01759475,0.008627374,0.000422274,-135.0,1,13,0.0006601997
x,0.17718307673931125,0.22535382211208344,1,8640,9211,-0.04270628,0.007477774,0.0010249508,-105.0,2,14,0.004027039
x,0.17718307673931125,0.22535382211208344,1,6900,7287,-0.036419883,0.008390088,0.0008740772,-75.0,3,15,0.009144684
x,0.17718307673931125,0.22535382211208344,1,4790,5088,-0.04027777,0.010053399,0.0009666665,-45.0,4,16,0.0055224374
