axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,15879,15952,-0.0030618983,0.0056049637,7.348556e-05,-165.0,0,0,-0.0046878587
x,0.10681463778018951,0.17718307673931125,0,7702,7738,-0.0031129587,0.008047746,7.471101e-05,-135.0,1,1,-0.009959823
x,0.10681463778018951,0.17718307673931125,0,12679,12848,-0.00883904,0.0062586856,0.00021213696,-105.0,2,2,-0.005329326
x,0.10681463778018951,0.17718307673931125,0,7546,7697,-0.013225883,0.008098914,0.0003174212,-75.0,3,3,0.00457504
x,0.10681463778018951,0.17718307673931125,0,7120,7560,-0.040017024,0.008246866,0.0009604086,-45.0,4,4,0.016663369
x,0.10681463778018951,0.17718307673931125,0,3355,3386,-0.0061398186,0.012179506,0.00014735565,-15.0,5,5,-0.019891934
x,0.10681463778018951,0.17718307673931125,0,3376,3389,-0.0025656284,0.012158071,6.157508e-05,15.0,6,6,0.013486801
x,0.10681463778018951,0.17718307673931125,0,7524,7312,0.019078193,0.008208476,0.00045787665,45.0,7,7,0.01607616
x,0.10681463778018951,0.17718307673931125,0,7927,7603,0.027854266,0.008021317,0.00066850235,75.0,8,8,0.006186975
x,0.10681463778018951,0.17718307673931125,0,13203,12478,0.03769157,0.0062357015,0.0009045977,105.0,9,9,-0.0033510737
x,0.10681463778018951,0.17718307673931125,0,7810,7731,0.00678682,0.008021406,0.00016288368,135.0,10,10,-0.0062563815
x,0.10681463778018951,0.17718307673931125,0,16165,15766,0.016683169,0.0055954275,0.00040039606,165.0,11,11,0.007474603
x,0.17718307673931125,0.22535382211208344,1,15560,16069,-0.021485748,0.005621562,0.00051565794,-165.0,0,12,0.008389782
x,0.17718307673931125,0.22535382211208344,1,8388,8728,-0.0265213,0.007640927,0.00063651125,-135.0,1,13,0.009586751
x,0.17718307673931125,0.22535382211208344,1,11022,11695,-0.03955326,0.0066295573,0.00094927824,-105.0,2,14,0.00087401643
x,0.17718307673931125,0.22535382211208344,1,8853,9324,-0.03459528,0.0074127414,0.00083028676,-75.0,3,15,0.007320082
x,0.17718307673931125,0.22535382211208344,1,6100,6475,-0.039814517,0.008910488,0.0009555484,-45.0,4,16,0.0050591826
x,0.17718307673931125,0.22535382211208344,1,2775,2995,-0.05090554,0.013147665,0.0012217329,-15.0,5,17,0.021581916
x,0.17718307673931125,0.22535382211208344,1,2923,2866,0.013145874,0.013141977,0.00031550098,15.0,6,18,-0.008949488
x,0.17718307673931125,0.22535382211208344,1,6590,6214,0.039206706,0.008830659,0.00094096095,45.0,7,19,-0.008665238
x,0.17718307673931125,0.22535382211208344,1,8983,8585,0.030246766,0.0075411936,0.0007259224,75.0,8,20,0.0055046324
x,0.17718307673931125,0.22535382211208344,1,11607,11190,0.024421737,0.0066211224,0.0005861217,105.0,9,21,0.0026038513
x,0.17718307673931125,0.22535382211208344,1,8564,8346,0.017211989,0.007688894,0.00041308772,135.0,10,22,-0.002868061
x,0.17718307673931125,0.22535382211208344,1,15972,15745,0.009555467,0.0056147976,0.00022933121,165.0,11,23,0.0034129191
x,0.22535382211208344,0.2737313747406006,2,15520,15801,-0.011978126,0.0056500337,0.00028747504,-165.0,0,24,0.0008096015
x,0.22535382211208344,0.2737313747406006,2,8878,9170,-0.021600904,0.007441905,0.0005184217,-135.0,1,25,-0.0006572753
x,0.22535382211208344,0.2737313747406006,2,10237,10791,-0.035174664,0.006891792,0.00084419193,-105.0,2,26,-0.0027868971
x,0.22535382211208344,0.2737313747406006,2,8859,9329,-0.034500953,0.0074105235,0.0008280229,-75.0,3,27,0.0032395348
x,0.22535382211208344,0.2737313747406006,2,5927,6262,-0.036693987,0.009051559,0.00088065566,-45.0,4,28,0.0032322258
x,0.22535382211208344,0.2737313747406006,2,2936,2893,0.00984901,0.013097304,0.00023637625,-15.0,5,29,-0.0008264864
x,0.22535382211208344,0.2737313747406006,2,2911,2800,0.025949499,0.013228105,0.000622788,15.0,6,30,-0.010022787
x,0.22535382211208344,0.2737313747406006,2,6230,6138,0.00993131,0.008991431,0.00023835145,45.0,7,31,-0.005959994
x,0.22535382211208344,0.2737313747406006,2,9633,9007,0.044838037,0.0073171174,0.0010761129,75.0,8,32,0.0015421584
x,0.22535382211208344,0.2737313747406006,2,10748,10191,0.03551546,0.00690634,0.0008523711,105.0,9,33,-0.0008725934
x,0.22535382211208344,0.2737313747406006,2,9286,9000,0.02088168,0.0073934295,0.00050116034,135.0,10,34,0.0032734573
x,0.22535382211208344,0.2737313747406006,2,15842,15777,0.0027446274,0.005623728,6.5871056e-05,165.0,11,35,-0.0038178698
