axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,14457,14491,-0.0015681173,0.005877467,3.7634814e-05,-165.0,0,0,-0.0061816396
x,0.10681463778018951,0.17718307673931125,0,7191,7128,0.0058741635,0.008356726,0.00014097993,-135.0,1,1,-0.018946946
x,0.10681463778018951,0.17718307673931125,0,11568,11527,0.002370195,0.0065802108,5.688468e-05,-105.0,2,2,-0.01653856
x,0.10681463778018951,0.17718307673931125,0,6908,7055,-0.014055839,0.008461896,0.00033734014,-75.0,3,3,0.0054049958
x,0.10681463778018951,0.17718307673931125,0,6471,6910,-0.043802015,0.008636518,0.0010512484,-45.0,4,4,0.02044836
x,0.10681463778018951,0.17718307673931125,0,3107,3111,-0.00085887004,0.012681613,2.061288e-05,-15.0,5,5,-0.025172884
x,0.10681463778018951,0.17718307673931125,0,3084,3138,-0.011587291,0.012676689,0.000278095,15.0,6,6,0.022508465
x,0.10681463778018951,0.17718307673931125,0,6842,6657,0.018297356,0.008605507,0.00043913655,45.0,7,7,0.016856998
x,0.10681463778018951,0.17718307673931125,0,7212,6966,0.02316532,0.008396068,0.0005559677,75.0,8,8,0.010875922
x,0.10681463778018951,0.17718307673931125,0,11945,11377,0.03251627,0.0065446645,0.0007803905,105.0,9,9,0.0018242262
x,0.10681463778018951,0.17718307673931125,0,7217,7160,0.0052932785,0.00833988,0.00012703869,135.0,10,10,-0.00476284
x,0.10681463778018951,0.17718307673931125,0,14643,14377,0.012237773,0.0058697388,0.00029370657,165.0,11,11,0.011919999
x,0.17718307673931125,0.22535382211208344,1,14103,14460,-0.016687166,0.005916129,0.000400492,-165.0,0,12,0.0035912003
x,0.17718307673931125,0.22535382211208344,1,7666,7932,-0.022768315,0.008004845,0.00054643955,-135.0,1,13,0.0058337655
x,0.17718307673931125,0.22535382211208344,1,9965,10605,-0.041539747,0.0069663906,0.0009969539,-105.0,2,14,0.0028605051
x,0.17718307673931125,0.22535382211208344,1,8019,8445,-0.034545574,0.0077888444,0.0008290938,-75.0,3,15,0.0072703753
x,0.17718307673931125,0.22535382211208344,1,5503,5901,-0.046595506,0.009354044,0.0011182922,-45.0,4,16,0.011840172
x,0.17718307673931125,0.22535382211208344,1,2524,2718,-0.049410913,0.013794968,0.0011858619,-15.0,5,17,0.020087289
x,0.17718307673931125,0.22535382211208344,1,2642,2617,0.0063468027,0.013789219,0.00015232326,15.0,6,18,-0.0021504164
x,0.17718307673931125,0.22535382211208344,1,5973,5617,0.041009523,0.009280957,0.0009842286,45.0,7,19,-0.010468055
x,0.17718307673931125,0.22535382211208344,1,8125,7793,0.027846316,0.007922958,0.0006683116,75.0,8,20,0.007905083
x,0.17718307673931125,0.22535382211208344,1,10505,10114,0.025317881,0.0069618872,0.00060762913,105.0,9,21,0.0017077066
x,0.17718307673931125,0.22535382211208344,1,7816,7653,0.014068362,0.008039442,0.0003376407,135.0,10,22,0.0002755653
x,0.17718307673931125,0.22535382211208344,1,14394,14161,0.010894114,0.00591743,0.00026145874,165.0,11,23,0.0020742724
x,0.22535382211208344,0.2737313747406006,2,13999,14305,-0.014434169,0.0059433435,0.00034642007,-165.0,0,24,0.0032656444
x,0.22535382211208344,0.2737313747406006,2,8064,8438,-0.030258903,0.0077809533,0.0007262137,-135.0,1,25,0.008000724
x,0.22535382211208344,0.2737313747406006,2,9317,9721,-0.028332064,0.0072446093,0.00067996955,-105.0,2,26,-0.009629497
x,0.22535382211208344,0.2737313747406006,2,8031,8395,-0.029586101,0.00779909,0.0007100664,-75.0,3,27,-0.0016753171
x,0.22535382211208344,0.2737313747406006,2,5378,5687,-0.037284233,0.00949997,0.0008948216,-45.0,4,28,0.003822472
x,0.22535382211208344,0.2737313747406006,2,2649,2605,0.011181003,0.013795194,0.0002683441,-15.0,5,29,-0.0021584798
x,0.22535382211208344,0.2737313747406006,2,2627,2505,0.031738862,0.013952044,0.0007617327,15.0,6,30,-0.015812151
x,0.22535382211208344,0.2737313747406006,2,5641,5555,0.010255427,0.009450302,0.00024613025,45.0,7,31,-0.006284111
x,0.22535382211208344,0.2737313747406006,2,8665,8122,0.04318619,0.0077109537,0.0010364687,75.0,8,32,0.0031940043
x,0.22535382211208344,0.2737313747406006,2,9677,9179,0.03526127,0.0072778827,0.0008462705,105.0,9,33,-0.0006184019
x,0.22535382211208344,0.2737313747406006,2,8409,8230,0.014362961,0.007751604,0.00034471106,135.0,10,34,0.009792177
x,0.22535382211208344,0.2737313747406006,2,14341,14310,0.001444575,0.0059078527,3.46698e-05,165.0,11,35,-0.0025178173
x,0.2737313747406006,0.33397098183631896,3,14069,14457,-0.018159714,0.0059198122,0.00043583312,-165.0,0,36,-0.0025833137
x,0.2737313747406006,0.33397098183631896,3,8833,9113,-0.020830924,0.0074631455,0.00049994217,-135.0,1,37,0.0075975796
x,0.2737313747406006,0.33397098183631896,3,9078,9532,-0.032570742,0.0073264963,0.0007816978,-105.0,2,38,-0.004374061
x,0.2737313747406006,0.33397098183631896,3,8618,9535,-0.06744335,0.0074051833,0.0016186404,-75.0,3,39,0.010959163
x,0.2737313747406006,0.33397098183631896,3,5732,5870,-0.015880508,0.009282796,0.0003811322,-45.0,4,40,0.0030749552
x,0.2737313747406006,0.33397098183631896,3,2854,2842,0.002812739,0.013249921,6.750574e-05,-15.0,5,41,-0.011482308
x,0.2737313747406006,0.33397098183631896,3,2852,2722,0.031138277,0.013387697,0.00074731867,15.0,6,42,0.0009568464
