axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17897353768348695,0,13663,13624,0.0019082136,0.0060537057,4.5797125e-05,-165.0,0,0,0.0
x,0.10681463778018951,0.17897353768348695,0,6458,6485,-0.0027851397,0.008789837,6.684336e-05,-135.0,1,1,0.0
x,0.10681463778018951,0.17897353768348695,0,10708,10786,-0.0048450194,0.006820815,0.00011628047,-105.0,2,2,0.0
x,0.10681463778018951,0.17897353768348695,0,6135,6355,-0.02351681,0.008945378,0.0005644034,-75.0,3,3,0.0
x,0.10681463778018951,0.17897353768348695,0,5802,6208,-0.045133725,0.009115609,0.0010832094,-45.0,4,4,0.0
x,0.10681463778018951,0.17897353768348695,0,2590,2572,0.004655568,0.013918303,0.00011173363,-15.0,5,5,0.0
x,0.10681463778018951,0.17897353768348695,0,2616,2615,0.00025523102,0.013826353,6.1255446e-06,15.0,6,6,0.0
x,0.10681463778018951,0.17897353768348695,0,6195,6048,0.016030522,0.009036501,0.00038473253,45.0,7,7,0.0
x,0.10681463778018951,0.17897353768348695,0,6454,6152,0.031985108,0.008902031,0.0007676426,75.0,8,8,0.0
x,0.10681463778018951,0.17897353768348695,0,11128,10669,0.028114744,0.0067706434,0.00067475386,105.0,9,9,0.0
x,0.10681463778018951,0.17897353768348695,0,6516,6460,0.005761896,0.008778541,0.0001382855,135.0,10,10,0.0
x,0.10681463778018951,0.17897353768348695,0,13750,13523,0.011112483,0.0060548964,0.0002666996,165.0,11,11,0.0
x,0.17897353768348695,0.22881350517272953,1,13598,14068,-0.022681389,0.0060105617,0.00054435333,-165.0,0,12,0.0
x,0.17897353768348695,0.22881350517272953,1,7173,7426,-0.023137454,0.008274127,0.0005552989,-135.0,1,13,0.0
x,0.17897353768348695,0.22881350517272953,1,9392,9987,-0.04099244,0.0071774325,0.0009838186,-105.0,2,14,0.0
x,0.17897353768348695,0.22881350517272953,1,7405,7901,-0.04326514,0.008075368,0.0010383634,-75.0,3,15,0.0
x,0.17897353768348695,0.22881350517272953,1,5041,5402,-0.04615302,0.00977517,0.0011076725,-45.0,4,16,0.0
x,0.17897353768348695,0.22881350517272953,1,2213,2338,-0.036670882,0.014813388,0.0008801012,-15.0,5,17,0.0
x,0.17897353768348695,0.22881350517272953,1,2299,2266,0.0096514225,0.01479992,0.00023163414,15.0,6,18,0.0
x,0.17897353768348695,0.22881350517272953,1,5437,5090,0.044009157,0.009737034,0.0010562198,45.0,7,19,0.0
x,0.17897353768348695,0.22881350517272953,1,7580,7198,0.034511663,0.008221165,0.00082827994,75.0,8,20,0.0
x,0.17897353768348695,0.22881350517272953,1,9984,9590,0.026874155,0.007145018,0.0006449797,105.0,9,21,0.0
x,0.17897353768348695,0.22881350517272953,1,7257,7139,0.0109435525,0.008333992,0.00026264525,135.0,10,22,0.0
x,0.17897353768348695,0.22881350517272953,1,13993,13742,0.012082693,0.0060041873,0.00028998463,165.0,11,23,0.0
x,0.22881350517272953,0.2793258249759674,2,13666,13900,-0.011333402,0.0060226168,0.00027200166,-165.0,0,24,0.0
x,0.22881350517272953,0.2793258249759674,2,7696,8044,-0.029518392,0.007967248,0.0007084414,-135.0,1,25,0.0
x,0.22881350517272953,0.2793258249759674,2,8790,9244,-0.03361104,0.007442323,0.000806665,-105.0,2,26,0.0
x,0.22881350517272953,0.2793258249759674,2,7543,8007,-0.039838757,0.008012903,0.0009561302,-75.0,3,27,0.0
x,0.22881350517272953,0.2793258249759674,2,4844,5165,-0.042818606,0.009986335,0.0010276466,-45.0,4,28,0.0
x,0.22881350517272953,0.2793258249759674,2,2324,2279,0.01305238,0.014738135,0.00031325713,-15.0,5,29,0.0
x,0.22881350517272953,0.2793258249759674,2,2345,2237,0.03146928,0.014765811,0.0007552628,15.0,6,30,0.0
x,0.22881350517272953,0.2793258249759674,2,5131,5085,0.0060116695,0.00989354,0.00014428007,45.0,7,31,0.0
x,0.22881350517272953,0.2793258249759674,2,8231,7684,0.04588797,0.007918428,0.0011013113,75.0,8,32,0.0
x,0.22881350517272953,0.2793258249759674,2,9196,8730,0.03470729,0.0074644284,0.00083297497,105.0,9,33,0.0
x,0.22881350517272953,0.2793258249759674,2,8002,7681,0.027327133,0.007982211,0.0006558512,135.0,10,34,0.0
x,0.22881350517272953,0.2793258249759674,2,13875,13786,0.004295763,0.006012596,0.00010309832,165.0,11,35,0.0
x,0.2793258249759674,0.34113137722015385,3,13289,13597,-0.015294761,0.0060979817,0.00036707427,-165.0,0,36,0.0
x,0.2793258249759674,0.34113137722015385,3,8059,8376,-0.025751807,0.0077977823,0.00061804336,-135.0,1,37,0.0
x,0.2793258249759674,0.34113137722015385,3,8290,8616,-0.02574512,0.0076883934,0.0006178829,-105.0,2,38,0.0
x,0.2793258249759674,0.34113137722015385,3,7839,8522,-0.05573513,0.007805837,0.0013376431,-75.0,3,39,0.0
x,0.2793258249759674,0.34113137722015385,3,5045,5139,-0.012323317,0.009908498,0.00029575962,-45.0,4,40,0.0
x,0.2793258249759674,0.34113137722015385,3,2462,2452,0.0027169585,0.014265297,6.520701e-05,-15.0,5,41,0.0
x,0.2793258249759674,0.34113137722015385,3,2428,2312,0.032673664,0.014517067,0.00078416796,15.0,6,42,0.0
x,0.2793258249759674,0.34113137722015385,3,5367,5033,0.04287768,0.009796789,0.0010290644,45.0,7,43,0.0
x,0.2793258249759674,0.34113137722015385,3,8465,7938,0.042894885,0.007800787,0.0010294772,75.0,8,44,0.0
x,0.2793258249759674,0.34113137722015385,3,8531,8191,0.02714619,0.0077302908,0.00065150857,105.0,9,45,0.0
x,0.2793258249759674,0.34113137722015385,3,8437,8163,0.022037415,0.0077596204,0.000528898,135.0,10,46,0.0
x,0.2793258249759674,0.34113137722015385,3,13617,13344,0.013519009,0.0060896496,0.0003244562,165.0,11,47,0.0
x,0.34113137722015385,0.6005192399024963,4,13422,13224,0.009920906,0.006125797,0.00023810175,-165.0,0,48,0.0
x,0.34113137722015385,0.6005192399024963,4,8431,8687,-0.019966645,0.0076416456,0.0004791995,-135.0,1,49,0.0
x,0.34113137722015385,0.6005192399024963,4,7770,8344,-0.047558345,0.007868766,0.0011414003,-105.0,2,50,0.0
x,0.34113137722015385,0.6005192399024963,4,7909,8549,-0.051918376,0.007784404,0.001246041,-75.0,3,51,0.0
x,0.34113137722015385,0.6005192399024963,4,5125,5458,-0.042010088,0.009712075,0.0010082421,-45.0,4,52,0.0
x,0.34113137722015385,0.6005192399024963,4,2412,2576,-0.043897074,0.014145488,0.0010535298,-15.0,5,53,0.0
x,0.34113137722015385,0.6005192399024963,4,2393,2417,-0.006661689,0.014418425,0.00015988054,15.0,6,54,0.0
x,0.34113137722015385,0.6005192399024963,4,5466,5165,0.03780163,0.009691755,0.00090723915,45.0,7,55,0.0
x,0.34113137722015385,0.6005192399024963,4,8253,8024,0.01878362,0.0078367535,0.00045080687,75.0,8,56,0.0
x,0.34113137722015385,0.6005192399024963,4,8448,7829,0.05077319,0.007828027,0.0012185565,105.0,9,57,0.0
x,0.34113137722015385,0.6005192399024963,4,8684,8482,0.015710877,0.0076315342,0.00037706105,135.0,10,58,0.0
x,0.34113137722015385,0.6005192399024963,4,13231,13156,0.0037948047,0.006156046,9.1075315e-05,165.0,11,59,0.0
z,0.1212601587176323,0.25986472964286805,0,14944,15116,-0.007639372,0.00576757,0.00018334492,-165.0,0,0,0.0
z,0.1212601587176323,0.25986472964286805,0,8892,9125,-0.017265996,0.007448932,0.00041438392,-135.0,1,1,0.0
z,0.1212601587176323,0.25986472964286805,0,10922,11466,-0.032441564,0.0066798036,0.00077859755,-105.0,2,2,0.0
z,0.1212601587176323,0.25986472964286805,0,7547,7876,-0.028480344,0.008048953,0.00068352825,-75.0,3,3,0.0
z,0.1212601587176323,0.25986472964286805,0,7954,8087,-0.011069764,0.007895101,0.00026567435,-45.0,4,4,0.0
z,0.1212601587176323,0.25986472964286805,0,5153,5151,0.0002591447,0.00985138,6.2194727e-06,-15.0,5,5,0.0
z,0.1212601587176323,0.25986472964286805,0,5120,4996,0.016365567,0.009941168,0.00039277363,15.0,6,6,0.0
z,0.1212601587176323,0.25986472964286805,0,7956,7566,0.033545565,0.008021981,0.00080509356,45.0,7,7,0.0
z,0.1212601587176323,0.25986472964286805,0,7731,7462,0.023638882,0.008110672,0.0005673332,75.0,8,8,0.0
z,0.1212601587176323,0.25986472964286805,0,11302,10981,0.019233111,0.00669781,0.00046159467,105.0,9,9,0.0
z,0.1212601587176323,0.25986472964286805,0,8822,8630,0.01468839,0.0075688614,0.00035252137,135.0,10,10,0.0
z,0.1212601587176323,0.25986472964286805,0,15355,15303,0.002264528,0.005711195,5.4348675e-05,165.0,11,11,0.0
z,0.25986472964286805,0.3339407861232757,1,15121,15637,-0.022398029,0.005700487,0.0005375527,-165.0,0,12,0.0
z,0.25986472964286805,0.3339407861232757,1,8792,9184,-0.029114623,0.0074553723,0.00069875096,-135.0,1,13,0.0
z,0.25986472964286805,0.3339407861232757,1,11474,12144,-0.03787476,0.006502296,0.00090899423,-105.0,2,14,0.0
z,0.25986472964286805,0.3339407861232757,1,8276,8968,-0.05357797,0.0076042563,0.0012858713,-75.0,3,15,0.0
z,0.25986472964286805,0.3339407861232757,1,7280,7709,-0.038212266,0.008161996,0.0009170944,-45.0,4,16,0.0
z,0.25986472964286805,0.3339407861232757,1,3701,3671,0.0054331804,0.011646647,0.00013039634,-15.0,5,17,0.0
z,0.25986472964286805,0.3339407861232757,1,3672,3707,-0.006332697,0.01164106,0.00015198473,15.0,6,18,0.0
z,0.25986472964286805,0.3339407861232757,1,7589,7244,0.031053338,0.008206841,0.0007452801,45.0,7,19,0.0
z,0.25986472964286805,0.3339407861232757,1,8852,8307,0.04240555,0.007627166,0.0010177332,75.0,8,20,0.0
z,0.25986472964286805,0.3339407861232757,1,12057,11528,0.029945942,0.006508595,0.0007187026,105.0,9,21,0.0
z,0.25986472964286805,0.3339407861232757,1,9084,8672,0.030979205,0.007500996,0.00074350095,135.0,10,22,0.0
z,0.25986472964286805,0.3339407861232757,1,15491,15297,0.008412759,0.0056989375,0.00020190621,165.0,11,23,0.0
z,0.3339407861232757,0.4002123355865479,2,16265,16441,-0.0071846135,0.0055293627,0.00017243072,-165.0,0,24,0.0
z,0.3339407861232757,0.4002123355865479,2,8934,9251,-0.023273632,0.007413541,0.0005585672,-135.0,1,25,0.0
z,0.3339407861232757,0.4002123355865479,2,11576,11981,-0.022953726,0.0065136673,0.0005508894,-105.0,2,26,0.0
z,0.3339407861232757,0.4002123355865479,2,8665,9366,-0.051905856,0.0074371113,0.0012457406,-75.0,3,27,0.0
z,0.3339407861232757,0.4002123355865479,2,6279,6711,-0.044401005,0.008765303,0.0010656242,-45.0,4,28,0.0
z,0.3339407861232757,0.4002123355865479,2,2969,2960,0.0020266522,0.012986987,4.8639653e-05,-15.0,5,29,0.0
z,0.3339407861232757,0.4002123355865479,2,3054,2911,0.032006912,0.01294113,0.0007681659,15.0,6,30,0.0
z,0.3339407861232757,0.4002123355865479,2,7005,6604,0.03934018,0.008565458,0.0009441643,45.0,7,31,0.0
z,0.3339407861232757,0.4002123355865479,2,9270,8597,0.050289996,0.007471784,0.00120696,75.0,8,32,0.0
z,0.3339407861232757,0.4002123355865479,2,12243,11646,0.03336526,0.006466349,0.0008007663,105.0,9,33,0.0
z,0.3339407861232757,0.4002123355865479,2,9132,9010,0.008978274,0.0074240337,0.00021547858,135.0,10,34,0.0
z,0.3339407861232757,0.4002123355865479,2,16411,16230,0.0074034357,0.0055348566,0.00017768245,165.0,11,35,0.0
z,0.4002123355865479,0.4736196458339691,3,17280,17218,0.0023994735,0.0053839595,5.7587364e-05,-165.0,0,36,0.0
z,0.4002123355865479,0.4736196458339691,3,9196,9397,-0.014433271,0.007332972,0.0003463985,-135.0,1,37,0.0
z,0.4002123355865479,0.4736196458339691,3,11032,11675,-0.037806753,0.0066314656,0.0009073621,-105.0,2,38,0.0
z,0.4002123355865479,0.4736196458339691,3,9211,9831,-0.043470766,0.007239907,0.0010432984,-75.0,3,39,0.0
z,0.4002123355865479,0.4736196458339691,3,5740,6094,-0.039938327,0.009185178,0.0009585199,-45.0,4,40,0.0
z,0.4002123355865479,0.4736196458339691,3,2321,2404,-0.023452787,0.014543857,0.00056286686,-15.0,5,41,0.0
z,0.4002123355865479,0.4736196458339691,3,2289,2273,0.004682555,0.014805313,0.00011238132,15.0,6,42,0.0
z,0.4002123355865479,0.4736196458339691,3,6143,5901,0.026826425,0.00910874,0.0006438342,45.0,7,43,0.0
z,0.4002123355865479,0.4736196458339691,3,9773,9386,0.02696847,0.0072219684,0.0006472433,75.0,8,44,0.0
z,0.4002123355865479,0.4736196458339691,3,11789,11213,0.03343298,0.0065898323,0.0008023915,105.0,9,45,0.0
z,0.4002123355865479,0.4736196458339691,3,9429,9316,0.00804843,0.0073037045,0.00019316233,135.0,10,46,0.0
z,0.4002123355865479,0.4736196458339691,3,17561,17080,0.018538425,0.0053719277,0.0004449222,165.0,11,47,0.0
z,0.4736196458339691,0.8590466380119324,4,17383,17563,-0.0068769082,0.0053492268,0.0001650458,-165.0,0,48,0.0
z,0.4736196458339691,0.8590466380119324,4,10004,10357,-0.02314695,0.0070062247,0.0005555268,-135.0,1,49,0.0
z,0.4736196458339691,0.8590466380119324,4,9638,9898,-0.017768709,0.0071534184,0.00042644903,-105.0,2,50,0.0
z,0.4736196458339691,0.8590466380119324,4,9860,10250,-0.025892304,0.007049338,0.0006214153,-75.0,3,51,0.0
z,0.4736196458339691,0.8590466380119324,4,5661,5985,-0.037143804,0.009260017,0.0008914513,-45.0,4,52,0.0
