axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,shift
x,0,0.13647105544805527,0.10672914981842041,19451,19526,-165.0,0,0.005065174,6.165698e-05,0.002569041,0,6.634416e-05
x,0,0.13647105544805527,0.10672914981842041,7361,7306,-135.0,1,0.0082570305,0.00012015748,-0.0050065615,1,0.00027598767
x,0,0.13647105544805527,0.10672914981842041,15573,15295,-105.0,2,0.0056913374,0.00028857967,-0.012024153,2,-7.4745156e-05
x,0,0.13647105544805527,0.10672914981842041,6049,6007,-75.0,3,0.009107385,0.0001116286,-0.0046511916,3,0.00044785207
x,0,0.13647105544805527,0.10672914981842041,7358,7118,-45.0,4,0.008309392,0.00053124165,-0.022135068,4,0.00011200644
x,0,0.13647105544805527,0.10672914981842041,3414,3355,-15.0,5,0.012153695,0.00027929098,-0.011637124,5,1.3737939e-05
x,0,0.13647105544805527,0.10672914981842041,3651,3521,15.0,6,0.0118046375,0.00058080786,-0.024200328,6,0.0005815234
x,0,0.13647105544805527,0.10672914981842041,7257,7462,45.0,7,0.0082411105,0.00044627753,0.018594896,7,0.00026315078
x,0,0.13647105544805527,0.10672914981842041,6017,6212,75.0,8,0.009040784,0.00051094376,0.021289323,8,0.0003116317
x,0,0.13647105544805527,0.10672914981842041,15163,15745,105.0,9,0.0056862673,0.0006033669,0.025140287,9,2.2845343e-05
x,0,0.13647105544805527,0.10672914981842041,7492,7458,135.0,10,0.00817857,7.287309e-05,-0.0030363786,10,-8.617202e-05
x,0,0.13647105544805527,0.10672914981842041,19258,19518,165.0,11,0.0050780983,0.00021485219,0.008952174,11,-4.1555613e-05
x,1,0.15462715327739715,0.13647105544805527,20313,20098,-165.0,0,0.004974383,0.00017047797,-0.007103249,12,-9.074854e-05
x,1,0.15462715327739715,0.13647105544805527,8083,7810,-135.0,1,0.007930175,0.00055040984,-0.022933742,13,0.00019662455
x,1,0.15462715327739715,0.13647105544805527,14834,14662,-105.0,2,0.0058224434,0.00018685072,-0.0077854465,14,-0.00012962008
x,1,0.15462715327739715,0.13647105544805527,7332,7302,-75.0,3,0.008266408,6.568824e-05,-0.00273701,15,-8.872338e-05
x,1,0.15462715327739715,0.13647105544805527,6533,6306,-45.0,4,0.008822941,0.00056653155,-0.02360548,16,0.00074750744
x,1,0.15462715327739715,0.13647105544805527,2456,2484,-15.0,5,0.014227352,0.00018161867,0.007567445,17,-0.0002776445
x,1,0.15462715327739715,0.13647105544805527,2462,2453,15.0,6,0.014263856,5.8674366e-05,-0.0024447653,18,0.00027296622
x,1,0.15462715327739715,0.13647105544805527,6483,6645,45.0,7,0.0087265335,0.00039540834,0.016475348,19,0.00019324385
x,1,0.15462715327739715,0.13647105544805527,7274,7129,75.0,8,0.008331712,0.00032258523,-0.013441051,20,0.00019826647
x,1,0.15462715327739715,0.13647105544805527,14403,15156,105.0,9,0.005813047,0.0008162716,0.034011316,21,-0.00030749664
x,1,0.15462715327739715,0.13647105544805527,8066,8075,135.0,10,0.007871086,1.7866583e-05,0.00074444094,22,-0.00016629096
x,1,0.15462715327739715,0.13647105544805527,20022,20208,165.0,11,0.004985592,0.00014814682,0.006172784,23,0.00012617186
x,2,0.17189051657915116,0.15462715327739715,20699,20394,-165.0,0,0.0049328143,0.00023782715,-0.009909464,24,1.2042001e-05
