axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,14112,14153,-0.0019366585,0.005948051,4.6479803e-05,-165.0,0,0,-0.0058130985
x,0.10681463778018951,0.17718307673931125,0,6918,6855,0.006107032,0.008520746,0.00014656877,-135.0,1,1,-0.019179814
x,0.10681463778018951,0.17718307673931125,0,11264,11288,-0.0014208374,0.0066589694,3.4100096e-05,-105.0,2,2,-0.012747528
x,0.10681463778018951,0.17718307673931125,0,6694,6865,-0.01683785,0.008586667,0.0004041084,-75.0,3,3,0.008187007
x,0.10681463778018951,0.17718307673931125,0,6314,6731,-0.042678595,0.008747462,0.0010242863,-45.0,4,4,0.01932494
x,0.10681463778018951,0.17718307673931125,0,2995,3008,-0.0028913002,0.012906664,6.939121e-05,-15.0,5,5,-0.023140453
x,0.10681463778018951,0.17718307673931125,0,2987,3031,-0.009761548,0.012890009,0.00023427715,15.0,6,6,0.02068272
x,0.10681463778018951,0.17718307673931125,0,6674,6497,0.017942077,0.008712057,0.00043060983,45.0,7,7,0.017212277
x,0.10681463778018951,0.17718307673931125,0,7022,6756,0.025775887,0.008516528,0.0006186213,75.0,8,8,0.008265354
x,0.10681463778018951,0.17718307673931125,0,11675,11091,0.034248717,0.006623717,0.00082196924,105.0,9,9,9.177998e-05
x,0.10681463778018951,0.17718307673931125,0,6947,6900,0.0045316913,0.008498019,0.00010876059,135.0,10,10,-0.004001253
x,0.10681463778018951,0.17718307673931125,0,14314,14021,0.013805833,0.0059401444,0.00033133998,165.0,11,11,0.010351939
x,0.17718307673931125,0.22535382211208344,1,13875,14255,-0.01803566,0.0059613483,0.00043285583,-165.0,0,12,0.004939694
x,0.17718307673931125,0.22535382211208344,1,7468,7748,-0.024568334,0.008104358,0.00058964005,-135.0,1,13,0.007633785
x,0.17718307673931125,0.22535382211208344,1,9824,10440,-0.04058576,0.0070190676,0.00097405823,-105.0,2,14,0.0019065179
x,0.17718307673931125,0.22535382211208344,1,7889,8297,-0.03365416,0.007855686,0.00080769986,-75.0,3,15,0.0063789617
x,0.17718307673931125,0.22535382211208344,1,5424,5811,-0.04598922,0.0094244005,0.0011037412,-45.0,4,16,0.011233885
x,0.17718307673931125,0.22535382211208344,1,2478,2680,-0.052286334,0.013904803,0.0012548721,-15.0,5,17,0.02296271
x,0.17718307673931125,0.22535382211208344,1,2588,2550,0.009874331,0.013950243,0.00023698393,15.0,6,18,-0.0056779445
x,0.17718307673931125,0.22535382211208344,1,5872,5506,0.04294705,0.009366259,0.0010307293,45.0,7,19,-0.012405582
x,0.17718307673931125,0.22535382211208344,1,7968,7646,0.0275334,0.007999783,0.0006608016,75.0,8,20,0.008217998
x,0.17718307673931125,0.22535382211208344,1,10354,9969,0.02529246,0.0070124073,0.00060701906,105.0,9,21,0.001733128
x,0.17718307673931125,0.22535382211208344,1,7633,7471,0.014319941,0.008135973,0.0003436786,135.0,10,22,2.3986213e-05
x,0.17718307673931125,0.22535382211208344,1,14213,13983,0.010890768,0.0059549827,0.00026137845,165.0,11,23,0.0020776186
x,0.22535382211208344,0.2737313747406006,2,13837,14123,-0.01365674,0.005979859,0.00032776175,-165.0,0,24,0.0024882155
x,0.22535382211208344,0.2737313747406006,2,7881,8252,-0.030702729,0.007869328,0.0007368655,-135.0,1,25,0.0084445495
x,0.22535382211208344,0.2737313747406006,2,9173,9591,-0.02974192,0.007297013,0.0007138061,-105.0,2,26,-0.008219641
x,0.22535382211208344,0.2737313747406006,2,7906,8286,-0.031332947,0.007854824,0.00075199077,-75.0,3,27,7.15293e-05
x,0.22535382211208344,0.2737313747406006,2,5288,5605,-0.03885348,0.009574105,0.0009324836,-45.0,4,28,0.0053917207
x,0.22535382211208344,0.2737313747406006,2,2614,2571,0.011072301,0.013886698,0.00026573523,-15.0,5,29,-0.0020497777
x,0.22535382211208344,0.2737313747406006,2,2593,2464,0.03405767,0.014054051,0.00081738405,15.0,6,30,-0.018130958
x,0.22535382211208344,0.2737313747406006,2,5544,5477,0.008116559,0.009525224,0.00019479742,45.0,7,31,-0.004145243
x,0.22535382211208344,0.2737313747406006,2,8545,8020,0.04231419,0.0077627418,0.0010155406,75.0,8,32,0.0040660053
x,0.22535382211208344,0.2737313747406006,2,9531,9067,0.03330964,0.0073286807,0.00079943135,105.0,9,33,0.0013332292
x,0.22535382211208344,0.2737313747406006,2,8242,8055,0.015319765,0.007832406,0.00036767437,135.0,10,34,0.008835373
x,0.22535382211208344,0.2737313747406006,2,14137,14110,0.0012761732,0.005949952,3.0628154e-05,165.0,11,35,-0.0023494153
x,0.2737313747406006,0.33397098183631896,3,13907,14285,-0.01790128,0.005954804,0.00042963075,-165.0,0,36,-0.0028417464
x,0.2737313747406006,0.33397098183631896,3,8703,8966,-0.019872932,0.0075215655,0.00047695037,-135.0,1,37,0.0066395877
x,0.2737313747406006,0.33397098183631896,3,8938,9385,-0.03257085,0.007383652,0.0007817004,-105.0,2,38,-0.0043739527
x,0.2737313747406006,0.33397098183631896,3,8507,9383,-0.06537504,0.007460446,0.0015690009,-75.0,3,39,0.008890852
x,0.2737313747406006,0.33397098183631896,3,5646,5781,-0.015773198,0.009353623,0.00037855675,-45.0,4,40,0.0029676445
x,0.2737313747406006,0.33397098183631896,3,2818,2794,0.00570968,0.01334855,0.00013703232,-15.0,5,41,-0.014379248
x,0.2737313747406006,0.33397098183631896,3,2814,2694,0.02908744,0.0134685,0.00069809856,15.0,6,42,0.003007684
x,0.2737313747406006,0.33397098183631896,3,5993,5665,0.037563667,0.009255106,0.000901528,45.0,7,43,-0.0006406903
x,0.2737313747406006,0.33397098183631896,3,9183,8634,0.041139208,0.007485398,0.000987341,75.0,8,44,0.0058073215
x,0.2737313747406006,0.33397098183631896,3,9183,8913,0.019920459,0.0074322876,0.000478091,105.0,9,45,-0.00543892
x,0.2737313747406006,0.33397098183631896,3,8932,8709,0.016877178,0.0075279465,0.00040505227,135.0,10,46,-0.0031086858
x,0.2737313747406006,0.33397098183631896,3,14377,14072,0.014313671,0.0059281886,0.0003435281,165.0,11,47,-0.0041887145
x,0.33397098183631896,0.6021702885627747,4,15364,15108,0.011216496,0.005728253,0.0002691959,-165.0,0,48,-0.007853961
x,0.33397098183631896,0.6021702885627747,4,9680,10096,-0.028084911,0.0071081966,0.0006740379,-135.0,1,49,-0.0052771233
x,0.33397098183631896,0.6021702885627747,4,9223,9771,-0.038519647,0.007250523,0.00092447153,-105.0,2,50,-0.0075732134
x,0.33397098183631896,0.6021702885627747,4,9308,10042,-0.050644614,0.0071796263,0.0012154707,-75.0,3,51,-0.0012517795
x,0.33397098183631896,0.6021702885627747,4,6241,6623,-0.039646562,0.008809889,0.0009515175,-45.0,4,52,-0.00670423
x,0.33397098183631896,0.6021702885627747,4,3060,3250,-0.040201515,0.012578651,0.0009648364,-15.0,5,53,0.019595262
x,0.33397098183631896,0.6021702885627747,4,3010,3034,-0.0053015756,0.012862686,0.00012723781,15.0,6,54,0.0107474625
x,0.33397098183631896,0.6021702885627747,4,6666,6265,0.04140287,0.008786408,0.0009936689,45.0,7,55,0.0027504899
x,0.33397098183631896,0.6021702885627747,4,9649,9443,0.014405687,0.007236511,0.0003457365,75.0,8,56,0.014492874
x,0.33397098183631896,0.6021702885627747,4,9844,9185,0.046236787,0.0072414796,0.001109683,105.0,9,57,-0.0030620098
x,0.33397098183631896,0.6021702885627747,4,10155,9871,0.018933997,0.007065209,0.00045441592,135.0,10,58,0.00597406
x,0.33397098183631896,0.6021702885627747,4,15256,15111,0.0063750604,0.005738392,0.00015300146,165.0,11,59,0.0057518547
z,0.12744246423244476,0.2507466971874237,0,14533,14650,-0.005352715,0.0058536776,0.00012846517,-165.0,0,0,-0.001512853
z,0.12744246423244476,0.2507466971874237,0,9304,9607,-0.021391751,0.00727015,0.00051340205,-135.0,1,1,0.0017340928
z,0.12744246423244476,0.2507466971874237,0,10897,11385,-0.029240435,0.006696335,0.0007017704,-105.0,2,2,-0.0012210198
z,0.12744246423244476,0.2507466971874237,0,7858,8128,-0.02254977,0.007907144,0.0005411945,-75.0,3,3,-8.669682e-05
z,0.12744246423244476,0.2507466971874237,0,7931,8103,-0.014322035,0.007896498,0.00034372884,-45.0,4,4,-0.004741622
z,0.12744246423244476,0.2507466971874237,0,5965,5870,0.010717007,0.009191596,0.0002572082,-15.0,5,5,-0.006284092
z,0.12744246423244476,0.2507466971874237,0,5726,5590,0.016045902,0.009399345,0.00038510165,15.0,6,6,0.0010293033
z,0.12744246423244476,0.2507466971874237,0,7917,7502,0.035934374,0.008048062,0.00086242496,45.0,7,7,0.0065726414
z,0.12744246423244476,0.2507466971874237,0,7922,7623,0.025680214,0.008017913,0.0006163251,75.0,8,8,-0.0025813654
z,0.12744246423244476,0.2507466971874237,0,11026,10721,0.018724862,0.006779914,0.0004493967,105.0,9,9,-0.0019854829
z,0.12744246423244476,0.2507466971874237,0,9037,8881,0.011623937,0.007470091,0.00027897448,135.0,10,10,0.009930967
z,0.12744246423244476,0.2507466971874237,0,15294,15192,0.00446702,0.005727241,0.00010720848,165.0,11,11,0.004783896
z,0.2507466971874237,0.31731894612312317,1,13696,14069,-0.017936155,0.006000415,0.00043046774,-165.0,0,12,-0.0017122272
