axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17897353768348695,0,13588,13548,0.001968033,0.006070525,4.7232792e-05,-165.0,0,0,-5.9819315e-05
x,0.10681463778018951,0.17897353768348695,0,6411,6438,-0.002805515,0.008821931,6.733236e-05,-135.0,1,1,2.0375242e-05
x,0.10681463778018951,0.17897353768348695,0,10664,10725,-0.0038076544,0.0068375673,9.138371e-05,-105.0,2,2,-0.0010373651
x,0.10681463778018951,0.17897353768348695,0,6101,6316,-0.023117451,0.008971717,0.00055481883,-75.0,3,3,-0.00039935857
x,0.10681463778018951,0.17897353768348695,0,5775,6178,-0.045013867,0.009137368,0.0010803328,-45.0,4,4,-0.00011985749
x,0.10681463778018951,0.17897353768348695,0,2572,2557,0.0039046016,0.013963051,9.371044e-05,-15.0,5,5,0.00075096637
x,0.10681463778018951,0.17897353768348695,0,2603,2604,-0.00025640742,0.01385818,6.153778e-06,15.0,6,6,0.0005116385
x,0.10681463778018951,0.17897353768348695,0,6159,6005,0.016902948,0.009065667,0.00040567075,45.0,7,7,-0.00087242573
x,0.10681463778018951,0.17897353768348695,0,6408,6109,0.03189254,0.008933649,0.000765421,75.0,8,8,9.256601e-05
x,0.10681463778018951,0.17897353768348695,0,11067,10600,0.028776387,0.0067907968,0.0006906333,105.0,9,9,-0.0006616432
x,0.10681463778018951,0.17897353768348695,0,6468,6419,0.005076477,0.008808835,0.000121835445,135.0,10,10,0.00068541896
x,0.10681463778018951,0.17897353768348695,0,13665,13457,0.0102390535,0.006071785,0.0002457373,165.0,11,11,0.0008734297
x,0.17897353768348695,0.22881350517272953,1,13509,13975,-0.022637276,0.006030436,0.00054329465,-165.0,0,12,-4.4113025e-05
x,0.17897353768348695,0.22881350517272953,1,7118,7376,-0.023765646,0.008303921,0.00057037553,-135.0,1,13,0.000628192
x,0.17897353768348695,0.22881350517272953,1,9330,9934,-0.04186091,0.007198565,0.0010046618,-105.0,2,14,0.0008684695
x,0.17897353768348695,0.22881350517272953,1,7345,7850,-0.04437198,0.008104416,0.0010649276,-75.0,3,15,0.0011068396
x,0.17897353768348695,0.22881350517272953,1,5017,5371,-0.045497704,0.009801309,0.0010919449,-45.0,4,16,-0.0006553158
x,0.17897353768348695,0.22881350517272953,1,2197,2322,-0.036930554,0.0148656005,0.0008863333,-15.0,5,17,0.00025967136
x,0.17897353768348695,0.22881350517272953,1,2284,2255,0.008530137,0.014842399,0.0002047233,15.0,6,18,0.0011212854
x,0.17897353768348695,0.22881350517272953,1,5392,5072,0.04082916,0.009767622,0.0009798998,45.0,7,19,0.0031799972
x,0.17897353768348695,0.22881350517272953,1,7523,7148,0.03412634,0.0082511995,0.0008190322,75.0,8,20,0.00038532168
x,0.17897353768348695,0.22881350517272953,1,9923,9546,0.025853293,0.007164452,0.00062047906,105.0,9,21,0.0010208618
x,0.17897353768348695,0.22881350517272953,1,7202,7092,0.010274415,0.008363734,0.00024658596,135.0,10,22,0.0006691376
x,0.17897353768348695,0.22881350517272953,1,13928,13659,0.013018651,0.0060202004,0.00031244764,165.0,11,23,-0.00093595777
x,0.22881350517272953,0.2793258249759674,2,13611,13839,-0.0110894665,0.006035345,0.0002661472,-165.0,0,24,-0.00024393573
x,0.22881350517272953,0.2793258249759674,2,7650,7997,-0.02960851,0.007990869,0.00071060425,-135.0,1,25,9.01185e-05
x,0.22881350517272953,0.2793258249759674,2,8760,9213,-0.033650834,0.0074549317,0.00080762,-105.0,2,26,3.979355e-05
x,0.22881350517272953,0.2793258249759674,2,7506,7960,-0.039191872,0.008034839,0.00094060495,-75.0,3,27,-0.0006468855
x,0.22881350517272953,0.2793258249759674,2,4816,5138,-0.043189324,0.0100137275,0.0010365437,-45.0,4,28,0.00037071854
x,0.22881350517272953,0.2793258249759674,2,2312,2268,0.012826418,0.014775137,0.00030783404,-15.0,5,29,0.00022596214
