axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,14130,14177,-0.0022167778,0.0059436336,5.3202668e-05,-165.0,0,0,-0.005532979
x,0.10681463778018951,0.17718307673931125,0,6931,6869,0.005998336,0.008512412,0.00014396006,-135.0,1,1,-0.019071117
x,0.10681463778018951,0.17718307673931125,0,11268,11303,-0.00207031,0.0066561587,4.968744e-05,-105.0,2,2,-0.012098055
x,0.10681463778018951,0.17718307673931125,0,6703,6869,-0.016329858,0.008582626,0.0003919166,-75.0,3,3,0.0076790154
x,0.10681463778018951,0.17718307673931125,0,6325,6730,-0.041418687,0.008744575,0.0009940484,-45.0,4,4,0.018065032
x,0.10681463778018951,0.17718307673931125,0,3022,3037,-0.0033052817,0.012846865,7.932676e-05,-15.0,5,5,-0.02272647
x,0.10681463778018951,0.17718307673931125,0,3014,3057,-0.009456412,0.012833659,0.00022695388,15.0,6,6,0.020377584
x,0.10681463778018951,0.17718307673931125,0,6666,6499,0.016936114,0.008714195,0.00040646674,45.0,7,7,0.01821824
x,0.10681463778018951,0.17718307673931125,0,7021,6762,0.025088469,0.008515133,0.00060212327,75.0,8,8,0.008952772
x,0.10681463778018951,0.17718307673931125,0,11684,11104,0.033981297,0.0066205794,0.00081555115,105.0,9,9,0.00035919994
x,0.10681463778018951,0.17718307673931125,0,6955,6909,0.004429834,0.008492812,0.000106316016,135.0,10,10,-0.0038993955
x,0.10681463778018951,0.17718307673931125,0,14332,14048,0.013360543,0.0059354687,0.00032065305,165.0,11,11,0.010797229
x,0.17718307673931125,0.22535382211208344,1,13888,14273,-0.018252857,0.0059580426,0.0004380686,-165.0,0,12,0.0051568914
x,0.17718307673931125,0.22535382211208344,1,7475,7749,-0.024029236,0.008102335,0.00057670166,-135.0,1,13,0.007094687
x,0.17718307673931125,0.22535382211208344,1,9830,10444,-0.040434036,0.0070173796,0.0009704169,-105.0,2,14,0.0017547943
x,0.17718307673931125,0.22535382211208344,1,7887,8299,-0.033984106,0.007855599,0.00081561855,-75.0,3,15,0.006708907
x,0.17718307673931125,0.22535382211208344,1,5425,5811,-0.045866307,0.009424034,0.0011007914,-45.0,4,16,0.011110973
x,0.17718307673931125,0.22535382211208344,1,2489,2692,-0.052311912,0.013873887,0.0012554859,-15.0,5,17,0.022988288
x,0.17718307673931125,0.22535382211208344,1,2598,2557,0.01061875,0.013927115,0.00025485,15.0,6,18,-0.0064223637
x,0.17718307673931125,0.22535382211208344,1,5873,5509,0.042697355,0.009364713,0.0010247366,45.0,7,19,-0.012155887
x,0.17718307673931125,0.22535382211208344,1,7967,7647,0.027362386,0.007999822,0.00065669726,75.0,8,20,0.008389013
x,0.17718307673931125,0.22535382211208344,1,10355,9969,0.025356907,0.0070122234,0.0006085658,105.0,9,21,0.0016686805
x,0.17718307673931125,0.22535382211208344,1,7638,7475,0.014399755,0.00813354,0.0003455941,135.0,10,22,-5.58272e-05
x,0.17718307673931125,0.22535382211208344,1,14221,13993,0.010789178,0.0059530893,0.00025894027,165.0,11,23,0.0021792082
