axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,13280,13316,-0.0018071922,0.006131844,4.3372613e-05,-165.0,0,0,-0.0059425645
x,0.10681463778018951,0.17718307673931125,0,6484,6451,0.003406165,0.008792538,8.174796e-05,-135.0,1,1,-0.016478946
x,0.10681463778018951,0.17718307673931125,0,10615,10682,-0.0042002443,0.006852309,0.00010080587,-105.0,2,2,-0.009968122
x,0.10681463778018951,0.17718307673931125,0,6364,6530,-0.017188525,0.008805256,0.0004125246,-75.0,3,3,0.008537682
x,0.10681463778018951,0.17718307673931125,0,5982,6383,-0.04329806,0.008984532,0.0010391534,-45.0,4,4,0.019944403
x,0.10681463778018951,0.17718307673931125,0,2695,2719,-0.0059184935,0.013590433,0.00014204385,-15.0,5,5,-0.02011326
x,0.10681463778018951,0.17718307673931125,0,2709,2703,0.0014801702,0.013593166,3.5524085e-05,15.0,6,6,0.009441002
x,0.10681463778018951,0.17718307673931125,0,6328,6161,0.017852826,0.008946784,0.0004284678,45.0,7,7,0.017301528
x,0.10681463778018951,0.17718307673931125,0,6708,6441,0.027110448,0.008717541,0.00065065076,75.0,8,8,0.0069307927
x,0.10681463778018951,0.17718307673931125,0,10996,10476,0.032333225,0.0068208203,0.0007759974,105.0,9,9,0.002007272
x,0.10681463778018951,0.17718307673931125,0,6554,6458,0.009850207,0.008766109,0.00023640496,135.0,10,10,-0.009319768
x,0.10681463778018951,0.17718307673931125,0,13460,13229,0.0115557425,0.006120753,0.00027733782,165.0,11,11,0.012602029
x,0.17718307673931125,0.22535382211208344,1,13425,13750,-0.015967319,0.006065406,0.00038321567,-165.0,0,12,0.0028713532
x,0.17718307673931125,0.22535382211208344,1,7210,7473,-0.023914378,0.008250274,0.00057394506,-135.0,1,13,0.0069798287
x,0.17718307673931125,0.22535382211208344,1,9474,10077,-0.04117812,0.0071457364,0.0009882748,-105.0,2,14,0.0024988763
x,0.17718307673931125,0.22535382211208344,1,7693,8082,-0.032922924,0.007957558,0.0007901502,-75.0,3,15,0.0056477245
