axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.1802220493555069,0,10075,10028,0.0031214412,0.0070528956,7.491459e-05,-165.0,0,0,0.0016881917
x,0.10681463778018951,0.1802220493555069,0,5185,5154,0.0040031453,0.009834613,9.6075484e-05,-135.0,1,1,-0.001381163
x,0.10681463778018951,0.1802220493555069,0,8159,8219,-0.0048911227,0.007813837,0.000117386946,-105.0,2,2,-0.00032319454
x,0.10681463778018951,0.1802220493555069,0,5038,5128,-0.0118198125,0.009917326,0.0002836755,-75.0,3,3,0.002500114
x,0.10681463778018951,0.1802220493555069,0,4868,5179,-0.04132779,0.009968059,0.0009918669,-45.0,4,4,0.0020597465
x,0.10681463778018951,0.1802220493555069,0,2474,2515,-0.010972069,0.014156865,0.00026332965,-15.0,5,5,0.0015425179
x,0.10681463778018951,0.1802220493555069,0,2511,2495,0.0042672423,0.014133529,0.00010241382,15.0,6,6,-0.001243514
x,0.10681463778018951,0.1802220493555069,0,5177,4907,0.03574778,0.009951898,0.00085794675,45.0,7,7,-0.0013217591
x,0.10681463778018951,0.1802220493555069,0,5179,4956,0.029376447,0.009928889,0.00070503476,75.0,8,8,-0.00015207566
x,0.10681463778018951,0.1802220493555069,0,8405,8159,0.019828418,0.0077684075,0.00047588203,105.0,9,9,0.003014328
x,0.10681463778018951,0.1802220493555069,0,5220,5263,-0.0054764743,0.009766764,0.00013143539,135.0,10,10,-0.00022470858
x,0.10681463778018951,0.1802220493555069,0,10260,10009,0.0165333,0.007023029,0.0003967992,165.0,11,11,0.0003821645
x,0.1802220493555069,0.23013362586498262,1,10172,10357,-0.0120315645,0.006978863,0.00028875755,-165.0,0,12,0.00080768485
x,0.1802220493555069,0.23013362586498262,1,5647,5878,-0.026760193,0.009311593,0.00064224465,-135.0,1,13,0.002558032
x,0.1802220493555069,0.23013362586498262,1,7372,7731,-0.031735796,0.008132977,0.0007616591,-105.0,2,14,-1.6417354e-05
