axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17897353768348695,0,13339,13243,0.0048217173,0.0061333976,0.00011572122,-165.0,0,0,-0.0029135037
x,0.10681463778018951,0.17897353768348695,0,6323,6335,-0.0012657103,0.008888267,3.0377048e-05,-135.0,1,1,-0.0015194294
x,0.10681463778018951,0.17897353768348695,0,10458,10592,-0.00849906,0.006892206,0.00020397744,-105.0,2,2,0.0036540404
x,0.10681463778018951,0.17897353768348695,0,6016,6236,-0.023973633,0.009031745,0.0005753672,-75.0,3,3,0.00045682304
x,0.10681463778018951,0.17897353768348695,0,5702,6094,-0.04436796,0.00919824,0.001064831,-45.0,4,4,-0.0007657632
x,0.10681463778018951,0.17897353768348695,0,2474,2471,0.0008099779,0.014220561,1.9439469e-05,-15.0,5,5,0.0038455902
x,0.10681463778018951,0.17897353768348695,0,2502,2500,0.00053383183,0.014139306,1.2811964e-05,15.0,6,6,-0.0002786008
x,0.10681463778018951,0.17897353768348695,0,6102,5942,0.017736478,0.009110586,0.00042567548,45.0,7,7,-0.0017059557
x,0.10681463778018951,0.17897353768348695,0,6347,6009,0.036522202,0.008990238,0.00087653287,75.0,8,8,-0.0045370944
x,0.10681463778018951,0.17897353768348695,0,10912,10442,0.029385751,0.0068402626,0.00070525805,105.0,9,9,-0.0012710076
x,0.10681463778018951,0.17897353768348695,0,6396,6320,0.007979603,0.008867699,0.00019151047,135.0,10,10,-0.0022177068
x,0.10681463778018951,0.17897353768348695,0,13376,13159,0.010918396,0.006138533,0.0002620415,165.0,11,11,0.00019408762
x,0.17897353768348695,0.22881350517272953,1,13290,13753,-0.022858318,0.0060793767,0.00054859964,-165.0,0,12,0.00017692894
x,0.17897353768348695,0.22881350517272953,1,7031,7305,-0.025517654,0.008349194,0.0006124237,-135.0,1,13,0.0023801997
x,0.17897353768348695,0.22881350517272953,1,9227,9791,-0.039594278,0.007245642,0.00095026265,-105.0,2,14,-0.001398161
x,0.17897353768348695,0.22881350517272953,1,7297,7757,-0.04079661,0.008143523,0.0009791186,-75.0,3,15,-0.00246853
x,0.17897353768348695,0.22881350517272953,1,4973,5324,-0.04551081,0.009844516,0.0010922594,-45.0,4,16,-0.00064221025
x,0.17897353768348695,0.22881350517272953,1,2137,2267,-0.039410707,0.015057012,0.00094585697,-15.0,5,17,0.0027398244
x,0.17897353768348695,0.22881350517272953,1,2229,2178,0.015450598,0.015061791,0.00037081435,15.0,6,18,-0.0057991752
x,0.17897353768348695,0.22881350517272953,1,5363,5011,0.04530171,0.009808008,0.001087241,45.0,7,19,-0.0012925528
x,0.17897353768348695,0.22881350517272953,1,7447,7092,0.03259958,0.008288994,0.0007823899,75.0,8,20,0.0019120835
x,0.17897353768348695,0.22881350517272953,1,9786,9428,0.024876164,0.0072120163,0.00059702795,105.0,9,21,0.0019979905
x,0.17897353768348695,0.22881350517272953,1,7122,6983,0.013157091,0.008419298,0.0003157702,135.0,10,22,-0.0022135386
x,0.17897353768348695,0.22881350517272953,1,13683,13427,0.01260749,0.006072964,0.00030257975,165.0,11,23,-0.00052479655
x,0.22881350517272953,0.2793258249759674,2,13406,13661,-0.012578192,0.0060777883,0.0003018766,-165.0,0,24,0.0012447899
x,0.22881350517272953,0.2793258249759674,2,7561,7910,-0.030117936,0.0080360705,0.0007228305,-135.0,1,25,0.0005995445
x,0.22881350517272953,0.2793258249759674,2,8658,9121,-0.034768973,0.0074952077,0.00083445536,-105.0,2,26,0.001157932
x,0.22881350517272953,0.2793258249759674,2,7419,7914,-0.04310188,0.008068312,0.0010344451,-75.0,3,27,0.0032631233
x,0.22881350517272953,0.2793258249759674,2,4778,5097,-0.043129236,0.010053728,0.0010351017,-45.0,4,28,0.0003106296
x,0.22881350517272953,0.2793258249759674,2,2256,2214,0.01254469,0.014955884,0.00030107255,-15.0,5,29,0.00050769
x,0.22881350517272953,0.2793258249759674,2,2290,2185,0.031326685,0.0149413645,0.0007518405,15.0,6,30,0.00014259666
x,0.22881350517272953,0.2793258249759674,2,5069,4996,0.009683386,0.00996719,0.00023240127,45.0,7,31,-0.003671717
x,0.22881350517272953,0.2793258249759674,2,8127,7573,0.047111645,0.007972008,0.0011306795,75.0,8,32,-0.0012236759
