axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17897353768348695,0,14501,14450,0.0023519322,0.005877153,5.6446373e-05,-165.0,0,0,-0.00044371863
x,0.10681463778018951,0.17897353768348695,0,6792,6826,-0.0033333718,0.008569213,8.000092e-05,-135.0,1,1,0.0005482321
x,0.10681463778018951,0.17897353768348695,0,11215,11411,-0.011565555,0.0066476334,0.00027757333,-105.0,2,2,0.0067205355
x,0.10681463778018951,0.17897353768348695,0,6573,6784,-0.021090735,0.008650653,0.00050617766,-75.0,3,3,-0.0024260748
x,0.10681463778018951,0.17897353768348695,0,6107,6513,-0.042952143,0.008893431,0.0010308514,-45.0,4,4,-0.0021815822
x,0.10681463778018951,0.17897353768348695,0,2711,2700,0.0027141469,0.013594387,6.5139524e-05,-15.0,5,5,0.0019414211
x,0.10681463778018951,0.17897353768348695,0,2777,2750,0.0065221754,0.013450735,0.00015653222,15.0,6,6,-0.0062669446
x,0.10681463778018951,0.17897353768348695,0,6486,6307,0.018680943,0.00883971,0.00044834265,45.0,7,7,-0.002650421
x,0.10681463778018951,0.17897353768348695,0,6909,6582,0.03236099,0.00860499,0.0007766638,75.0,8,8,-0.0003758818
x,0.10681463778018951,0.17897353768348695,0,11647,11237,0.023920491,0.006608604,0.0005740918,105.0,9,9,0.004194252
x,0.10681463778018951,0.17897353768348695,0,6845,6803,0.0041086436,0.008559764,9.8607445e-05,135.0,10,10,0.0016532522
x,0.10681463778018951,0.17897353768348695,0,14586,14281,0.014106406,0.0058851284,0.00033855374,165.0,11,11,-0.0029939227
x,0.17897353768348695,0.22881350517272953,1,14384,14825,-0.02015766,0.005849967,0.00048378384,-165.0,0,12,-0.0025237296
x,0.17897353768348695,0.22881350517272953,1,7591,7835,-0.021118091,0.008049641,0.0005068342,-135.0,1,13,-0.0020193625
x,0.17897353768348695,0.22881350517272953,1,9841,10487,-0.04242834,0.0070074727,0.0010182802,-105.0,2,14,0.001435902
x,0.17897353768348695,0.22881350517272953,1,7870,8330,-0.03791063,0.007851094,0.0009098551,-75.0,3,15,-0.0053545125
x,0.17897353768348695,0.22881350517272953,1,5348,5730,-0.046038397,0.009490926,0.0011049216,-45.0,4,16,-0.00011462346
x,0.17897353768348695,0.22881350517272953,1,2354,2475,-0.033453867,0.014382296,0.0008028928,-15.0,5,17,-0.0032170154
x,0.17897353768348695,0.22881350517272953,1,2422,2394,0.0077622877,0.014409326,0.00018629491,15.0,6,18,0.0018891348
x,0.17897353768348695,0.22881350517272953,1,5721,5372,0.042004384,0.009486195,0.0010081052,45.0,7,19,0.0020047724
x,0.17897353768348695,0.22881350517272953,1,8057,7637,0.035730068,0.0079772975,0.0008575216,75.0,8,20,-0.0012184046
x,0.17897353768348695,0.22881350517272953,1,10453,10073,0.024717096,0.0069777453,0.00059321034,105.0,9,21,0.0021570586
x,0.17897353768348695,0.22881350517272953,1,7674,7549,0.010962963,0.008104455,0.0002631111,135.0,10,22,-1.9410625e-05
x,0.17897353768348695,0.22881350517272953,1,14784,14551,0.010604447,0.005838248,0.0002545067,165.0,11,23,0.0014782464
x,0.22881350517272953,0.2793258249759674,2,14252,14508,-0.011884181,0.0058962363,0.00028522033,-165.0,0,24,0.0005507786
x,0.22881350517272953,0.2793258249759674,2,8059,8404,-0.02797875,0.007790682,0.00067149,-135.0,1,25,-0.001539642
x,0.22881350517272953,0.2793258249759674,2,9148,9629,-0.034200862,0.007293446,0.0008208207,-105.0,2,26,0.0005898215
x,0.22881350517272953,0.2793258249759674,2,7946,8382,-0.035650995,0.007820911,0.00085562386,-75.0,3,27,-0.0041877627
x,0.22881350517272953,0.2793258249759674,2,5096,5435,-0.042978205,0.009735622,0.0010314769,-45.0,4,28,0.00015959889
x,0.22881350517272953,0.2793258249759674,2,2460,2406,0.014816303,0.014333962,0.00035559127,-15.0,5,29,-0.0017639231
x,0.22881350517272953,0.2793258249759674,2,2472,2362,0.030381149,0.014376268,0.0007291476,15.0,6,30,0.0010881331
x,0.22881350517272953,0.2793258249759674,2,5403,5349,0.006705369,0.009643743,0.00016092886,45.0,7,31,-0.00069369934
x,0.22881350517272953,0.2793258249759674,2,8599,8050,0.044025306,0.007742561,0.0010566073,75.0,8,32,0.0018626638
x,0.22881350517272953,0.2793258249759674,2,9579,9073,0.03621957,0.0073173232,0.0008692697,105.0,9,33,-0.0015122816
x,0.22881350517272953,0.2793258249759674,2,8359,8021,0.027549962,0.007810488,0.0006611991,135.0,10,34,-0.00022282824
