axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17897353768348695,0,12231,12145,0.004710361,0.0064049237,0.00011304866,-165.0,0,0,-0.0028021473
x,0.10681463778018951,0.17897353768348695,0,5907,5892,0.001697322,0.009206124,4.073573e-05,-135.0,1,1,-0.0044824616
x,0.10681463778018951,0.17897353768348695,0,9702,9802,-0.0068453313,0.007160247,0.00016428795,-105.0,2,2,0.0020003119
x,0.10681463778018951,0.17897353768348695,0,5417,5620,-0.024556313,0.0095157605,0.0005893515,-75.0,3,3,0.0010395031
x,0.10681463778018951,0.17897353768348695,0,5244,5652,-0.049993236,0.009568041,0.0011998377,-45.0,4,4,0.004859511
x,0.10681463778018951,0.17897353768348695,0,2342,2355,-0.0036952256,0.014591057,8.868542e-05,-15.0,5,5,0.008350793
x,0.10681463778018951,0.17897353768348695,0,2411,2400,0.0030526393,0.014417179,7.326334e-05,15.0,6,6,-0.0027974083
x,0.10681463778018951,0.17897353768348695,0,5658,5519,0.016603809,0.009457525,0.00039849142,45.0,7,7,-0.0005732868
x,0.10681463778018951,0.17897353768348695,0,5709,5434,0.032949492,0.009468105,0.0007907878,75.0,8,8,-0.0009643845
x,0.10681463778018951,0.17897353768348695,0,10051,9669,0.025862746,0.007118709,0.0006207059,105.0,9,9,0.0022519976
x,0.10681463778018951,0.17897353768348695,0,5897,5868,0.0032909724,0.009219379,7.8983336e-05,135.0,10,10,0.0024709234
x,0.10681463778018951,0.17897353768348695,0,12304,12118,0.010168336,0.006398629,0.00024404007,165.0,11,11,0.0009441469
x,0.17897353768348695,0.22881350517272953,1,12305,12702,-0.021195669,0.0063222493,0.0005086961,-165.0,0,12,-0.0014857203
x,0.17897353768348695,0.22881350517272953,1,6543,6757,-0.021482276,0.008669099,0.00051557465,-135.0,1,13,-0.0016551781
x,0.17897353768348695,0.22881350517272953,1,8609,9150,-0.04067213,0.007497755,0.0009761311,-105.0,2,14,-0.0003203079
x,0.17897353768348695,0.22881350517272953,1,6634,7095,-0.044831183,0.008525968,0.0010759484,-75.0,3,15,0.0015660413
x,0.17897353768348695,0.22881350517272953,1,4568,4861,-0.041487776,0.0102894725,0.0009957067,-45.0,4,16,-0.0046652444
x,0.17897353768348695,0.22881350517272953,1,1983,2086,-0.033796187,0.0156678,0.0008111085,-15.0,5,17,-0.0028746948
x,0.17897353768348695,0.22881350517272953,1,2081,2054,0.00871779,0.01555055,0.00020922697,15.0,6,18,0.00093363225
x,0.17897353768348695,0.22881350517272953,1,4950,4666,0.039431386,0.010189782,0.00094635325,45.0,7,19,0.004577771
