axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,14165,14218,-0.0024930772,0.0059356666,5.9833852e-05,-165.0,0,0,-0.00525668
x,0.10681463778018951,0.17718307673931125,0,6950,6882,0.0065636,0.00850253,0.0001575264,-135.0,1,1,-0.019636381
x,0.10681463778018951,0.17718307673931125,0,11291,11318,-0.0015944121,0.0066505685,3.826589e-05,-105.0,2,2,-0.012573954
x,0.10681463778018951,0.17718307673931125,0,6713,6885,-0.016887741,0.008574337,0.0004053058,-75.0,3,3,0.008236898
x,0.10681463778018951,0.17718307673931125,0,6325,6749,-0.04329877,0.008737522,0.0010391704,-45.0,4,4,0.019945115
x,0.10681463778018951,0.17718307673931125,0,3006,3016,-0.0022170597,0.01288631,5.3209435e-05,-15.0,5,5,-0.023814693
x,0.10681463778018951,0.17718307673931125,0,2999,3046,-0.010380534,0.012861109,0.00024913283,15.0,6,6,0.021301707
x,0.10681463778018951,0.17718307673931125,0,6685,6515,0.017194644,0.008702597,0.00041267145,45.0,7,7,0.01795971
x,0.10681463778018951,0.17718307673931125,0,7038,6772,0.025716161,0.008506669,0.0006171879,75.0,8,8,0.008325079
x,0.10681463778018951,0.17718307673931125,0,11723,11149,0.03350626,0.006608517,0.00080415024,105.0,9,9,0.0008342378
x,0.10681463778018951,0.17718307673931125,0,6983,6930,0.0050859638,0.008477816,0.00012206313,135.0,10,10,-0.0045555253
x,0.10681463778018951,0.17718307673931125,0,14367,14087,0.01313811,0.0059277634,0.00031531462,165.0,11,11,0.011019662
x,0.17718307673931125,0.22535382211208344,1,13922,14311,-0.018395465,0.0059504253,0.00044149117,-165.0,0,12,0.0052994993
x,0.17718307673931125,0.22535382211208344,1,7495,7769,-0.023966268,0.008091724,0.0005751904,-135.0,1,13,0.0070317183
x,0.17718307673931125,0.22535382211208344,1,9841,10452,-0.040198803,0.0070141605,0.00096477126,-105.0,2,14,0.0015195608
x,0.17718307673931125,0.22535382211208344,1,7908,8322,-0.0340565,0.007844924,0.000817356,-75.0,3,15,0.0067813005
x,0.17718307673931125,0.22535382211208344,1,5440,5817,-0.044713315,0.009415733,0.0010731196,-45.0,4,16,0.00995798
x,0.17718307673931125,0.22535382211208344,1,2485,2686,-0.051896695,0.013887597,0.0012455207,-15.0,5,17,0.02257307
x,0.17718307673931125,0.22535382211208344,1,2595,2560,0.009064785,0.013927328,0.00021755484,15.0,6,18,-0.004868399
x,0.17718307673931125,0.22535382211208344,1,5891,5530,0.042200852,0.0093489075,0.0010128205,45.0,7,19,-0.011659384
x,0.17718307673931125,0.22535382211208344,1,7985,7656,0.028083391,0.007992754,0.0006740014,75.0,8,20,0.007668007
x,0.17718307673931125,0.22535382211208344,1,10386,9996,0.02554677,0.0070022056,0.0006131225,105.0,9,21,0.0014788173
x,0.17718307673931125,0.22535382211208344,1,7649,7480,0.014914018,0.008129178,0.00035793643,135.0,10,22,-0.0005700905
x,0.17718307673931125,0.22535382211208344,1,14244,14029,0.010152774,0.005946914,0.00024366658,165.0,11,23,0.0028156126
x,0.22535382211208344,0.2737313747406006,2,13872,14155,-0.013481182,0.0059727207,0.00032354836,-165.0,0,24,0.0023126574
x,0.22535382211208344,0.2737313747406006,2,7911,8284,-0.030750064,0.007854239,0.00073800154,-135.0,1,25,0.008491885
x,0.22535382211208344,0.2737313747406006,2,9195,9611,-0.029533511,0.007288905,0.0007088043,-105.0,2,26,-0.00842805
x,0.22535382211208344,0.2737313747406006,2,7932,8306,-0.030750858,0.0078438325,0.0007380206,-75.0,3,27,-0.00051056035
x,0.22535382211208344,0.2737313747406006,2,5302,5614,-0.03816008,0.009564269,0.0009158419,-45.0,4,28,0.0046983175
x,0.22535382211208344,0.2737313747406006,2,2622,2581,0.010520787,0.013862739,0.0002524989,-15.0,5,29,-0.0014982633
x,0.22535382211208344,0.2737313747406006,2,2596,2469,0.033476684,0.014043223,0.0008034404,15.0,6,30,-0.017549973
x,0.22535382211208344,0.2737313747406006,2,5560,5483,0.009309403,0.009515632,0.00022342567,45.0,7,31,-0.0053380867
x,0.22535382211208344,0.2737313747406006,2,8570,8032,0.04326533,0.0077537703,0.001038368,75.0,8,32,0.0031148642
x,0.22535382211208344,0.2737313747406006,2,9551,9088,0.033164736,0.0073206513,0.0007959537,105.0,9,33,0.0014781319
x,0.22535382211208344,0.2737313747406006,2,8257,8073,0.015043532,0.0078245215,0.00036104475,135.0,10,34,0.0091116065
x,0.22535382211208344,0.2737313747406006,2,14169,14133,0.0016982575,0.0059441645,4.075818e-05,165.0,11,35,-0.0027714998
x,0.2737313747406006,0.33397098183631896,3,13932,14313,-0.018009497,0.0059492025,0.00043222794,-165.0,0,36,-0.0027335305
x,0.2737313747406006,0.33397098183631896,3,8727,8984,-0.019373506,0.0075127156,0.00046496416,-135.0,1,37,0.0061401622
x,0.2737313747406006,0.33397098183631896,3,8947,9397,-0.03275191,0.007379381,0.00078604586,-105.0,2,38,-0.0041928925
x,0.2737313747406006,0.33397098183631896,3,8513,9396,-0.065827526,0.007456265,0.0015798607,-75.0,3,39,0.009343341
x,0.2737313747406006,0.33397098183631896,3,5662,5789,-0.014807388,0.009343954,0.00035537733,-45.0,4,40,0.002001835
x,0.2737313747406006,0.33397098183631896,3,2830,2799,0.0073527303,0.013328235,0.00017646553,-15.0,5,41,-0.016022298
x,0.2737313747406006,0.33397098183631896,3,2816,2695,0.029313868,0.013464744,0.00070353283,15.0,6,42,0.0027812552
x,0.2737313747406006,0.33397098183631896,3,6007,5674,0.03806119,0.009245815,0.0009134686,45.0,7,43,-0.001138214
x,0.2737313747406006,0.33397098183631896,3,9196,8654,0.04053958,0.0074786586,0.00097294996,75.0,8,44,0.006406948
x,0.2737313747406006,0.33397098183631896,3,9196,8933,0.019368682,0.0074256007,0.00046484836,105.0,9,45,-0.004887143
x,0.2737313747406006,0.33397098183631896,3,8945,8722,0.01685234,0.0075224084,0.00040445616,135.0,10,46,-0.0030838475
x,0.2737313747406006,0.33397098183631896,3,14406,14093,0.01466334,0.005922956,0.00035192014,165.0,11,47,-0.0045383833
x,0.33397098183631896,0.6021702885627747,4,15368,15109,0.011346077,0.005727775,0.00027230583,-165.0,0,48,-0.007983541
x,0.33397098183631896,0.6021702885627747,4,9683,10100,-0.028142462,0.007106927,0.00067541905,-135.0,1,49,-0.005219573
x,0.33397098183631896,0.6021702885627747,4,9225,9774,-0.03857978,0.0072495523,0.00092591473,-105.0,2,50,-0.00751308
x,0.33397098183631896,0.6021702885627747,4,9309,10043,-0.050639383,0.007179257,0.0012153452,-75.0,3,51,-0.0012570098
x,0.33397098183631896,0.6021702885627747,4,6241,6624,-0.039747257,0.008809511,0.00095393416,-45.0,4,52,-0.0066035353
x,0.33397098183631896,0.6021702885627747,4,3060,3251,-0.0404067,0.0125775505,0.0009697608,-15.0,5,53,0.019800447
x,0.33397098183631896,0.6021702885627747,4,3011,3035,-0.0052998215,0.012860559,0.00012719572,15.0,6,54,0.010745708
x,0.33397098183631896,0.6021702885627747,4,6668,6266,0.04149649,0.008785355,0.0009959157,45.0,7,55,0.0026568696
x,0.33397098183631896,0.6021702885627747,4,9651,9444,0.014473343,0.0072359354,0.00034736024,75.0,8,56,0.014425218
x,0.33397098183631896,0.6021702885627747,4,9846,9187,0.046227068,0.0072407215,0.0011094497,105.0,9,57,-0.0030522905
x,0.33397098183631896,0.6021702885627747,4,10156,9872,0.018932106,0.007064857,0.00045437054,135.0,10,58,0.0059759505
x,0.33397098183631896,0.6021702885627747,4,15256,15113,0.0062867147,0.0057382067,0.00015088115,165.0,11,59,0.0058402005
z,0.12744246423244476,0.2507466971874237,0,14562,14666,-0.004750643,0.0058491873,0.000114015435,-165.0,0,0,-0.002114925
z,0.12744246423244476,0.2507466971874237,0,9321,9617,-0.020867757,0.007265046,0.00050082617,-135.0,1,1,0.0012100991
z,0.12744246423244476,0.2507466971874237,0,10916,11397,-0.028780961,0.006691771,0.0006907431,-105.0,2,2,-0.0016804934
z,0.12744246423244476,0.2507466971874237,0,7862,8135,-0.022784647,0.007904382,0.0005468315,-75.0,3,3,0.00014817901
z,0.12744246423244476,0.2507466971874237,0,7945,8110,-0.013721191,0.007891398,0.0003293086,-45.0,4,4,-0.005342466
z,0.12744246423244476,0.2507466971874237,0,5969,5883,0.009687795,0.009185098,0.0002325071,-15.0,5,5,-0.00525488
z,0.12744246423244476,0.2507466971874237,0,5737,5598,0.016372366,0.009391415,0.00039293678,15.0,6,6,0.00070283934
z,0.12744246423244476,0.2507466971874237,0,7930,7510,0.03631785,0.008042476,0.00087162846,45.0,7,7,0.006189164
