axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17897353768348695,0,11986,11905,0.0045265662,0.006469614,0.00010863759,-165.0,0,0,-0.0026183526
x,0.10681463778018951,0.17897353768348695,0,5768,5718,0.0058119167,0.009330572,0.000139486,-135.0,1,1,-0.008597056
x,0.10681463778018951,0.17897353768348695,0,9751,9867,-0.007894442,0.007139357,0.00018946662,-105.0,2,2,0.003049423
x,0.10681463778018951,0.17897353768348695,0,5329,5493,-0.02023273,0.009610751,0.0004855855,-75.0,3,3,-0.00328408
x,0.10681463778018951,0.17897353768348695,0,5273,5605,-0.040748086,0.009579981,0.000977954,-45.0,4,4,-0.004385639
x,0.10681463778018951,0.17897353768348695,0,2301,2278,0.006706183,0.014777634,0.00016094839,-15.0,5,5,-0.002050615
x,0.10681463778018951,0.17897353768348695,0,2350,2330,0.005705613,0.014617396,0.00013693472,15.0,6,6,-0.0054503824
x,0.10681463778018951,0.17897353768348695,0,5507,5447,0.007313019,0.009554369,0.00017551245,45.0,7,7,0.008717503
x,0.10681463778018951,0.17897353768348695,0,5780,5487,0.03471982,0.009415295,0.0008332757,75.0,8,8,-0.0027347133
x,0.10681463778018951,0.17897353768348695,0,9840,9423,0.02890216,0.007202057,0.00069365185,105.0,9,9,-0.0007874165
x,0.10681463778018951,0.17897353768348695,0,5770,5698,0.008382296,0.00933772,0.0002011751,135.0,10,10,-0.0026204004
x,0.10681463778018951,0.17897353768348695,0,12485,12322,0.008772665,0.006348866,0.00021054395,165.0,11,11,0.0023398185
x,0.17897353768348695,0.22881350517272953,1,12241,12662,-0.022570888,0.0063352464,0.00054170133,-165.0,0,12,-0.00011050142
x,0.17897353768348695,0.22881350517272953,1,6248,6484,-0.024747625,0.008859692,0.000593943,-135.0,1,13,0.001610171
x,0.17897353768348695,0.22881350517272953,1,8701,9178,-0.03561995,0.007473993,0.00085487886,-105.0,2,14,-0.005372487
x,0.17897353768348695,0.22881350517272953,1,6584,7025,-0.043264385,0.008564067,0.0010383453,-75.0,3,15,-7.5623393e-07
x,0.17897353768348695,0.22881350517272953,1,4580,4911,-0.046562273,0.010253513,0.0011174945,-45.0,4,16,0.00040925294
x,0.17897353768348695,0.22881350517272953,1,1978,2096,-0.038670447,0.015655413,0.0009280907,-15.0,5,17,0.0019995645
x,0.17897353768348695,0.22881350517272953,1,2102,2079,0.0073445607,0.015464939,0.00017626946,15.0,6,18,0.0023068618
x,0.17897353768348695,0.22881350517272953,1,4901,4601,0.042152602,0.010249586,0.0010116624,45.0,7,19,0.0018565543
x,0.17897353768348695,0.22881350517272953,1,6788,6440,0.03512394,0.008689301,0.0008429746,75.0,8,20,-0.00061227754
x,0.17897353768348695,0.22881350517272953,1,8964,8646,0.024109375,0.0075334525,0.000578625,105.0,9,21,0.00276478
x,0.17897353768348695,0.22881350517272953,1,6674,6572,0.010280958,0.008688297,0.000246743,135.0,10,22,0.0006625941
x,0.17897353768348695,0.22881350517272953,1,12788,12582,0.010840889,0.006277898,0.00026018135,165.0,11,23,0.0012418041
x,0.22881350517272953,0.2793258249759674,2,12389,12622,-0.012437785,0.0063226754,0.00029850684,-165.0,0,24,0.0011043828
x,0.22881350517272953,0.2793258249759674,2,6790,7096,-0.02942134,0.008482491,0.0007061122,-135.0,1,25,-9.705126e-05
x,0.22881350517272953,0.2793258249759674,2,8145,8560,-0.03316804,0.007732817,0.00079603295,-105.0,2,26,-0.00044300035
x,0.22881350517272953,0.2793258249759674,2,6823,7296,-0.044727575,0.008407428,0.0010734618,-75.0,3,27,0.0048888177
x,0.22881350517272953,0.2793258249759674,2,4410,4665,-0.037515584,0.010489888,0.000900374,-45.0,4,28,-0.0053030215
x,0.22881350517272953,0.2793258249759674,2,2093,2033,0.019415125,0.015565157,0.000465963,-15.0,5,29,-0.0063627455
x,0.22881350517272953,0.2793258249759674,2,2139,2058,0.025767023,0.015430724,0.00061840855,15.0,6,30,0.005702259
x,0.22881350517272953,0.2793258249759674,2,4639,4609,0.004331034,0.010398531,0.00010394482,45.0,7,31,0.0016806354
x,0.22881350517272953,0.2793258249759674,2,7449,6967,0.044639617,0.008320405,0.0010713508,75.0,8,32,0.0012483522
x,0.22881350517272953,0.2793258249759674,2,8356,7950,0.033242736,0.007826835,0.0007978257,105.0,9,33,0.0014645532
x,0.22881350517272953,0.2793258249759674,2,7430,7179,0.022938838,0.008271332,0.00055053213,135.0,10,34,0.004388295
x,0.22881350517272953,0.2793258249759674,2,12725,12665,0.0031550536,0.0062757623,7.5721284e-05,165.0,11,35,0.0011407095
x,0.2793258249759674,0.34113137722015385,3,12407,12681,-0.014581517,0.0063127824,0.00034995642,-165.0,0,36,-0.0007132441
x,0.2793258249759674,0.34113137722015385,3,7370,7606,-0.021039449,0.008169697,0.00050494674,-135.0,1,37,-0.004712358
x,0.2793258249759674,0.34113137722015385,3,7800,8070,-0.022714596,0.00793596,0.0005451503,-105.0,2,38,-0.0030305237
x,0.2793258249759674,0.34113137722015385,3,7330,7930,-0.05249463,0.008083948,0.0012598712,-75.0,3,39,-0.0032404996
x,0.2793258249759674,0.34113137722015385,3,4638,4741,-0.01466219,0.010324643,0.00035189258,-45.0,4,40,0.0023388732
x,0.2793258249759674,0.34113137722015385,3,2237,2235,0.000597099,0.014953713,1.4330377e-05,-15.0,5,41,0.0021198594
x,0.2793258249759674,0.34113137722015385,3,2252,2105,0.04504514,0.015134399,0.0010810834,15.0,6,42,-0.012371477
x,0.2793258249759674,0.34113137722015385,3,4988,4641,0.048113447,0.010179024,0.0011547228,45.0,7,43,-0.005235765
x,0.2793258249759674,0.34113137722015385,3,7888,7334,0.048591044,0.008095633,0.001166185,75.0,8,44,-0.005696159
x,0.2793258249759674,0.34113137722015385,3,7946,7600,0.029714992,0.0080167595,0.0007131598,105.0,9,45,-0.0025688019
x,0.2793258249759674,0.34113137722015385,3,8038,7745,0.024785418,0.007957411,0.00059485005,135.0,10,46,-0.0027480032
x,0.2793258249759674,0.34113137722015385,3,12747,12501,0.0130084725,0.0062928847,0.00031220334,165.0,11,47,0.00051053613
x,0.34113137722015385,0.6005192399024963,4,13245,13060,0.009389698,0.006165406,0.00022535275,-165.0,0,48,0.0005312087
x,0.34113137722015385,0.6005192399024963,4,8252,8508,-0.02039314,0.0077227624,0.0004894354,-135.0,1,49,0.00042649545
x,0.34113137722015385,0.6005192399024963,4,7651,8229,-0.04859544,0.0079261325,0.0011662906,-105.0,2,50,0.0010370947
x,0.34113137722015385,0.6005192399024963,4,7799,8431,-0.051989634,0.007838862,0.0012477512,-75.0,3,51,7.125735e-05
x,0.34113137722015385,0.6005192399024963,4,5041,5368,-0.04194275,0.009792942,0.001006626,-45.0,4,52,-6.733835e-05
x,0.34113137722015385,0.6005192399024963,4,2362,2521,-0.0434739,0.01429703,0.0010433736,-15.0,5,53,-0.00042317435
x,0.34113137722015385,0.6005192399024963,4,2366,2380,-0.0039383876,0.014515526,9.45213e-05,15.0,6,54,-0.0027233013
x,0.34113137722015385,0.6005192399024963,4,5391,5092,0.0380806,0.009759827,0.0009139344,45.0,7,55,-0.00027896836
x,0.34113137722015385,0.6005192399024963,4,8127,7881,0.02051711,0.007902055,0.0004924107,75.0,8,56,-0.0017334912
x,0.34113137722015385,0.6005192399024963,4,8312,7698,0.051202975,0.007892857,0.0012288714,105.0,9,57,-0.00042978674
x,0.34113137722015385,0.6005192399024963,4,8614,8417,0.015443447,0.007661753,0.00037064272,135.0,10,58,0.0002674302
x,0.34113137722015385,0.6005192399024963,4,13067,12987,0.004099527,0.0061952546,9.838865e-05,165.0,11,59,-0.00030472223
z,0.1212601587176323,0.25986472964286805,0,14166,14296,-0.0060981223,0.0059273317,0.00014635494,-165.0,0,0,-0.0015412495
z,0.1212601587176323,0.25986472964286805,0,8489,8695,-0.016005201,0.0076275,0.00038412484,-135.0,1,1,-0.0012607947
z,0.1212601587176323,0.25986472964286805,0,10439,10977,-0.033539925,0.0068294606,0.0008049582,-105.0,2,2,0.0010983609
z,0.1212601587176323,0.25986472964286805,0,7196,7492,-0.026905881,0.008248243,0.0006457412,-75.0,3,3,-0.0015744623
z,0.1212601587176323,0.25986472964286805,0,7539,7697,-0.013845362,0.008100706,0.00033228868,-45.0,4,4,0.0027755974
z,0.1212601587176323,0.25986472964286805,0,4919,4916,0.00040725374,0.010083535,9.774089e-06,-15.0,5,5,-0.00014810904
z,0.1212601587176323,0.25986472964286805,0,4867,4725,0.019765025,0.010208468,0.0004743606,15.0,6,6,-0.0033994578
z,0.1212601587176323,0.25986472964286805,0,7561,7166,0.035809726,0.008235011,0.00085943344,45.0,7,7,-0.0022641607
z,0.1212601587176323,0.25986472964286805,0,7351,7118,0.02149986,0.0083115185,0.00051599665,75.0,8,8,0.0021390226
z,0.1212601587176323,0.25986472964286805,0,10764,10415,0.022000784,0.006869769,0.0005280188,105.0,9,9,-0.0027676728
z,0.1212601587176323,0.25986472964286805,0,8366,8194,0.01386712,0.007770126,0.0003328109,135.0,10,10,0.00082127005
z,0.1212601587176323,0.25986472964286805,0,14749,14713,0.0016313925,0.005825971,3.915342e-05,165.0,11,11,0.00063313555
z,0.25986472964286805,0.3339407861232757,1,14166,14673,-0.023471776,0.005886948,0.0005633226,-165.0,0,12,0.0010737479
z,0.25986472964286805,0.3339407861232757,1,8256,8591,-0.026548525,0.0077016824,0.00063716463,-135.0,1,13,-0.0025660973
z,0.25986472964286805,0.3339407861232757,1,10934,11507,-0.034090284,0.0066715446,0.0008181668,-105.0,2,14,-0.003784474
z,0.25986472964286805,0.3339407861232757,1,7770,8372,-0.049791742,0.0078610815,0.0011950018,-75.0,3,15,-0.0037862286
z,0.25986472964286805,0.3339407861232757,1,6873,7253,-0.035915554,0.008408337,0.00086197327,-45.0,4,16,-0.0022967122
z,0.25986472964286805,0.3339407861232757,1,3458,3439,0.0036779987,0.012041122,8.827197e-05,-15.0,5,17,0.0017551817
z,0.25986472964286805,0.3339407861232757,1,3436,3444,-0.0015524575,0.012056056,3.725898e-05,15.0,6,18,-0.0047802394
z,0.25986472964286805,0.3339407861232757,1,7120,6796,0.031084849,0.008472916,0.00074603636,45.0,7,19,-3.1510368e-05
z,0.25986472964286805,0.3339407861232757,1,8340,7833,0.041853864,0.007856407,0.0010044927,75.0,8,20,0.0005516857
z,0.25986472964286805,0.3339407861232757,1,11313,10794,0.031344093,0.006722358,0.00075225823,105.0,9,21,-0.0013981517
z,0.25986472964286805,0.3339407861232757,1,8579,8173,0.032357693,0.007722167,0.0007765846,135.0,10,22,-0.0013784878
z,0.25986472964286805,0.3339407861232757,1,14722,14534,0.008579482,0.0058462387,0.00020590758,165.0,11,23,-0.0001667235
z,0.3339407861232757,0.4002123355865479,2,15187,15351,-0.007170038,0.0057222727,0.00017208091,-165.0,0,24,-1.4575664e-05
z,0.3339407861232757,0.4002123355865479,2,8338,8577,-0.018864447,0.007687528,0.00045274672,-135.0,1,25,-0.0044091847
z,0.3339407861232757,0.4002123355865479,2,10943,11377,-0.02596054,0.006691239,0.000623053,-105.0,2,26,0.003006814
z,0.3339407861232757,0.4002123355865479,2,8069,8775,-0.055959992,0.0076930104,0.0013430398,-75.0,3,27,0.0040541366
z,0.3339407861232757,0.4002123355865479,2,5893,6339,-0.048680563,0.009031004,0.0011683335,-45.0,4,28,0.0042795576
z,0.3339407861232757,0.4002123355865479,2,2736,2725,0.0026892964,0.013532011,6.4543114e-05,-15.0,5,29,-0.00066264416
z,0.3339407861232757,0.4002123355865479,2,2855,2721,0.032084864,0.0133848945,0.0007700367,15.0,6,30,-7.79517e-05
z,0.3339407861232757,0.4002123355865479,2,6546,6200,0.036242686,0.008851719,0.0008698245,45.0,7,31,0.0030974932
z,0.3339407861232757,0.4002123355865479,2,8730,8072,0.052285723,0.007704156,0.0012548574,75.0,8,32,-0.0019957274
z,0.3339407861232757,0.4002123355865479,2,11433,10876,0.03333445,0.0066914232,0.00080002676,105.0,9,33,3.0811876e-05
z,0.3339407861232757,0.4002123355865479,2,8639,8524,0.008945875,0.0076328376,0.000214701,135.0,10,34,3.239885e-05
z,0.3339407861232757,0.4002123355865479,2,15558,15328,0.009942243,0.005689809,0.00023861384,165.0,11,35,-0.0025388072
z,0.4002123355865479,0.4736196458339691,3,16025,15928,0.0040530157,0.0055942335,9.727238e-05,-165.0,0,36,-0.0016535423
z,0.4002123355865479,0.4736196458339691,3,8427,8591,-0.012866295,0.0076649585,0.0003087911,-135.0,1,37,-0.0015669763
z,0.4002123355865479,0.4736196458339691,3,10357,10983,-0.039164998,0.00684021,0.00093995995,-105.0,2,38,0.0013582446
z,0.4002123355865479,0.4736196458339691,3,8507,9107,-0.045479055,0.0075269914,0.0010914974,-75.0,3,39,0.002008289
z,0.4002123355865479,0.4736196458339691,3,5316,5633,-0.03865476,0.009549663,0.0009277142,-45.0,4,40,-0.0012835674
z,0.4002123355865479,0.4736196458339691,3,2125,2196,-0.02193776,0.015209094,0.0005265062,-15.0,5,41,-0.0015150271
z,0.4002123355865479,0.4736196458339691,3,2122,2107,0.0047355643,0.015377166,0.00011365354,15.0,6,42,-5.3009484e-05
z,0.4002123355865479,0.4736196458339691,3,5669,5467,0.024218114,0.009473446,0.00058123475,45.0,7,43,0.0026083104
z,0.4002123355865479,0.4736196458339691,3,9117,8748,0.02757665,0.0074788234,0.0006618396,75.0,8,44,-0.0006081797
z,0.4002123355865479,0.4736196458339691,3,10852,10347,0.03180491,0.0068647154,0.00076331786,105.0,9,45,0.0016280673
z,0.4002123355865479,0.4736196458339691,3,8871,8794,0.0058196285,0.0075237756,0.00013967109,135.0,10,46,0.0022288016
z,0.4002123355865479,0.4736196458339691,3,16431,16075,0.014621928,0.005545897,0.00035092628,165.0,11,47,0.0039164964
z,0.4736196458339691,0.8590466380119324,4,15352,15473,-0.005240835,0.005695639,0.00012578003,-165.0,0,48,-0.0016360735
z,0.4736196458339691,0.8590466380119324,4,8510,8820,-0.023882585,0.007594109,0.000573182,-135.0,1,49,0.00073563494
z,0.4736196458339691,0.8590466380119324,4,8622,8788,-0.0127299735,0.0075781886,0.00030551938,-105.0,2,50,-0.0050387355
z,0.4736196458339691,0.8590466380119324,4,8725,9039,-0.02359973,0.007500818,0.00056639354,-75.0,3,51,-0.0022925735
z,0.4736196458339691,0.8590466380119324,4,4996,5242,-0.032080278,0.009877996,0.0007699267,-45.0,4,52,-0.0050635263
z,0.4736196458339691,0.8590466380119324,4,2249,2369,-0.03469329,0.014706574,0.00083263894,-15.0,5,53,-0.0013502687
z,0.4736196458339691,0.8590466380119324,4,2370,2270,0.028773997,0.014674427,0.0006905759,15.0,6,54,-0.0026054624
z,0.4736196458339691,0.8590466380119324,4,5298,5147,0.019301306,0.009782839,0.00046323135,45.0,7,55,-0.0009720307
z,0.4736196458339691,0.8590466380119324,4,9031,8636,0.02985056,0.0075201243,0.00071641343,75.0,8,56,-0.004612118
z,0.4736196458339691,0.8590466380119324,4,8608,8119,0.03903094,0.0077260924,0.0009367426,105.0,9,57,-0.0018523149
z,0.4736196458339691,0.8590466380119324,4,9569,9241,0.023281084,0.0072893347,0.00055874605,135.0,10,58,-0.0006453898
