axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,14199,14242,-0.0020185604,0.0059296177,4.844545e-05,-165.0,0,0,-0.005731196
x,0.10681463778018951,0.17718307673931125,0,6967,6927,0.0038437124,0.008483658,9.22491e-05,-135.0,1,1,-0.016916495
x,0.10681463778018951,0.17718307673931125,0,11354,11406,-0.003050347,0.0066284477,7.320833e-05,-105.0,2,2,-0.011118019
x,0.10681463778018951,0.17718307673931125,0,6751,6935,-0.017949793,0.008546568,0.00043079504,-75.0,3,3,0.00929895
x,0.10681463778018951,0.17718307673931125,0,6393,6778,-0.039026547,0.008706821,0.00093663717,-45.0,4,4,0.015672892
x,0.10681463778018951,0.17718307673931125,0,3023,3039,-0.003523889,0.012843676,8.457334e-05,-15.0,5,5,-0.022507865
x,0.10681463778018951,0.17718307673931125,0,3004,3052,-0.010582141,0.012849397,0.00025397138,15.0,6,6,0.021503314
x,0.10681463778018951,0.17718307673931125,0,6717,6529,0.018949218,0.008687196,0.00045478123,45.0,7,7,0.016205136
x,0.10681463778018951,0.17718307673931125,0,7090,6836,0.024351489,0.008471455,0.0005844357,75.0,8,8,0.009689752
x,0.10681463778018951,0.17718307673931125,0,11766,11180,0.034096424,0.0065977206,0.00081831415,105.0,9,9,0.00024407357
x,0.10681463778018951,0.17718307673931125,0,7004,6967,0.0035358386,0.008460257,8.486013e-05,135.0,10,10,-0.0030054003
x,0.10681463778018951,0.17718307673931125,0,14464,14173,0.013566995,0.005908759,0.0003256079,165.0,11,11,0.010590777
x,0.17718307673931125,0.22535382211208344,1,13944,14328,-0.01813397,0.005946348,0.00043521528,-165.0,0,12,0.0050380044
x,0.17718307673931125,0.22535382211208344,1,7513,7777,-0.02305232,0.008085015,0.00055325567,-135.0,1,13,0.0061177704
x,0.17718307673931125,0.22535382211208344,1,9866,10502,-0.041689523,0.0070008063,0.0010005486,-105.0,2,14,0.0030102804
x,0.17718307673931125,0.22535382211208344,1,7925,8333,-0.033505123,0.007838312,0.00080412294,-75.0,3,15,0.006229924
x,0.17718307673931125,0.22535382211208344,1,5459,5835,-0.044448618,0.009400408,0.0010667668,-45.0,4,16,0.009693284
x,0.17718307673931125,0.22535382211208344,1,2498,2692,-0.04990598,0.013863562,0.0011977435,-15.0,5,17,0.020582354
x,0.17718307673931125,0.22535382211208344,1,2602,2564,0.009820811,0.013912394,0.00023569948,15.0,6,18,-0.005624425
x,0.17718307673931125,0.22535382211208344,1,5907,5535,0.043406937,0.009339841,0.0010417665,45.0,7,19,-0.012865469
x,0.17718307673931125,0.22535382211208344,1,8032,7704,0.027829004,0.0079686465,0.0006678961,75.0,8,20,0.007922394
x,0.17718307673931125,0.22535382211208344,1,10403,10020,0.025037872,0.006995263,0.00060090894,105.0,9,21,0.0019877162
x,0.17718307673931125,0.22535382211208344,1,7683,7513,0.014936121,0.008111234,0.0003584669,135.0,10,22,-0.00059219357
x,0.17718307673931125,0.22535382211208344,1,14295,14073,0.010448223,0.00593693,0.00025075735,165.0,11,23,0.0025201635
x,0.22535382211208344,0.2737313747406006,2,13896,14184,-0.013693471,0.0059670643,0.0003286433,-165.0,0,24,0.0025249468
x,0.22535382211208344,0.2737313747406006,2,7905,8278,-0.030772867,0.007857145,0.0007385488,-135.0,1,25,0.008514687
x,0.22535382211208344,0.2737313747406006,2,9214,9631,-0.029543238,0.007281357,0.0007090377,-105.0,2,26,-0.0084183235
x,0.22535382211208344,0.2737313747406006,2,7940,8331,-0.032083422,0.007835546,0.00077000214,-75.0,3,27,0.00082200393
x,0.22535382211208344,0.2737313747406006,2,5314,5623,-0.037720587,0.009555243,0.0009052941,-45.0,4,28,0.0042588264
x,0.22535382211208344,0.2737313747406006,2,2622,2584,0.009745354,0.013858854,0.0002338885,-15.0,5,29,-0.0007228302
x,0.22535382211208344,0.2737313747406006,2,2603,2481,0.03203852,0.014017618,0.00076892454,15.0,6,30,-0.01611181
x,0.22535382211208344,0.2737313747406006,2,5563,5498,0.0078457985,0.009508005,0.00018829916,45.0,7,31,-0.0038744826
x,0.22535382211208344,0.2737313747406006,2,8586,8062,0.042023033,0.007743462,0.0010085528,75.0,8,32,0.004357163
x,0.22535382211208344,0.2737313747406006,2,9563,9104,0.0328289,0.0073152403,0.0007878936,105.0,9,33,0.0018139668
x,0.22535382211208344,0.2737313747406006,2,8283,8090,0.015737915,0.007814156,0.00037770998,135.0,10,34,0.008417223
x,0.22535382211208344,0.2737313747406006,2,14207,14169,0.0017879304,0.005936408,4.291033e-05,165.0,11,35,-0.0028611727
x,0.2737313747406006,0.33397098183631896,3,13950,14332,-0.018033143,0.005945307,0.00043279544,-165.0,0,36,-0.0027098842
x,0.2737313747406006,0.33397098183631896,3,8722,8985,-0.019830285,0.007513497,0.00047592685,-135.0,1,37,0.0065969406
x,0.2737313747406006,0.33397098183631896,3,8960,9414,-0.03298909,0.0073732967,0.0007917381,-105.0,2,38,-0.0039557144
x,0.2737313747406006,0.33397098183631896,3,8530,9405,-0.06513657,0.007451197,0.0015632776,-75.0,3,39,0.008652382
x,0.2737313747406006,0.33397098183631896,3,5664,5801,-0.01595382,0.009338083,0.00038289168,-45.0,4,40,0.003148267
x,0.2737313747406006,0.33397098183631896,3,2828,2803,0.0059275148,0.013325994,0.00014226035,-15.0,5,41,-0.0145970825
x,0.2737313747406006,0.33397098183631896,3,2823,2705,0.028499167,0.013444342,0.00068398,15.0,6,42,0.0035959557
x,0.2737313747406006,0.33397098183631896,3,6014,5690,0.036959738,0.009237108,0.0008870337,45.0,7,43,-3.6761165e-05
x,0.2737313747406006,0.33397098183631896,3,9200,8654,0.040829618,0.0074777324,0.0009799108,75.0,8,44,0.006116912
x,0.2737313747406006,0.33397098183631896,3,9204,8936,0.019724939,0.007423297,0.00047339854,105.0,9,45,-0.0052434
x,0.2737313747406006,0.33397098183631896,3,8974,8733,0.018171476,0.0075137336,0.00043611543,135.0,10,46,-0.004402984
x,0.2737313747406006,0.33397098183631896,3,14410,14103,0.014375191,0.0059215263,0.00034500458,165.0,11,47,-0.004250235
x,0.33397098183631896,0.6021702885627747,4,15369,15113,0.0112128155,0.005727314,0.00026910758,-165.0,0,48,-0.00785028
x,0.33397098183631896,0.6021702885627747,4,9682,10097,-0.028013151,0.007107672,0.00067231565,-135.0,1,49,-0.0053488836
x,0.33397098183631896,0.6021702885627747,4,9226,9773,-0.038439237,0.0072495914,0.00092254166,-105.0,2,50,-0.007653624
x,0.33397098183631896,0.6021702885627747,4,9312,10041,-0.050291825,0.007179198,0.0012070038,-75.0,3,51,-0.0016045682
x,0.33397098183631896,0.6021702885627747,4,6243,6624,-0.03953355,0.008808901,0.00094880525,-45.0,4,52,-0.0068172403
x,0.33397098183631896,0.6021702885627747,4,3060,3251,-0.0404067,0.0125775505,0.0009697608,-15.0,5,53,0.019800447
x,0.33397098183631896,0.6021702885627747,4,3013,3035,-0.0048565636,0.012858461,0.00011655753,15.0,6,54,0.0103024505
x,0.33397098183631896,0.6021702885627747,4,6666,6268,0.04108359,0.008785506,0.0009860061,45.0,7,55,0.0030697696
x,0.33397098183631896,0.6021702885627747,4,9652,9445,0.014471827,0.0072355564,0.00034732386,75.0,8,56,0.014426734
x,0.33397098183631896,0.6021702885627747,4,9851,9187,0.04656557,0.0072396565,0.0011175737,105.0,9,57,-0.0033907928
x,0.33397098183631896,0.6021702885627747,4,10159,9875,0.018926436,0.0070637995,0.00045423448,135.0,10,58,0.0059816204
x,0.33397098183631896,0.6021702885627747,4,15261,15116,0.006372961,0.0057374476,0.00015295108,165.0,11,59,0.005753954
z,0.12744246423244476,0.2507466971874237,0,14575,14703,-0.0058369604,0.005844157,0.00014008705,-165.0,0,0,-0.0010286076
