axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.17718307673931125,0,12636,12727,-0.0047902586,0.006279061,0.000114966206,-165.0,0,0,-0.0029594982
x,0.10681463778018951,0.17718307673931125,0,5925,5928,-0.00033791785,0.009185141,8.110029e-06,-135.0,1,1,-0.012734864
x,0.10681463778018951,0.17718307673931125,0,9700,9738,-0.0026100583,0.007172536,6.26414e-05,-105.0,2,2,-0.011558307
x,0.10681463778018951,0.17718307673931125,0,5859,5991,-0.01487215,0.009185288,0.0003569316,-75.0,3,3,0.0062213065
x,0.10681463778018951,0.17718307673931125,0,5490,5893,-0.04726792,0.009362373,0.0011344302,-45.0,4,4,0.023914266
x,0.10681463778018951,0.17718307673931125,0,2647,2663,-0.0040229405,0.013723005,9.6550575e-05,-15.0,5,5,-0.022008812
x,0.10681463778018951,0.17718307673931125,0,2643,2708,-0.016217973,0.013668643,0.00038923137,15.0,6,6,0.027139146
x,0.10681463778018951,0.17718307673931125,0,5904,5774,0.01486254,0.009252685,0.00035670097,45.0,7,7,0.020291813
x,0.10681463778018951,0.17718307673931125,0,5940,5635,0.035180096,0.009289035,0.0008443223,75.0,8,8,-0.0011388548
x,0.10681463778018951,0.17718307673931125,0,10454,9902,0.03620469,0.007004368,0.00086891255,105.0,9,9,-0.0018641911
x,0.10681463778018951,0.17718307673931125,0,5923,5902,0.002371026,0.009195984,5.6904624e-05,135.0,10,10,-0.0018405876
x,0.10681463778018951,0.17718307673931125,0,12229,11941,0.015908675,0.0064314175,0.0003818082,165.0,11,11,0.008249097
x,0.17718307673931125,0.22535382211208344,1,12521,12882,-0.01897319,0.0062730582,0.00045535658,-165.0,0,12,0.0058772247
x,0.17718307673931125,0.22535382211208344,1,6779,7072,-0.0282426,0.00849349,0.0006778224,-135.0,1,13,0.01130805
x,0.17718307673931125,0.22535382211208344,1,8690,9274,-0.043403823,0.0074539934,0.0010416918,-105.0,2,14,0.004724581
x,0.17718307673931125,0.22535382211208344,1,7055,7443,-0.035730723,0.008299817,0.0008575374,-75.0,3,15,0.008455524
x,0.17718307673931125,0.22535382211208344,1,4879,5201,-0.04264946,0.009951176,0.0010235871,-45.0,4,16,0.007894125
x,0.17718307673931125,0.22535382211208344,1,2245,2410,-0.047324106,0.014640412,0.0011357786,-15.0,5,17,0.018000482
x,0.17718307673931125,0.22535382211208344,1,2272,2288,-0.004684609,0.01480856,0.000112430615,15.0,6,18,0.008880995
x,0.17718307673931125,0.22535382211208344,1,5309,4999,0.04015184,0.009841526,0.0009636441,45.0,7,19,-0.00961037
x,0.17718307673931125,0.22535382211208344,1,7045,6791,0.024509888,0.008498929,0.0005882373,75.0,8,20,0.0112415105
x,0.17718307673931125,0.22535382211208344,1,9477,9123,0.025410224,0.0073299883,0.0006098454,105.0,9,21,0.0016153641
x,0.17718307673931125,0.22535382211208344,1,6626,6559,0.006784422,0.008708633,0.00016282612,135.0,10,22,0.0075595058
x,0.17718307673931125,0.22535382211208344,1,12619,12457,0.008625315,0.006314729,0.00020700756,165.0,11,23,0.004343072
x,0.22535382211208344,0.2737313747406006,2,12661,12933,-0.014188905,0.0062501035,0.00034053373,-165.0,0,24,0.0030203806
x,0.22535382211208344,0.2737313747406006,2,7279,7612,-0.029856475,0.008191141,0.0007165554,-135.0,1,25,0.007598296
x,0.22535382211208344,0.2737313747406006,2,8253,8680,-0.033667598,0.007680452,0.00080802233,-105.0,2,26,-0.0042939633
x,0.22535382211208344,0.2737313747406006,2,7174,7509,-0.030461283,0.008248804,0.0007310708,-75.0,3,27,-0.0008001346
x,0.22535382211208344,0.2737313747406006,2,4779,5043,-0.035885762,0.010083707,0.0008612583,-45.0,4,28,0.0024240017
x,0.22535382211208344,0.2737313747406006,2,2379,2327,0.014752636,0.014575611,0.00035406326,-15.0,5,29,-0.005730112
x,0.22535382211208344,0.2737313747406006,2,2314,2204,0.032506082,0.014869533,0.000780146,15.0,6,30,-0.016579371
x,0.22535382211208344,0.2737313747406006,2,5024,4932,0.012337328,0.01002131,0.00029609588,45.0,7,31,-0.008366012
x,0.22535382211208344,0.2737313747406006,2,7713,7277,0.038833186,0.008161528,0.00093199644,75.0,8,32,0.0075470097
x,0.22535382211208344,0.2737313747406006,2,8751,8350,0.03130697,0.007643219,0.0007513673,105.0,9,33,0.0033358969
x,0.22535382211208344,0.2737313747406006,2,7291,7051,0.02234188,0.008348082,0.00053620513,135.0,10,34,0.001813259
