axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.1802220493555069,0,10047,9991,0.0037312284,0.0070643104,8.954948e-05,-165.0,0,0,0.0010784045
x,0.10681463778018951,0.1802220493555069,0,5200,5180,0.002572473,0.009815216,6.173935e-05,-135.0,1,1,4.950934e-05
x,0.10681463778018951,0.1802220493555069,0,8151,8240,-0.007249411,0.007810626,0.00017398587,-105.0,2,2,0.002035094
x,0.10681463778018951,0.1802220493555069,0,5058,5146,-0.011514111,0.009898879,0.0002763387,-75.0,3,3,0.002194413
x,0.10681463778018951,0.1802220493555069,0,4892,5191,-0.039591286,0.009950948,0.0009501909,-45.0,4,4,0.00032324344
x,0.10681463778018951,0.1802220493555069,0,2419,2471,-0.014197525,0.014298872,0.0003407406,-15.0,5,5,0.004767974
x,0.10681463778018951,0.1802220493555069,0,2478,2459,0.0051381723,0.014231894,0.00012331613,15.0,6,6,-0.002114444
x,0.10681463778018951,0.1802220493555069,0,5208,4947,0.034314588,0.009917545,0.0008235501,45.0,7,7,0.00011143461
x,0.10681463778018951,0.1802220493555069,0,5213,4969,0.03199447,0.00990515,0.00076786726,75.0,8,8,-0.002770098
x,0.10681463778018951,0.1802220493555069,0,8427,8148,0.022473402,0.0077653946,0.0005393617,105.0,9,9,0.0003693439
x,0.10681463778018951,0.1802220493555069,0,5204,5255,-0.006510258,0.009777903,0.0001562462,135.0,10,10,0.0008090753
x,0.10681463778018951,0.1802220493555069,0,10225,9973,0.01665752,0.0070353476,0.0003997805,165.0,11,11,0.0002579447
x,0.1802220493555069,0.23013362586498262,1,10145,10332,-0.012192519,0.006987705,0.00029262048,-165.0,0,12,0.00096863974
x,0.1802220493555069,0.23013362586498262,1,5658,5838,-0.0209047,0.009324632,0.0005017128,-135.0,1,13,-0.0032974612
x,0.1802220493555069,0.23013362586498262,1,7375,7735,-0.031809453,0.008131075,0.0007634269,-105.0,2,14,5.7239085e-05
x,0.1802220493555069,0.23013362586498262,1,5796,6166,-0.041296773,0.009135397,0.0009911226,-75.0,3,15,-0.0012011081
x,0.1802220493555069,0.23013362586498262,1,4323,4641,-0.047363464,0.010550217,0.0011367231,-45.0,4,16,0.00061790645
x,0.1802220493555069,0.23013362586498262,1,2077,2232,-0.048025668,0.015216344,0.001152616,-15.0,5,17,-0.003469769
x,0.1802220493555069,0.23013362586498262,1,2110,2156,-0.014396441,0.01530892,0.0003455146,15.0,6,18,0.0023569744
x,0.1802220493555069,0.23013362586498262,1,4625,4342,0.0421364,0.010550925,0.0010112736,45.0,7,19,-0.0008100234
x,0.1802220493555069,0.23013362586498262,1,5878,5541,0.039402157,0.009350795,0.0009456518,75.0,8,20,-0.0012695901
x,0.1802220493555069,0.23013362586498262,1,7730,7406,0.028579332,0.008124881,0.000685904,105.0,9,21,0.0005380735
x,0.1802220493555069,0.23013362586498262,1,5712,5611,0.011909075,0.009396983,0.0002858178,135.0,10,22,-0.0013926066
x,0.1802220493555069,0.23013362586498262,1,10288,10200,0.005734576,0.0069862334,0.00013762982,165.0,11,23,0.00073438045
x,0.23013362586498262,0.28005699515342714,2,10183,10248,-0.0042475834,0.0069960235,0.000101942,-165.0,0,24,-0.00018273713
x,0.23013362586498262,0.28005699515342714,2,5912,6203,-0.032069173,0.0090806065,0.00076966017,-135.0,1,25,-0.0022961088
x,0.23013362586498262,0.28005699515342714,2,6830,7307,-0.045048393,0.008401954,0.0010811614,-105.0,2,26,0.00026391074
x,0.23013362586498262,0.28005699515342714,2,5822,6205,-0.04251671,0.009110211,0.001020401,-75.0,3,27,0.0014726259
x,0.23013362586498262,0.28005699515342714,2,4175,4449,-0.04241896,0.01075857,0.001018055,-45.0,4,28,5.930662e-05
x,0.23013362586498262,0.28005699515342714,2,2141,2061,0.025418628,0.015421678,0.0006100471,-15.0,5,29,0.0012772102
x,0.23013362586498262,0.28005699515342714,2,2131,1964,0.054447852,0.015603727,0.0013067485,15.0,6,30,0.0020212047
x,0.23013362586498262,0.28005699515342714,2,4442,4330,0.017046593,0.010675484,0.00040911825,45.0,7,31,-0.0011725668
x,0.23013362586498262,0.28005699515342714,2,6489,6180,0.032563742,0.008879703,0.0007815298,75.0,8,32,-0.0009785779
x,0.23013362586498262,0.28005699515342714,2,7119,6903,0.020566575,0.008443124,0.0004935978,105.0,9,33,0.0015006196
x,0.23013362586498262,0.28005699515342714,2,6177,5979,0.021746665,0.0090678,0.00052192,135.0,10,34,-0.00018748268
x,0.23013362586498262,0.28005699515342714,2,10283,10249,0.0022108834,0.006978841,5.30612e-05,165.0,11,35,-0.001816657
x,0.28005699515342714,0.34023777246475223,3,9855,10144,-0.019293355,0.007069928,0.00046304052,-165.0,0,36,-0.0004786048
x,0.28005699515342714,0.34023777246475223,3,6184,6417,-0.024687042,0.008905639,0.000592489,-135.0,1,37,-0.0012312513
x,0.28005699515342714,0.34023777246475223,3,6560,6884,-0.032176193,0.00862007,0.00077222864,-105.0,2,38,0.00026352704
x,0.28005699515342714,0.34023777246475223,3,6138,6784,-0.06674534,0.008777394,0.0016018882,-75.0,3,39,-0.00034473836
x,0.28005699515342714,0.34023777246475223,3,4244,4324,-0.012466046,0.010802556,0.0002991851,-45.0,4,40,-0.0029998068
x,0.28005699515342714,0.34023777246475223,3,2161,2206,-0.013757753,0.015130988,0.00033018607,-15.0,5,41,-0.0010768408
x,0.28005699515342714,0.34023777246475223,3,2158,2071,0.027466275,0.015371537,0.0006591906,15.0,6,42,0.0016344022
x,0.28005699515342714,0.34023777246475223,3,4491,4199,0.044862274,0.010716492,0.0010766946,45.0,7,43,0.00027749687
x,0.28005699515342714,0.34023777246475223,3,6646,6230,0.04313507,0.0088045085,0.0010352416,75.0,8,44,0.0003590919
x,0.28005699515342714,0.34023777246475223,3,6653,6467,0.018927677,0.008728814,0.00045426426,105.0,9,45,-0.00029722974
x,0.28005699515342714,0.34023777246475223,3,6381,6305,0.007998472,0.008878176,0.00019196334,135.0,10,46,0.0009306306
x,0.28005699515342714,0.34023777246475223,3,10251,9930,0.021236382,0.007037699,0.0005096732,165.0,11,47,-0.0011675358
x,0.34023777246475223,0.6005192399024963,4,9906,9876,0.0020247397,0.0071099084,4.8593753e-05,-165.0,0,48,0.0015217406
x,0.34023777246475223,0.6005192399024963,4,6374,6645,-0.027791362,0.008760792,0.0006669927,-135.0,1,49,0.00036248565
x,0.34023777246475223,0.6005192399024963,4,6127,6619,-0.051535837,0.008845768,0.0012368601,-105.0,2,50,-0.002029609
x,0.34023777246475223,0.6005192399024963,4,6251,6769,-0.053117417,0.00875147,0.001274818,-75.0,3,51,-0.0015230104
x,0.34023777246475223,0.6005192399024963,4,4291,4617,-0.048860237,0.0105825635,0.0011726457,-45.0,4,52,0.0001755394
x,0.34023777246475223,0.6005192399024963,4,2192,2235,-0.012968122,0.015028261,0.00031123494,-15.0,5,53,-0.0016499078
x,0.34023777246475223,0.6005192399024963,4,2113,2184,-0.022060288,0.015251467,0.00052944693,15.0,6,54,9.086169e-05
x,0.34023777246475223,0.6005192399024963,4,4548,4257,0.044124704,0.010646629,0.0010589929,45.0,7,55,-0.0006117113
x,0.34023777246475223,0.6005192399024963,4,6445,6228,0.022861172,0.008880691,0.00054866815,75.0,8,56,-0.002664391
x,0.34023777246475223,0.6005192399024963,4,6699,6167,0.055205997,0.008802691,0.001324944,105.0,9,57,0.00058978796
x,0.34023777246475223,0.6005192399024963,4,6637,6445,0.019594999,0.00874137,0.00047027998,135.0,10,58,9.5115975e-05
x,0.34023777246475223,0.6005192399024963,4,10034,9841,0.012964875,0.007092673,0.00031115703,165.0,11,59,0.0004690336
z,0.1212601587176323,0.2359100252389908,0,12186,12250,-0.0034967777,0.0063970876,8.392266e-05,-165.0,0,0,-4.6693254e-05
z,0.1212601587176323,0.2359100252389908,0,7848,8127,-0.023317475,0.007909726,0.0005596194,-135.0,1,1,0.001224203
z,0.1212601587176323,0.2359100252389908,0,9055,9368,-0.022683088,0.0073655993,0.00054439413,-105.0,2,2,-0.00015069544
z,0.1212601587176323,0.2359100252389908,0,6581,6677,-0.0096674375,0.008684417,0.0002320185,-75.0,3,3,-0.0014491593
z,0.1212601587176323,0.2359100252389908,0,6579,6727,-0.014850202,0.008668188,0.00035640484,-45.0,4,4,0.0020321365
z,0.1212601587176323,0.2359100252389908,0,5236,5134,0.013132264,0.009819134,0.00031517434,-15.0,5,5,0.0023999
z,0.1212601587176323,0.2359100252389908,0,4977,4836,0.019183837,0.010092975,0.0004604121,15.0,6,6,-0.00011868216
z,0.1212601587176323,0.2359100252389908,0,6613,6205,0.042496983,0.0088246465,0.0010199276,45.0,7,7,-0.0013613962
z,0.1212601587176323,0.2359100252389908,0,6536,6235,0.03146732,0.008844483,0.00075521565,75.0,8,8,0.0005533509
z,0.1212601587176323,0.2359100252389908,0,9129,8863,0.019738782,0.0074537643,0.0004737308,105.0,9,9,-0.0022101048
z,0.1212601587176323,0.2359100252389908,0,7607,7427,0.015985128,0.008154686,0.00038364306,135.0,10,10,-0.0017511239
z,0.1212601587176323,0.2359100252389908,0,12845,12839,0.00031189382,0.006239771,7.4854515e-06,165.0,11,11,-0.0016819977
