axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.1802220493555069,0,9568,9500,0.0047612605,0.007241733,0.00011427025,-165.0,0,0,4.837243e-05
x,0.10681463778018951,0.1802220493555069,0,4932,4909,0.0031203749,0.010080412,7.4888994e-05,-135.0,1,1,-0.0004983926
x,0.10681463778018951,0.1802220493555069,0,7775,7812,-0.0031692563,0.008009706,7.606215e-05,-105.0,2,2,-0.002045061
x,0.10681463778018951,0.1802220493555069,0,4816,4893,-0.010588499,0.010148185,0.00025412397,-75.0,3,3,0.0012688003
x,0.10681463778018951,0.1802220493555069,0,4642,4941,-0.04165699,0.010206389,0.0009997678,-45.0,4,4,0.0023889467
x,0.10681463778018951,0.1802220493555069,0,2321,2334,-0.003728566,0.014656732,8.9485584e-05,-15.0,5,5,-0.005700985
x,0.10681463778018951,0.1802220493555069,0,2360,2337,0.006537707,0.014590845,0.00015690496,15.0,6,6,-0.0035139788
x,0.10681463778018951,0.1802220493555069,0,4927,4683,0.033898823,0.010195033,0.00081357174,45.0,7,7,0.00052719936
x,0.10681463778018951,0.1802220493555069,0,4937,4743,0.02675744,0.010160306,0.0006421786,75.0,8,8,0.002466932
x,0.10681463778018951,0.1802220493555069,0,8016,7753,0.022267412,0.007961415,0.0005344179,105.0,9,9,0.00057533383
x,0.10681463778018951,0.1802220493555069,0,4965,5013,-0.0064226747,0.0100108115,0.00015414419,135.0,10,10,0.0007214919
x,0.10681463778018951,0.1802220493555069,0,9746,9450,0.020587288,0.0072161006,0.0004940949,165.0,11,11,-0.003671823
x,0.1802220493555069,0.23013362586498262,1,9712,9877,-0.011245787,0.00714441,0.00026989888,-165.0,0,12,2.1907501e-05
x,0.1802220493555069,0.23013362586498262,1,5417,5618,-0.024318786,0.009516678,0.0005836509,-135.0,1,13,0.0001166258
x,0.1802220493555069,0.23013362586498262,1,7050,7434,-0.035396546,0.008303926,0.0008495171,-105.0,2,14,0.0036443323
x,0.1802220493555069,0.23013362586498262,1,5517,5900,-0.04478834,0.009349491,0.0010749202,-75.0,3,15,0.0022904575
x,0.1802220493555069,0.23013362586498262,1,4153,4431,-0.043238763,0.010783228,0.0010377304,-45.0,4,16,-0.0035067946
