axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,shift
x,0,0.13496745675802233,0.10672914981842041,18332,18390,-165.0,0,0.005218382,5.060939e-05,0.0021087246,0,-0.0013448899
x,0,0.13496745675802233,0.10672914981842041,6938,6836,-135.0,1,0.008520179,0.00023728458,-0.009886857,1,0.0011377521
x,0,0.13496745675802233,0.10672914981842041,14600,14327,-105.0,2,0.0058791405,0.0003024048,-0.0126002,2,0.0018722862
x,0,0.13496745675802233,0.10672914981842041,5836,5695,-75.0,3,0.009311263,0.0003918155,-0.016325645,3,0.0051567424
x,0,0.13496745675802233,0.10672914981842041,6912,6698,-45.0,4,0.00856989,0.00050383125,-0.020992968,4,-0.0022701565
x,0,0.13496745675802233,0.10672914981842041,3254,3219,-15.0,5,0.0124289915,0.00017325742,-0.007219059,5,-0.003029819
x,0,0.13496745675802233,0.10672914981842041,3509,3362,15.0,6,0.012059041,0.00068553054,-0.028563771,6,0.0075005386
x,0,0.13496745675802233,0.10672914981842041,6899,7050,45.0,7,0.008466095,0.00034686725,0.014452802,7,-0.0031933608
x,0,0.13496745675802233,0.10672914981842041,5729,5877,75.0,8,0.009281022,0.0004086096,0.0170254,8,0.0031483117
x,0,0.13496745675802233,0.10672914981842041,14368,14872,105.0,9,0.0058465046,0.0005523096,0.0230129,9,0.0025569275
x,0,0.13496745675802233,0.10672914981842041,6991,6966,135.0,10,0.008464527,5.7395435e-05,-0.0023914764,10,0.00019466272
x,0,0.13496745675802233,0.10672914981842041,18053,18281,165.0,11,0.0052459985,0.00020107176,0.00837799,11,-0.003716675
x,1,0.15212603509426117,0.13496745675802233,19163,19006,-165.0,0,0.0051184455,0.00013180089,-0.0054917033,12,0.0012278813
x,1,0.15212603509426117,0.13496745675802233,7591,7360,-135.0,1,0.008176595,0.0004950752,-0.020628132,13,0.0008273609
x,1,0.15212603509426117,0.13496745675802233,13905,13780,-105.0,2,0.006009936,0.00014467548,-0.0060281446,14,0.0004618587
x,1,0.15212603509426117,0.13496745675802233,7022,7031,-75.0,3,0.008435587,2.0521205e-05,0.0008550502,15,-0.0012098505
x,1,0.15212603509426117,0.13496745675802233,6187,5942,-45.0,4,0.009076732,0.0006472477,-0.026968654,16,-0.004663069
x,1,0.15212603509426117,0.13496745675802233,2343,2350,-15.0,5,0.014597344,4.779439e-05,0.0019914329,17,0.0017922895
x,1,0.15212603509426117,0.13496745675802233,2356,2380,15.0,6,0.014530622,0.00016237865,0.0067657772,18,-0.00058842683
x,1,0.15212603509426117,0.13496745675802233,6243,6380,45.0,7,0.008899653,0.00034776624,0.01449026,19,-0.002836517
x,1,0.15212603509426117,0.13496745675802233,6948,6840,75.0,8,0.008515803,0.0002509874,-0.010457807,20,0.0014452953
x,1,0.15212603509426117,0.13496745675802233,13621,14326,105.0,9,0.0059784134,0.00080832,0.03368,21,-0.0011229962
x,1,0.15212603509426117,0.13496745675802233,7548,7585,135.0,10,0.008128963,7.834407e-05,0.0032643361,22,-0.0013206935
x,1,0.15212603509426117,0.13496745675802233,18666,18981,165.0,11,0.0051535643,0.0002681079,0.011171162,23,-0.0017848769
x,2,0.16854384988546373,0.15212603509426117,19370,19214,-165.0,0,0.005090847,0.00012955279,-0.0053980327,24,-0.0008139722
x,2,0.16854384988546373,0.15212603509426117,8057,7997,-135.0,1,0.007892289,0.00011975604,-0.004989835,25,0.0041244617
x,2,0.16854384988546373,0.15212603509426117,13100,13160,-105.0,2,0.00617093,7.321262e-05,0.003050526,26,0.00011114287
x,2,0.16854384988546373,0.15212603509426117,7704,7375,-75.0,3,0.008140094,0.00069912174,-0.029130071,27,0.0003973581
