axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.1802220493555069,0,9077,9058,0.0013987955,0.007425758,3.3571094e-05,-165.0,0,0,0.0034108374
x,0.10681463778018951,0.1802220493555069,0,4725,4743,-0.0025382384,0.010277074,6.0917722e-05,-135.0,1,1,0.005160221
x,0.10681463778018951,0.1802220493555069,0,7398,7471,-0.0065547973,0.008200679,0.00015731514,-105.0,2,2,0.00134048
x,0.10681463778018951,0.1802220493555069,0,4583,4658,-0.010835787,0.010401956,0.0002600589,-75.0,3,3,0.0015160888
x,0.10681463778018951,0.1802220493555069,0,4487,4770,-0.040816367,0.010384912,0.0009795928,-45.0,4,4,0.0015483238
x,0.10681463778018951,0.1802220493555069,0,2254,2268,-0.0041334783,0.014870686,9.920348e-05,-15.0,5,5,-0.0052960725
x,0.10681463778018951,0.1802220493555069,0,2282,2278,0.0011711522,0.014808712,2.8107654e-05,15.0,6,6,0.001852576
x,0.10681463778018951,0.1802220493555069,0,4763,4519,0.035096712,0.010373172,0.0008423211,45.0,7,7,-0.0006706901
x,0.10681463778018951,0.1802220493555069,0,4681,4538,0.020709537,0.010412738,0.0004970289,75.0,8,8,0.008514835
x,0.10681463778018951,0.1802220493555069,0,7603,7363,0.021410344,0.008172361,0.00051384827,105.0,9,9,0.0014324021
x,0.10681463778018951,0.1802220493555069,0,4758,4807,-0.0068395776,0.010224625,0.00016414987,135.0,10,10,0.0011383947
x,0.10681463778018951,0.1802220493555069,0,9243,9032,0.01541499,0.0073963883,0.00036995974,165.0,11,11,0.0015004752
x,0.1802220493555069,0.23013362586498262,1,9330,9485,-0.010998809,0.007289901,0.00026397142,-165.0,0,12,-0.00022507086
x,0.1802220493555069,0.23013362586498262,1,5182,5380,-0.025028637,0.009727268,0.0006006873,-135.0,1,13,0.00082647614
x,0.1802220493555069,0.23013362586498262,1,6847,7094,-0.023654904,0.008467038,0.0005677177,-105.0,2,14,-0.00809731
x,0.1802220493555069,0.23013362586498262,1,5276,5687,-0.050053053,0.009538731,0.0012012733,-75.0,3,15,0.007555172
x,0.1802220493555069,0.23013362586498262,1,4050,4316,-0.042450417,0.010923188,0.00101881,-45.0,4,16,-0.0042951405
x,0.1802220493555069,0.23013362586498262,1,1933,2102,-0.055919252,0.015718032,0.001342062,-15.0,5,17,0.0044238158
x,0.1802220493555069,0.23013362586498262,1,2000,2022,-0.0073029576,0.015767666,0.00017527098,15.0,6,18,-0.004736509
x,0.1802220493555069,0.23013362586498262,1,4277,4040,0.038045194,0.010957263,0.00091308466,45.0,7,19,0.0032811835
x,0.1802220493555069,0.23013362586498262,1,5375,5081,0.037540488,0.009772619,0.0009009717,75.0,8,20,0.000592079
x,0.1802220493555069,0.23013362586498262,1,7131,6815,0.030252105,0.008464013,0.0007260505,105.0,9,21,-0.0011346992
x,0.1802220493555069,0.23013362586498262,1,5292,5162,0.016602712,0.009779099,0.00039846508,135.0,10,22,-0.0060862433
x,0.1802220493555069,0.23013362586498262,1,9459,9355,0.0073802383,0.007290337,0.00017712572,165.0,11,23,-0.0009112819
x,0.23013362586498262,0.28005699515342714,2,9413,9448,-0.0024775448,0.0072814235,5.9461076e-05,-165.0,0,24,-0.0019527758
x,0.23013362586498262,0.28005699515342714,2,5449,5707,-0.030876594,0.009463213,0.00074103824,-135.0,1,25,-0.0034886878
x,0.23013362586498262,0.28005699515342714,2,6275,6750,-0.048689358,0.008751767,0.0011685446,-105.0,2,26,0.0039048754
x,0.23013362586498262,0.28005699515342714,2,5407,5689,-0.033931326,0.0094878245,0.00081435184,-75.0,3,27,-0.0071127564
x,0.23013362586498262,0.28005699515342714,2,3883,4138,-0.04244532,0.011155632,0.0010186877,-45.0,4,28,8.5666776e-05
