axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,shift
x,0.10681463778018951,0.1802220493555069,0,9890,9819,0.004809633,0.007122996,0.00011543119,-165.0,0,0,0.0
x,0.10681463778018951,0.1802220493555069,0,5102,5082,0.0026219822,0.009909216,6.2927575e-05,-135.0,1,1,0.0
x,0.10681463778018951,0.1802220493555069,0,8034,8097,-0.0052143172,0.007873421,0.00012514362,-105.0,2,2,0.0
x,0.10681463778018951,0.1802220493555069,0,4979,5049,-0.009319698,0.009985596,0.00022367276,-75.0,3,3,0.0
x,0.10681463778018951,0.1802220493555069,0,4818,5110,-0.039268043,0.010028455,0.000942433,-45.0,4,4,0.0
x,0.10681463778018951,0.1802220493555069,0,2390,2424,-0.009429551,0.0144121125,0.00022630922,-15.0,5,5,0.0
x,0.10681463778018951,0.1802220493555069,0,2434,2423,0.0030237283,0.014348747,7.256948e-05,15.0,6,6,0.0
x,0.10681463778018951,0.1802220493555069,0,5112,4855,0.034426022,0.010010603,0.00082622457,45.0,7,7,0.0
x,0.10681463778018951,0.1802220493555069,0,5112,4893,0.029224372,0.009993231,0.0007013849,75.0,8,8,0.0
x,0.10681463778018951,0.1802220493555069,0,8293,8014,0.022842746,0.00782888,0.0005482259,105.0,9,9,0.0
x,0.10681463778018951,0.1802220493555069,0,5130,5174,-0.005701183,0.00985122,0.00013682838,135.0,10,10,0.0
x,0.10681463778018951,0.1802220493555069,0,10071,9819,0.016915465,0.007089579,0.00040597116,165.0,11,11,0.0
x,0.1802220493555069,0.23013362586498262,1,10026,10196,-0.01122388,0.007031704,0.00026937312,-165.0,0,12,0.0
x,0.1802220493555069,0.23013362586498262,1,5579,5785,-0.02420216,0.009377934,0.00058085186,-135.0,1,13,0.0
x,0.1802220493555069,0.23013362586498262,1,7286,7641,-0.031752214,0.008180779,0.0007620531,-105.0,2,14,0.0
x,0.1802220493555069,0.23013362586498262,1,5703,6078,-0.04249788,0.009204843,0.0010199491,-75.0,3,15,0.0
x,0.1802220493555069,0.23013362586498262,1,4272,4582,-0.046745557,0.010615861,0.0011218934,-45.0,4,16,0.0
x,0.1802220493555069,0.23013362586498262,1,2044,2208,-0.051495437,0.015315345,0.0012358904,-15.0,5,17,0.0
x,0.1802220493555069,0.23013362586498262,1,2088,2126,-0.012039467,0.015403565,0.0002889472,15.0,6,18,0.0
x,0.1802220493555069,0.23013362586498262,1,4563,4289,0.041326378,0.010619599,0.000991833,45.0,7,19,0.0
x,0.1802220493555069,0.23013362586498262,1,5798,5476,0.038132567,0.0094112,0.0009151816,75.0,8,20,0.0
x,0.1802220493555069,0.23013362586498262,1,7637,7311,0.029117405,0.008175688,0.0006988177,105.0,9,21,0.0
x,0.1802220493555069,0.23013362586498262,1,5630,5542,0.010516468,0.009460422,0.00025239526,135.0,10,22,0.0
x,0.1802220493555069,0.23013362586498262,1,10162,10064,0.0064689564,0.0070313048,0.00015525495,165.0,11,23,0.0
x,0.23013362586498262,0.28005699515342714,2,10062,10129,-0.0044303206,0.0070374743,0.000106327694,-165.0,0,24,0.0
x,0.23013362586498262,0.28005699515342714,2,5829,6137,-0.03436528,0.00913627,0.00082476676,-135.0,1,25,0.0
x,0.23013362586498262,0.28005699515342714,2,6742,7210,-0.044784483,0.008457574,0.0010748276,-105.0,2,26,0.0
x,0.23013362586498262,0.28005699515342714,2,5754,6119,-0.041044082,0.009169669,0.000985058,-75.0,3,27,0.0
x,0.23013362586498262,0.28005699515342714,2,4120,4390,-0.042359654,0.010830418,0.0010166317,-45.0,4,28,0.0
x,0.23013362586498262,0.28005699515342714,2,2117,2034,0.026695838,0.015515609,0.0006407001,-15.0,5,29,0.0
x,0.23013362586498262,0.28005699515342714,2,2107,1936,0.056469057,0.015701987,0.0013552574,15.0,6,30,0.0
x,0.23013362586498262,0.28005699515342714,2,4383,4280,0.015874026,0.010742642,0.00038097665,45.0,7,31,0.0
x,0.23013362586498262,0.28005699515342714,2,6404,6108,0.031585164,0.008935521,0.00075804396,75.0,8,32,0.0
x,0.23013362586498262,0.28005699515342714,2,7042,6813,0.022067195,0.008493584,0.0005296127,105.0,9,33,0.0
x,0.23013362586498262,0.28005699515342714,2,6104,5910,0.021559183,0.009121268,0.0005174204,135.0,10,34,0.0
x,0.23013362586498262,0.28005699515342714,2,10163,10157,0.0003942264,0.0070151687,9.461433e-06,165.0,11,35,0.0
x,0.28005699515342714,0.34023777246475223,3,9746,10039,-0.01977196,0.007107994,0.00047452704,-165.0,0,36,0.0
x,0.28005699515342714,0.34023777246475223,3,6112,6354,-0.025918294,0.008953452,0.0006220391,-135.0,1,37,0.0
x,0.28005699515342714,0.34023777246475223,3,6493,6811,-0.031912666,0.00866538,0.00076590397,-105.0,2,38,0.0
x,0.28005699515342714,0.34023777246475223,3,6067,6709,-0.06709008,0.008827199,0.001610162,-75.0,3,39,0.0
x,0.28005699515342714,0.34023777246475223,3,4181,4279,-0.015465853,0.010870834,0.00037118047,-45.0,4,40,0.0
x,0.28005699515342714,0.34023777246475223,3,2136,2184,-0.014834594,0.015212841,0.00035603027,-15.0,5,41,0.0
x,0.28005699515342714,0.34023777246475223,3,2133,2042,0.029100677,0.015469911,0.00069841626,15.0,6,42,0.0
x,0.28005699515342714,0.34023777246475223,3,4449,4158,0.04513977,0.010767904,0.0010833545,45.0,7,43,0.0
