,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
0,x,0,0.14328244030475618,0.10672914981842041,19617,19590,-165.0,0,0.0050503095,2.7582877e-05,-0.00091942924,0
1,x,0,0.14328244030475618,0.10672914981842041,7924,7709,-135.0,1,0.007996604,0.0005508528,-0.01836176,1
2,x,0,0.14328244030475618,0.10672914981842041,16498,16152,-105.0,2,0.0055336915,0.00042445568,-0.014148523,2
3,x,0,0.14328244030475618,0.10672914981842041,6793,6799,-75.0,3,0.008577451,1.7681019e-05,0.0005893673,3
4,x,0,0.14328244030475618,0.10672914981842041,7973,7443,-45.0,4,0.008045558,0.0013770306,-0.045901023,4
5,x,0,0.14328244030475618,0.10672914981842041,3494,3485,-15.0,5,0.011970238,5.1652187e-05,-0.0017217397,5
6,x,0,0.14328244030475618,0.10672914981842041,3620,3576,15.0,6,0.011787996,0.00024490684,-0.008163562,6
7,x,0,0.14328244030475618,0.10672914981842041,7734,7993,45.0,7,0.007972088,0.0006596192,0.021987308,7
8,x,0,0.14328244030475618,0.10672914981842041,6876,6974,75.0,8,0.008496807,0.00028341037,0.009447012,8
9,x,0,0.14328244030475618,0.10672914981842041,15901,16497,105.0,9,0.0055540507,0.0007368303,0.02456101,9
10,x,0,0.14328244030475618,0.10672914981842041,8043,8060,135.0,10,0.007880363,4.2284537e-05,0.0014094845,10
11,x,0,0.14328244030475618,0.10672914981842041,19856,19975,165.0,11,0.0050105564,0.00011966446,0.0039888155,11
0,x,1,0.16649549603462221,0.14328244030475618,20719,20305,-165.0,0,0.004936755,0.0004042051,-0.013473503,12
1,x,1,0.16649549603462221,0.14328244030475618,8902,8772,-135.0,1,0.007521624,0.00029461028,-0.009820343,13
2,x,1,0.16649549603462221,0.14328244030475618,15561,15148,-105.0,2,0.005705545,0.0005386713,-0.01795571,14
3,x,1,0.16649549603462221,0.14328244030475618,8688,8386,-75.0,3,0.0076508773,0.000708453,-0.023615101,15
4,x,1,0.16649549603462221,0.14328244030475618,6884,6519,-45.0,4,0.008632006,0.0010907627,-0.036358755,16
5,x,1,0.16649549603462221,0.14328244030475618,2509,2522,-15.0,5,0.014098413,0.000103497165,0.0034499057,17
6,x,1,0.16649549603462221,0.14328244030475618,2497,2566,15.0,6,0.014051547,0.00054585916,0.018195305,18
7,x,1,0.16649549603462221,0.14328244030475618,6854,6944,45.0,7,0.008512859,0.00026125571,0.008708524,19
8,x,1,0.16649549603462221,0.14328244030475618,8435,8501,75.0,8,0.0076840236,0.00015608908,0.0052029695,20
9,x,1,0.16649549603462221,0.14328244030475618,14990,15674,105.0,9,0.0057081175,0.0008934427,0.029781425,21
10,x,1,0.16649549603462221,0.14328244030475618,8921,8886,135.0,10,0.0074938177,7.872574e-05,-0.0026241913,22
11,x,1,0.16649549603462221,0.14328244030475618,20563,20861,165.0,11,0.0049130814,0.00028814006,0.009604669,23
0,x,2,0.18854448497295384,0.16649549603462221,21023,21102,-165.0,0,0.00487224,7.511499e-05,0.002503833,24
1,x,2,0.18854448497295384,0.16649549603462221,9707,9517,-135.0,1,0.0072117443,0.00039586695,-0.013195566,25
2,x,2,0.18854448497295384,0.16649549603462221,14949,14194,-105.0,2,0.0058542723,0.001037653,-0.034588434,26
3,x,2,0.18854448497295384,0.16649549603462221,9946,9399,-75.0,3,0.0071846554,0.0011325517,-0.037751723,27
4,x,2,0.18854448497295384,0.16649549603462221,6269,5977,-45.0,4,0.009031975,0.00095505425,-0.031835143,28
5,x,2,0.18854448497295384,0.16649549603462221,2281,2301,-15.0,5,0.014772877,0.00017482936,0.0058276453,29
6,x,2,0.18854448497295384,0.16649549603462221,2233,2274,15.0,6,0.014894441,0.00036436424,0.012145475,30
7,x,2,0.18854448497295384,0.16649549603462221,6105,6401,45.0,7,0.008937661,0.00094800955,0.03160032,31
8,x,2,0.18854448497295384,0.16649549603462221,9107,9701,75.0,8,0.0072852136,0.0012649789,0.042165965,32
9,x,2,0.18854448497295384,0.16649549603462221,14475,15220,105.0,9,0.0057998206,0.0010048758,0.03349586,33
10,x,2,0.18854448497295384,0.16649549603462221,9509,9902,135.0,10,0.0071749245,0.00081093126,0.027031044,34
11,x,2,0.18854448497295384,0.16649549603462221,20925,21444,165.0,11,0.004857556,0.00049063505,0.016354501,35
0,x,3,0.21073120534420015,0.18854448497295384,21682,21371,-165.0,0,0.004819235,0.00028933195,-0.0096443985,36
1,x,3,0.21073120534420015,0.18854448497295384,10354,10043,-135.0,1,0.007000464,0.00061070785,-0.020356929,37
2,x,3,0.21073120534420015,0.18854448497295384,14243,13704,-105.0,2,0.0059798234,0.0007724902,-0.025749674,38
3,x,3,0.21073120534420015,0.18854448497295384,10519,9893,-75.0,3,0.006993472,0.0012283671,-0.04094557,39
4,x,3,0.21073120534420015,0.18854448497295384,5948,5611,-45.0,4,0.00929417,0.0011677479,-0.03892493,40
5,x,3,0.21073120534420015,0.18854448497295384,2250,2189,-15.0,5,0.01500667,0.0005504072,-0.018346908,41
6,x,3,0.21073120534420015,0.18854448497295384,2209,2262,15.0,6,0.014953515,0.00047479995,0.015826665,42
7,x,3,0.21073120534420015,0.18854448497295384,5865,5985,45.0,7,0.009185465,0.00040560408,0.0135201365,43
8,x,3,0.21073120534420015,0.18854448497295384,9893,10276,75.0,8,0.007039117,0.00076059566,0.02535319,44
9,x,3,0.21073120534420015,0.18854448497295384,13800,13929,105.0,9,0.006005159,0.00018633521,0.0062111737,45
10,x,3,0.21073120534420015,0.18854448497295384,10195,10290,135.0,10,0.0069867256,0.00018574926,0.006191642,46
11,x,3,0.21073120534420015,0.18854448497295384,21061,21602,165.0,11,0.0048407433,0.0005079083,0.016930277,47
0,x,4,0.23393914103507996,0.21073120534420015,21668,21052,-165.0,0,0.0048373095,0.00057754904,-0.019251635,48
1,x,4,0.23393914103507996,0.21073120534420015,10837,10620,-135.0,1,0.006826151,0.00040507005,-0.013502335,49
2,x,4,0.23393914103507996,0.21073120534420015,13497,12866,-105.0,2,0.0061557465,0.0009586806,-0.03195602,50
3,x,4,0.23393914103507996,0.21073120534420015,11093,10409,-75.0,3,0.0068134726,0.0012741387,-0.04247129,51
4,x,4,0.23393914103507996,0.21073120534420015,5753,5553,-45.0,4,0.009402089,0.00070853357,-0.023617785,52
5,x,4,0.23393914103507996,0.21073120534420015,2232,2191,-15.0,5,0.015035167,0.00037128408,-0.012376136,53
6,x,4,0.23393914103507996,0.21073120534420015,2243,2243,15.0,6,0.014930363,0.0,0.0,54
7,x,4,0.23393914103507996,0.21073120534420015,5609,5789,45.0,7,0.0093645975,0.00063253316,0.021084439,55
8,x,4,0.23393914103507996,0.21073120534420015,10098,10780,75.0,8,0.006914203,0.001308383,0.043612767,56
9,x,4,0.23393914103507996,0.21073120534420015,13000,13695,105.0,9,0.0061167753,0.0010427838,0.034759462,57
10,x,4,0.23393914103507996,0.21073120534420015,10749,10921,135.0,10,0.006792758,0.00031791348,0.010597116,58
11,x,4,0.23393914103507996,0.21073120534420015,21070,21480,165.0,11,0.0048474604,0.00038594348,0.0128647825,59
0,x,5,0.2590043723583222,0.23393914103507996,21319,21033,-165.0,0,0.004858983,0.00027047776,-0.009015925,60
1,x,5,0.2590043723583222,0.23393914103507996,11445,10890,-135.0,1,0.006687563,0.0009952827,-0.03317609,61
2,x,5,0.2590043723583222,0.23393914103507996,12777,12358,-105.0,2,0.0063059856,0.0006676895,-0.022256317,62
3,x,5,0.2590043723583222,0.23393914103507996,11124,10451,-75.0,3,0.0068021724,0.0012494063,-0.041646875,63
4,x,5,0.2590043723583222,0.23393914103507996,5790,5491,-45.0,4,0.00940923,0.0010616052,-0.035386838,64
5,x,5,0.2590043723583222,0.23393914103507996,2324,2338,-15.0,5,0.014645708,0.00012028049,0.0040093497,65
6,x,5,0.2590043723583222,0.23393914103507996,2300,2338,15.0,6,0.014682791,0.00032816498,0.0109388335,66
7,x,5,0.2590043723583222,0.23393914103507996,5565,5763,45.0,7,0.009393017,0.000700086,0.0233362,67
8,x,5,0.2590043723583222,0.23393914103507996,10349,11167,75.0,8,0.0068086195,0.0015227591,0.050758637,68
9,x,5,0.2590043723583222,0.23393914103507996,12562,13180,105.0,9,0.006229535,0.00096158043,0.03205268,69
10,x,5,0.2590043723583222,0.23393914103507996,11242,11499,135.0,10,0.0066304924,0.00045265048,0.01508835,70
11,x,5,0.2590043723583222,0.23393914103507996,21073,21329,165.0,11,0.004856157,0.00024182044,0.008060682,71
0,x,6,0.28756390213966365,0.2590043723583222,21159,21004,-165.0,0,0.0048700008,0.00014724467,-0.004908156,72
1,x,6,0.28756390213966365,0.2590043723583222,12054,11683,-135.0,1,0.00648922,0.000626019,-0.020867301,73
2,x,6,0.28756390213966365,0.2590043723583222,12855,12062,-105.0,2,0.0063293586,0.0012747261,-0.04249087,74
3,x,6,0.28756390213966365,0.2590043723583222,11302,10644,-75.0,3,0.0067448774,0.0012009086,-0.040030286,75
4,x,6,0.28756390213966365,0.2590043723583222,5791,5595,-45.0,4,0.009369139,0.00068948424,-0.022982808,76
5,x,6,0.28756390213966365,0.2590043723583222,2408,2373,-15.0,5,0.014461718,0.0002932167,-0.0097738905,77
6,x,6,0.28756390213966365,0.2590043723583222,2266,2371,15.0,6,0.014678542,0.0009069673,0.030232245,78
7,x,6,0.28756390213966365,0.2590043723583222,5622,5840,45.0,7,0.009337481,0.00076179043,0.025393015,79
8,x,6,0.28756390213966365,0.2590043723583222,10708,11207,75.0,8,0.0067519387,0.00091200764,0.030400256,80
9,x,6,0.28756390213966365,0.2590043723583222,12149,12697,105.0,9,0.0063413745,0.0008834124,0.02944708,81
10,x,6,0.28756390213966365,0.2590043723583222,11430,12065,135.0,10,0.006519726,0.0010825244,0.03608415,82
11,x,6,0.28756390213966365,0.2590043723583222,21057,21472,165.0,11,0.004848647,0.00039084302,0.013028101,83
0,x,7,0.3227645635604859,0.28756390213966365,21466,21026,-165.0,0,0.0048507056,0.0004147486,-0.013824954,84
1,x,7,0.3227645635604859,0.28756390213966365,12589,12300,-135.0,1,0.006337881,0.00046508232,-0.015502744,85
2,x,7,0.3227645635604859,0.28756390213966365,12436,11815,-105.0,2,0.0064177266,0.0010256552,-0.034188505,86
3,x,7,0.3227645635604859,0.28756390213966365,11654,10848,-75.0,3,0.006658743,0.0014346744,-0.04782248,87
4,x,7,0.3227645635604859,0.28756390213966365,6102,5892,-45.0,4,0.009128497,0.0007012852,-0.023376174,88
5,x,7,0.3227645635604859,0.28756390213966365,2689,2527,-15.0,5,0.013834311,0.0012439898,-0.04146633,89
6,x,7,0.3227645635604859,0.28756390213966365,2521,2570,15.0,6,0.014014016,0.00038550713,0.012850238,90
7,x,7,0.3227645635604859,0.28756390213966365,5836,6095,45.0,7,0.009151222,0.0008694855,0.02898285,91
8,x,7,0.3227645635604859,0.28756390213966365,10789,11710,75.0,8,0.0066568507,0.0016395921,0.05465307,92
9,x,7,0.3227645635604859,0.28756390213966365,11859,12320,105.0,9,0.0064289505,0.0007636635,0.02545545,93
10,x,7,0.3227645635604859,0.28756390213966365,12417,12729,135.0,10,0.006305303,0.0004969642,0.016565474,94
11,x,7,0.3227645635604859,0.28756390213966365,21173,21455,165.0,11,0.0048432355,0.00026496808,0.008832269,95
0,x,8,0.3750255167484283,0.3227645635604859,22011,21788,-165.0,0,0.004778129,0.00020392952,-0.006797651,96
1,x,8,0.3750255167484283,0.3227645635604859,13679,12994,-135.0,1,0.006119397,0.0010286275,-0.034287583,97
2,x,8,0.3750255167484283,0.3227645635604859,12495,11821,-105.0,2,0.006408499,0.0011102152,-0.037007175,98
3,x,8,0.3750255167484283,0.3227645635604859,11832,11375,-75.0,3,0.006562062,0.00078874495,-0.026291499,99
4,x,8,0.3750255167484283,0.3227645635604859,6465,6385,-45.0,4,0.008821317,0.00024935973,-0.008311991,100
5,x,8,0.3750255167484283,0.3227645635604859,2981,2867,-15.0,5,0.013072214,0.0007807948,-0.026026495,101
6,x,8,0.3750255167484283,0.3227645635604859,2813,2794,15.0,6,0.013354582,0.00013572582,-0.004524194,102
7,x,8,0.3750255167484283,0.3227645635604859,6275,6601,45.0,7,0.008807675,0.0010140889,0.033802964,103
8,x,8,0.3750255167484283,0.3227645635604859,11349,11917,75.0,8,0.0065525193,0.0009778361,0.032594535,104
9,x,8,0.3750255167484283,0.3227645635604859,11947,12555,105.0,9,0.006384998,0.0009938972,0.03312991,105
10,x,8,0.3750255167484283,0.3227645635604859,13042,13654,135.0,10,0.0061174915,0.00091821555,0.030607186,106
11,x,8,0.3750255167484283,0.3227645635604859,21384,21570,165.0,11,0.004824929,0.0001734398,0.0057813264,107
0,x,9,0.6019378304481506,0.3750255167484283,21224,21356,-165.0,0,0.0048461123,0.00012416743,0.0041389144,108
1,x,9,0.6019378304481506,0.3750255167484283,14111,13821,-135.0,1,0.005982838,0.0004158487,-0.0138616245,109
2,x,9,0.6019378304481506,0.3750255167484283,12474,11513,-105.0,2,0.006447478,0.0016046742,-0.05348914,110
3,x,9,0.6019378304481506,0.3750255167484283,12079,11552,-75.0,3,0.0065022903,0.0008932395,-0.029774651,111
4,x,9,0.6019378304481506,0.3750255167484283,6887,6502,-45.0,4,0.008635861,0.0011517334,-0.038391117,112
5,x,9,0.6019378304481506,0.3750255167484283,3034,2941,-15.0,5,0.012934131,0.00062342535,-0.020780845,113
6,x,9,0.6019378304481506,0.3750255167484283,2948,2920,15.0,6,0.013054076,0.00019112053,-0.0063706846,114
7,x,9,0.6019378304481506,0.3750255167484283,6655,6844,45.0,7,0.008605445,0.00056078914,0.018692972,115
8,x,9,0.6019378304481506,0.3750255167484283,11699,12212,75.0,8,0.0064643207,0.0008593282,0.028644273,116
9,x,9,0.6019378304481506,0.3750255167484283,11567,12469,105.0,9,0.0064420355,0.0015030857,0.05010286,117
10,x,9,0.6019378304481506,0.3750255167484283,13681,13991,135.0,10,0.0060107843,0.00044870464,0.014956822,118
11,x,9,0.6019378304481506,0.3750255167484283,20862,21417,165.0,11,0.004862627,0.00052578445,0.017526148,119
0,z,0,0.23968752622604372,0.1212601587176323,24536,24578,-165.0,0,0.0045122905,3.42518e-05,0.0011417267,0
1,z,0,0.23968752622604372,0.1212601587176323,14231,13975,-135.0,1,0.005953843,0.00036352803,-0.012117601,1
2,z,0,0.23968752622604372,0.1212601587176323,17103,16384,-105.0,2,0.0054623983,0.00085998734,-0.028666245,2
3,z,0,0.23968752622604372,0.1212601587176323,11463,11286,-75.0,3,0.0066297236,0.00031163797,-0.010387933,3
4,z,0,0.23968752622604372,0.1212601587176323,12039,11861,-45.0,4,0.0064681424,0.00029830568,-0.0099435225,4
5,z,0,0.23968752622604372,0.1212601587176323,8053,8075,-15.0,5,0.007874247,5.463634e-05,0.0018212114,5
6,z,0,0.23968752622604372,0.1212601587176323,7830,7967,15.0,6,0.007955795,0.00034736443,0.011578815,6
7,z,0,0.23968752622604372,0.1212601587176323,11437,11863,45.0,7,0.0065492657,0.0007323068,0.024410227,7
8,z,0,0.23968752622604372,0.1212601587176323,11169,11305,75.0,8,0.006670304,0.00024238063,0.008079355,8
9,z,0,0.23968752622604372,0.1212601587176323,16460,16936,105.0,9,0.0054710936,0.0005708893,0.019029643,9
10,z,0,0.23968752622604372,0.1212601587176323,13490,13777,135.0,10,0.006055339,0.00042158383,0.014052794,10
11,z,0,0.23968752622604372,0.1212601587176323,24976,25120,165.0,11,0.004467816,0.000115132745,0.0038377582,11
0,z,1,0.2980115830898285,0.23968752622604372,20722,20589,-165.0,0,0.0049199774,0.00012895119,-0.004298373,12
