,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
0,x,0,0.14328244030475618,0.10672914981842041,23208,23225,-165.0,0,0.004640733,1.4664309e-05,0.0004888103,0
1,x,0,0.14328244030475618,0.10672914981842041,8929,8650,-135.0,1,0.007540591,0.000635696,-0.021189867,1
2,x,0,0.14328244030475618,0.10672914981842041,18997,18482,-105.0,2,0.005164555,0.00055037497,-0.018345833,2
3,x,0,0.14328244030475618,0.10672914981842041,8035,7955,-75.0,3,0.007907989,0.00020039226,-0.006679742,3
4,x,0,0.14328244030475618,0.10672914981842041,9092,8553,-45.0,4,0.007521902,0.0012235071,-0.040783573,4
5,x,0,0.14328244030475618,0.10672914981842041,4278,4267,-15.0,5,0.010817909,5.1560844e-05,-0.0017186948,5
6,x,0,0.14328244030475618,0.10672914981842041,4509,4397,15.0,6,0.010594914,0.00050370325,-0.016790109,6
7,x,0,0.14328244030475618,0.10672914981842041,8799,9080,45.0,7,0.0074770926,0.00062950986,0.020983662,7
8,x,0,0.14328244030475618,0.10672914981842041,8016,8079,75.0,8,0.007882221,0.0001567794,0.0052259797,8
9,x,0,0.14328244030475618,0.10672914981842041,18269,19006,105.0,9,0.005177735,0.0007919345,0.026397817,9
10,x,0,0.14328244030475618,0.10672914981842041,8959,8958,135.0,10,0.0074708043,2.2354973e-06,-7.4516574e-05,10
11,x,0,0.14328244030475618,0.10672914981842041,23253,23429,165.0,11,0.0046282816,0.00015100894,0.0050336313,11
0,x,1,0.16649549603462221,0.14328244030475618,24003,23434,-165.0,0,0.0045907716,0.0004804348,-0.016014494,12
1,x,1,0.16649549603462221,0.14328244030475618,9864,9611,-135.0,1,0.0071646655,0.00052033435,-0.017344479,13
2,x,1,0.16649549603462221,0.14328244030475618,17412,17042,-105.0,2,0.0053868582,0.00043013177,-0.014337726,14
3,x,1,0.16649549603462221,0.14328244030475618,10029,9621,-75.0,3,0.007131022,0.0008316431,-0.027721439,15
4,x,1,0.16649549603462221,0.14328244030475618,7744,7345,-45.0,4,0.008135775,0.0010591362,-0.035304543,16
5,x,1,0.16649549603462221,0.14328244030475618,2899,2961,-15.0,5,0.013061945,0.0004237732,0.014125774,17
6,x,1,0.16649549603462221,0.14328244030475618,2934,3002,15.0,6,0.012977835,0.00045883277,0.015294426,18
7,x,1,0.16649549603462221,0.14328244030475618,7704,7771,45.0,7,0.008038544,0.00017341375,0.0057804585,19
8,x,1,0.16649549603462221,0.14328244030475618,9662,9738,75.0,8,0.0071794833,0.00015691025,0.0052303416,20
9,x,1,0.16649549603462221,0.14328244030475618,16864,17725,105.0,9,0.005373918,0.0009970216,0.033234052,21
10,x,1,0.16649549603462221,0.14328244030475618,9813,9885,135.0,10,0.007124982,0.00014640293,0.0048800977,22
11,x,1,0.16649549603462221,0.14328244030475618,23654,23933,165.0,11,0.004583978,0.00023483092,0.007827697,23
0,x,2,0.18854448497295384,0.16649549603462221,23727,23793,-165.0,0,0.004587341,5.5629727e-05,0.0018543242,24
1,x,2,0.18854448497295384,0.16649549603462221,10650,10379,-135.0,1,0.006894875,0.0005161668,-0.01720556,25
2,x,2,0.18854448497295384,0.16649549603462221,16490,15574,-105.0,2,0.0055805244,0.0011442401,-0.03814134,26
3,x,2,0.18854448497295384,0.16649549603462221,11143,10659,-75.0,3,0.006769568,0.0008891775,-0.02963925,27
4,x,2,0.18854448497295384,0.16649549603462221,6933,6616,-45.0,4,0.00858686,0.0009371119,-0.031237064,28
5,x,2,0.18854448497295384,0.16649549603462221,2673,2701,-15.0,5,0.013640826,0.0002086891,0.0069563035,29
6,x,2,0.18854448497295384,0.16649549603462221,2644,2732,15.0,6,0.013635361,0.0006556361,0.021854537,30
7,x,2,0.18854448497295384,0.16649549603462221,6658,7079,45.0,7,0.008524918,0.0012275229,0.04091743,31
8,x,2,0.18854448497295384,0.16649549603462221,10221,10870,75.0,8,0.006879939,0.0012325001,0.041083336,32
9,x,2,0.18854448497295384,0.16649549603462221,15914,16740,105.0,9,0.0055307494,0.0010131717,0.03377239,33
10,x,2,0.18854448497295384,0.16649549603462221,10377,10735,135.0,10,0.006880563,0.00067919283,0.02263976,34
11,x,2,0.18854448497295384,0.16649549603462221,23381,24086,165.0,11,0.004589007,0.00059489015,0.019829672,35
0,x,3,0.21073120534420015,0.18854448497295384,24196,23682,-165.0,0,0.0045696967,0.0004299981,-0.0143332705,36
1,x,3,0.21073120534420015,0.18854448497295384,11398,10930,-135.0,1,0.006689674,0.0008395285,-0.027984284,37
2,x,3,0.21073120534420015,0.18854448497295384,15513,14926,-105.0,2,0.005729818,0.0007724086,-0.025746955,38
3,x,3,0.21073120534420015,0.18854448497295384,11648,10990,-75.0,3,0.0066413092,0.0011641991,-0.038806636,39
4,x,3,0.21073120534420015,0.18854448497295384,6595,6206,-45.0,4,0.008831212,0.0012171529,-0.040571764,40
5,x,3,0.21073120534420015,0.18854448497295384,2702,2540,-15.0,5,0.013800077,0.0012378198,-0.04126066,41
6,x,3,0.21073120534420015,0.18854448497295384,2610,2630,15.0,6,0.013814295,0.00015287558,0.005095853,42
7,x,3,0.21073120534420015,0.18854448497295384,6415,6643,45.0,7,0.008748703,0.00069935486,0.02331183,43
8,x,3,0.21073120534420015,0.18854448497295384,10913,11387,75.0,8,0.0066937986,0.00085135933,0.028378645,44
9,x,3,0.21073120534420015,0.18854448497295384,14974,15226,105.0,9,0.0057539963,0.00033422044,0.011140682,45
10,x,3,0.21073120534420015,0.18854448497295384,11126,11260,135.0,10,0.0066834064,0.00023975503,0.007991835,46
11,x,3,0.21073120534420015,0.18854448497295384,23426,23964,165.0,11,0.004593109,0.0004547105,0.015157017,47
0,x,4,0.23393914103507996,0.21073120534420015,23862,23293,-165.0,0,0.0046044714,0.00048330796,-0.016110266,48
1,x,4,0.23393914103507996,0.21073120534420015,11866,11581,-135.0,1,0.0065297894,0.00048685205,-0.016228402,49
2,x,4,0.23393914103507996,0.21073120534420015,14724,13944,-105.0,2,0.005902209,0.0010897744,-0.036325816,50
3,x,4,0.23393914103507996,0.21073120534420015,12109,11375,-75.0,3,0.006519818,0.0012518821,-0.0417294,51
4,x,4,0.23393914103507996,0.21073120534420015,6440,6232,-45.0,4,0.00888123,0.0006574422,-0.021914741,52
5,x,4,0.23393914103507996,0.21073120534420015,2643,2558,-15.0,5,0.013862871,0.0006545932,-0.021819774,53
6,x,4,0.23393914103507996,0.21073120534420015,2646,2622,15.0,6,0.013777458,0.00018247565,-0.0060825218,54
7,x,4,0.23393914103507996,0.21073120534420015,6214,6341,45.0,7,0.008923845,0.00040515987,0.013505329,55
8,x,4,0.23393914103507996,0.21073120534420015,11141,11844,75.0,8,0.0065904544,0.00122504,0.040834665,56
9,x,4,0.23393914103507996,0.21073120534420015,14113,14900,105.0,9,0.005867035,0.0010864795,0.036215983,57
10,x,4,0.23393914103507996,0.21073120534420015,11739,12006,135.0,10,0.006488809,0.00045037936,0.015012646,58
11,x,4,0.23393914103507996,0.21073120534420015,23242,23612,165.0,11,0.00461958,0.00031629656,0.010543219,59
0,x,5,0.2590043723583222,0.23393914103507996,23427,23038,-165.0,0,0.0046388456,0.00033532278,-0.011177426,60
1,x,5,0.2590043723583222,0.23393914103507996,12474,11977,-135.0,1,0.0063928086,0.00081414013,-0.027138006,61
2,x,5,0.2590043723583222,0.23393914103507996,13935,13488,-105.0,2,0.0060372567,0.00065287796,-0.021762598,62
3,x,5,0.2590043723583222,0.23393914103507996,12050,11391,-75.0,3,0.0065268828,0.0011260267,-0.037534226,63
4,x,5,0.2590043723583222,0.23393914103507996,6485,6093,-45.0,4,0.008908774,0.0012482854,-0.041609515,64
5,x,5,0.2590043723583222,0.23393914103507996,2734,2701,-15.0,5,0.013563943,0.00024319455,-0.008106485,65
6,x,5,0.2590043723583222,0.23393914103507996,2631,2704,15.0,6,0.013688641,0.00054805964,0.018268656,66
7,x,5,0.2590043723583222,0.23393914103507996,6230,6376,45.0,7,0.0089055225,0.00046388997,0.015462999,67
8,x,5,0.2590043723583222,0.23393914103507996,11245,12212,75.0,8,0.00651936,0.0016511763,0.05503921,68
9,x,5,0.2590043723583222,0.23393914103507996,13637,14200,105.0,9,0.0059914286,0.00081007526,0.02700251,69
10,x,5,0.2590043723583222,0.23393914103507996,12285,12557,135.0,10,0.0063439584,0.00043855267,0.014618423,70
11,x,5,0.2590043723583222,0.23393914103507996,23227,23330,165.0,11,0.004634529,8.861182e-05,0.0029537275,71
0,x,6,0.28756390213966365,0.2590043723583222,22962,22760,-165.0,0,0.004676596,0.0001769561,-0.005898537,72
1,x,6,0.28756390213966365,0.2590043723583222,13179,12723,-135.0,1,0.006211741,0.0007051329,-0.02350443,73
2,x,6,0.28756390213966365,0.2590043723583222,13790,13027,-105.0,2,0.0061021284,0.0011396036,-0.037986785,74
3,x,6,0.28756390213966365,0.2590043723583222,12153,11511,-75.0,3,0.0064963712,0.0010866416,-0.036221385,75
4,x,6,0.28756390213966365,0.2590043723583222,6332,6190,-45.0,4,0.008935387,0.00045420724,-0.015140242,76
5,x,6,0.28756390213966365,0.2590043723583222,2771,2727,-15.0,5,0.01348568,0.00032054377,-0.010684793,77
6,x,6,0.28756390213966365,0.2590043723583222,2600,2698,15.0,6,0.013734458,0.0007408897,0.024696324,78
7,x,6,0.28756390213966365,0.2590043723583222,6190,6444,45.0,7,0.0088935075,0.00080525276,0.02684176,79
8,x,6,0.28756390213966365,0.2590043723583222,11602,12125,75.0,8,0.0064891893,0.0008828731,0.029429104,80
9,x,6,0.28756390213966365,0.2590043723583222,13012,13709,105.0,9,0.0061137844,0.0010447671,0.03482557,81
10,x,6,0.28756390213966365,0.2590043723583222,12641,13217,135.0,10,0.0062159915,0.0008922098,0.029740328,82
11,x,6,0.28756390213966365,0.2590043723583222,22780,23115,165.0,11,0.0046676327,0.0002923606,0.009745354,83
0,x,7,0.3227645635604859,0.28756390213966365,22713,22254,-165.0,0,0.004715337,0.00040884453,-0.013628151,84
1,x,7,0.3227645635604859,0.28756390213966365,13498,13176,-135.0,1,0.006122087,0.00048351186,-0.016117062,85
2,x,7,0.3227645635604859,0.28756390213966365,13157,12530,-105.0,2,0.0062360927,0.0009776729,-0.032589097,86
3,x,7,0.3227645635604859,0.28756390213966365,12298,11495,-75.0,3,0.006476406,0.0013517792,-0.04505931,87
4,x,7,0.3227645635604859,0.28756390213966365,6555,6298,-45.0,4,0.008817448,0.0008008811,-0.026696038,88
5,x,7,0.3227645635604859,0.28756390213966365,2985,2804,-15.0,5,0.013131657,0.0012523175,-0.041743916,89
6,x,7,0.3227645635604859,0.28756390213966365,2795,2839,15.0,6,0.013321955,0.0003128061,0.010426871,90
7,x,7,0.3227645635604859,0.28756390213966365,6307,6604,45.0,7,0.008796606,0.000921374,0.030712469,91
8,x,7,0.3227645635604859,0.28756390213966365,11443,12412,75.0,8,0.0064650318,0.001626986,0.054232866,92
9,x,7,0.3227645635604859,0.28756390213966365,12581,13021,105.0,9,0.0062481104,0.0006883641,0.02294547,93
10,x,7,0.3227645635604859,0.28756390213966365,13318,13612,135.0,10,0.0060930634,0.0004372707,0.01457569,94
11,x,7,0.3227645635604859,0.28756390213966365,22416,22686,165.0,11,0.004708561,0.00023977691,0.007992564,95
0,x,8,0.3750255167484283,0.3227645635604859,22524,22293,-165.0,0,0.004723548,0.00020644702,-0.006881567,96
1,x,8,0.3750255167484283,0.3227645635604859,14084,13404,-135.0,1,0.006028252,0.0009908437,-0.033028126,97
2,x,8,0.3750255167484283,0.3227645635604859,12887,12261,-105.0,2,0.0063024336,0.0009970347,-0.033234492,98
3,x,8,0.3750255167484283,0.3227645635604859,12059,11633,-75.0,3,0.006494922,0.0007201903,-0.024006344,99
4,x,8,0.3750255167484283,0.3227645635604859,6633,6576,-45.0,4,0.008700772,0.00017284002,-0.005761334,100
5,x,8,0.3750255167484283,0.3227645635604859,3069,2959,-15.0,5,0.012876103,0.0007309015,-0.024363384,101
6,x,8,0.3750255167484283,0.3227645635604859,2890,2876,15.0,6,0.013169231,9.725072e-05,-0.0032416908,102
7,x,8,0.3750255167484283,0.3227645635604859,6492,6775,45.0,7,0.008678355,0.00085438404,0.028479468,103
8,x,8,0.3750255167484283,0.3227645635604859,11636,12169,75.0,8,0.0064784596,0.00089680584,0.029893529,104
9,x,8,0.3750255167484283,0.3227645635604859,12348,12903,105.0,9,0.0062903333,0.0008803469,0.029344898,105
10,x,8,0.3750255167484283,0.3227645635604859,13442,14083,135.0,10,0.0060245735,0.0009327605,0.031092016,106
11,x,8,0.3750255167484283,0.3227645635604859,21948,22141,165.0,11,0.0047624176,0.00017533412,0.005844471,107
0,x,9,0.6019378304481506,0.3750255167484283,21752,21918,-165.0,0,0.00478523,0.00015225247,0.005075082,108
1,x,9,0.6019378304481506,0.3750255167484283,14472,14161,-135.0,1,0.005909094,0.00043504377,-0.014501459,109
2,x,9,0.6019378304481506,0.3750255167484283,12864,11909,-105.0,2,0.0063450453,0.0015440601,-0.05146867,110
3,x,9,0.6019378304481506,0.3750255167484283,12398,11823,-75.0,3,0.0064222277,0.00095085695,-0.03169523,111
4,x,9,0.6019378304481506,0.3750255167484283,7062,6718,-45.0,4,0.008514008,0.0009998818,-0.033329394,112
5,x,9,0.6019378304481506,0.3750255167484283,3093,3017,-15.0,5,0.012791442,0.00049820927,-0.016606975,113
6,x,9,0.6019378304481506,0.3750255167484283,2974,2974,15.0,6,0.012966254,0.0,0.0,114
7,x,9,0.6019378304481506,0.3750255167484283,6824,6980,45.0,7,0.008510363,0.0004526464,0.015088214,115
8,x,9,0.6019378304481506,0.3750255167484283,11989,12474,75.0,8,0.0063913553,0.0007940931,0.02646977,116
9,x,9,0.6019378304481506,0.3750255167484283,11952,12834,105.0,9,0.0063446267,0.0014252844,0.04750948,117
10,x,9,0.6019378304481506,0.3750255167484283,14026,14399,135.0,10,0.005930388,0.0005255908,0.017519694,118
11,x,9,0.6019378304481506,0.3750255167484283,21456,22042,165.0,11,0.0047939676,0.0005395948,0.017986493,119
0,z,0,0.23968752622604372,0.1212601587176323,27417,27510,-165.0,0,0.0042668357,6.781667e-05,0.0022605557,0
1,z,0,0.23968752622604372,0.1212601587176323,15694,15505,-135.0,1,0.005661291,0.00024263897,-0.008087966,1
2,z,0,0.23968752622604372,0.1212601587176323,18979,18262,-105.0,2,0.0051801912,0.00077114714,-0.025704905,2
3,z,0,0.23968752622604372,0.1212601587176323,12622,12420,-75.0,3,0.0063188826,0.00032308872,-0.010769624,3
4,z,0,0.23968752622604372,0.1212601587176323,13319,13154,-45.0,4,0.00614587,0.00024964346,-0.008321449,4
5,z,0,0.23968752622604372,0.1212601587176323,9227,9175,-15.0,5,0.0073716445,0.0001131821,-0.0037727368,5
6,z,0,0.23968752622604372,0.1212601587176323,8927,9014,15.0,6,0.007465649,0.00019422808,0.0064742696,6
7,z,0,0.23968752622604372,0.1212601587176323,12665,13111,45.0,7,0.0062269634,0.0006930407,0.023101358,7
8,z,0,0.23968752622604372,0.1212601587176323,12292,12403,75.0,8,0.0063633774,0.00018003353,0.0060011176,8
9,z,0,0.23968752622604372,0.1212601587176323,18336,18733,105.0,9,0.0051933806,0.00042896223,0.014298742,9
10,z,0,0.23968752622604372,0.1212601587176323,14953,15276,135.0,10,0.0057510072,0.00042797477,0.014265826,10
11,z,0,0.23968752622604372,0.1212601587176323,28142,28120,165.0,11,0.00421592,1.566199e-05,-0.0005220663,11
0,z,1,0.2980115830898285,0.23968752622604372,23149,22881,-165.0,0,0.0046608634,0.00023320252,-0.0077734175,12
1,z,1,0.2980115830898285,0.23968752622604372,13234,13057,-135.0,1,0.0061670705,0.0002696532,-0.00898844,13
2,z,1,0.2980115830898285,0.23968752622604372,17937,16918,-105.0,2,0.00535225,0.0011709775,-0.039032582,14
3,z,1,0.2980115830898285,0.23968752622604372,11955,11188,-75.0,3,0.0065669636,0.0013274406,-0.044248022,15
4,z,1,0.2980115830898285,0.23968752622604372,11052,10671,-45.0,4,0.006782987,0.0007024972,-0.023416573,16
5,z,1,0.2980115830898285,0.23968752622604372,5597,5589,-15.0,5,0.009455019,2.8645378e-05,-0.000954846,17
6,z,1,0.2980115830898285,0.23968752622604372,5610,5686,15.0,6,0.009408494,0.00026948113,0.008982704,18
7,z,1,0.2980115830898285,0.23968752622604372,10504,10847,45.0,7,0.0068421247,0.00064345077,0.021448359,19
8,z,1,0.2980115830898285,0.23968752622604372,11392,11927,75.0,8,0.0065454757,0.0009189318,0.03063106,20
9,z,1,0.2980115830898285,0.23968752622604372,17054,17682,105.0,9,0.0053639356,0.00072413456,0.02413782,21
10,z,1,0.2980115830898285,0.23968752622604372,13084,13350,135.0,10,0.0061500603,0.00040304931,0.013434977,22
11,z,1,0.2980115830898285,0.23968752622604372,23203,23294,165.0,11,0.0046375226,7.838914e-05,0.0026129712,23
0,z,2,0.3451929092407227,0.2980115830898285,24008,23515,-165.0,0,0.004586764,0.00041551096,-0.013850366,24
1,z,2,0.3451929092407227,0.2980115830898285,13377,12985,-135.0,1,0.006157795,0.00059558963,-0.019852988,25
2,z,2,0.3451929092407227,0.2980115830898285,18226,17253,-105.0,2,0.0053054593,0.0010984516,-0.03661505,26
3,z,2,0.3451929092407227,0.2980115830898285,12356,11903,-75.0,3,0.006418426,0.0007479365,-0.024931217,27
4,z,2,0.3451929092407227,0.2980115830898285,10248,9757,-45.0,4,0.007066387,0.0009830653,-0.032768846,28
5,z,2,0.3451929092407227,0.2980115830898285,4744,4571,-15.0,5,0.010357979,0.0007438796,-0.024795987,29
6,z,2,0.3451929092407227,0.2980115830898285,4657,4744,15.0,6,0.010312877,0.00037066758,0.0123555865,30
7,z,2,0.3451929092407227,0.2980115830898285,10002,10265,45.0,7,0.0070232814,0.00051976345,0.017325448,31
8,z,2,0.3451929092407227,0.2980115830898285,11811,12481,75.0,8,0.0064117075,0.0011047168,0.036823895,32
9,z,2,0.3451929092407227,0.2980115830898285,17837,18226,105.0,9,0.005265311,0.0004320432,0.01440144,33
10,z,2,0.3451929092407227,0.2980115830898285,12921,13536,135.0,10,0.0061449795,0.000931052,0.031035068,34
11,z,2,0.3451929092407227,0.2980115830898285,23670,24063,165.0,11,0.004576826,0.00032977157,0.010992386,35
0,z,3,0.3884427964687348,0.3451929092407227,24972,24814,-165.0,0,0.004481697,0.0001271128,-0.0042370935,36
1,z,3,0.3884427964687348,0.3451929092407227,13430,12887,-135.0,1,0.006161933,0.0008264239,-0.027547464,37
2,z,3,0.3884427964687348,0.3451929092407227,18252,17559,-105.0,2,0.0052825883,0.0007750972,-0.025836576,38
3,z,3,0.3884427964687348,0.3451929092407227,12908,12292,-75.0,3,0.006296052,0.0009790831,-0.032636106,39
4,z,3,0.3884427964687348,0.3451929092407227,9446,9202,-45.0,4,0.0073217954,0.00052407925,-0.01746931,40
5,z,3,0.3884427964687348,0.3451929092407227,3995,4055,-15.0,5,0.011145012,0.00029853467,0.009951156,41
6,z,3,0.3884427964687348,0.3451929092407227,4051,4015,15.0,6,0.011134307,0.00017876548,-0.0059588496,42
7,z,3,0.3884427964687348,0.3451929092407227,9348,9722,45.0,7,0.0072389524,0.0007855256,0.026184186,43
8,z,3,0.3884427964687348,0.3451929092407227,12137,12889,75.0,8,0.00631618,0.0012035547,0.04011849,44
9,z,3,0.3884427964687348,0.3451929092407227,17607,18640,105.0,9,0.0052486714,0.0011414784,0.03804928,45
10,z,3,0.3884427964687348,0.3451929092407227,13167,13531,135.0,10,0.0061191157,0.0005460873,0.01820291,46
11,z,3,0.3884427964687348,0.3451929092407227,24514,24842,165.0,11,0.0045010406,0.00026617871,0.008872624,47
0,z,4,0.43131107091903687,0.3884427964687348,25835,25547,-165.0,0,0.00441146,0.00022450234,-0.0074834116,48
1,z,4,0.43131107091903687,0.3884427964687348,13504,12863,-135.0,1,0.00615518,0.00097372587,-0.03245753,49
2,z,4,0.43131107091903687,0.3884427964687348,18440,17660,-105.0,2,0.0052609676,0.0008654198,-0.028847327,50
3,z,4,0.43131107091903687,0.3884427964687348,13514,12728,-75.0,3,0.006168137,0.001199679,-0.0399893,51
