axis,axis_bin,total,total2,n,expval,var,std
pt,0,133318.75405867738,1401.3086949458502,16650648,0.008006820759088618,8.41594051376662e-05,0.00917384353134858
pt,1,191839.5088667537,3441.9043213689542,12519264,0.015323545287227243,0.00027492862891603803,0.016580971892987396
pt,2,224278.24198776472,5595.109543851396,10572866,0.021212625033530618,0.0005291951202139453,0.02300424135271462
pt,3,276094.3736904615,9545.719311894294,9528524,0.028975565752939438,0.001001804526316026,0.03165129580785005
pt,4,357907.52580689796,17761.78876458769,8451422,0.0423487935884515,0.0021016329525572587,0.04584357046039563
q2,0,354151.34420408506,8847.946984255923,21434993,0.016522111493299067,0.00041278048055699173,0.020316999792218134
q2,1,254575.45156248417,7348.295165510313,13242162,0.01922461389329659,0.0005549165457970182,0.023556666695375605
q2,2,202838.6892929081,6607.766995616995,9288821,0.021836860597583708,0.0007113676233795994,0.026671475838048398
q2,3,183006.64956350997,6714.885104574545,7391222,0.02475999903175821,0.0009084944940791919,0.03014124241100874
q2,4,188834.82883861664,8225.594270632862,6364685,0.029669155478804787,0.0012923802812510085,0.03594969097573731
x,0,213469.66665357893,4244.081923777856,15171082,0.01407082676460248,0.0002797481238180434,0.016725672596880622
x,1,259826.63752175256,6767.165220124162,14609561,0.017784698494482658,0.00046320111219143827,0.02152210752206759
x,2,267281.9673015785,8461.769696110696,12308824,0.021714663179973854,0.0006874555379607426,0.026219373332723696
x,3,228425.64716703133,8517.00689809417,8901709,0.0256608755877137,0.0009567832693265568,0.030931913444314382
x,4,214434.42582685276,9755.804978586882,6731558,0.031855095926805174,0.0014492638946050447,0.038069198764947035
z,0,1955719.287584502,8698.887582471516,601113790,0.0032534926333739607,1.447128266993559e-05,0.0038041139139010534
z,1,261856.7286739208,4583.414633850905,20060197,0.01305354721461214,0.0002284830235443755,0.015115654916158131
z,2,389388.9835947434,10835.357284569189,18837531,0.020670914017062184,0.0005752004791542216,0.023983337531591004
z,3,660582.2207385021,30670.92936887348,18231829,0.03623236158799548,0.0016822737892116834,0.04101553107313964
z,4,706387.5775798147,31502.336835168284,19019870,0.03713945350729604,0.0016562855295976931,0.04069748800107561
