,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
0,x,0,0.15648642741143703,0.10681463778018951,10167,10363,-165.0,0,0.006978631,0.00030591202,0.012746334,0
1,x,0,0.15648642741143703,0.10681463778018951,4838,4740,-135.0,1,0.010216968,0.00032785413,-0.013660588,1
2,x,0,0.15648642741143703,0.10681463778018951,8287,8296,-105.0,2,0.0077654803,1.739037e-05,0.00072459877,2
3,x,0,0.15648642741143703,0.10681463778018951,4016,3929,-75.0,3,0.011217772,0.0003508769,-0.01461987,3
4,x,0,0.15648642741143703,0.10681463778018951,4490,4327,-45.0,4,0.010646509,0.00059237424,-0.024682261,4
5,x,0,0.15648642741143703,0.10681463778018951,1841,1795,-15.0,5,0.016581587,0.000405381,-0.016890874,5
6,x,0,0.15648642741143703,0.10681463778018951,1886,1893,15.0,6,0.016267102,5.935408e-05,0.0024730866,6
7,x,0,0.15648642741143703,0.10681463778018951,4487,4571,45.0,7,0.010506318,0.00029715043,0.012381268,7
8,x,0,0.15648642741143703,0.10681463778018951,3940,4091,75.0,8,0.011155224,0.0006024719,0.025102993,8
9,x,0,0.15648642741143703,0.10681463778018951,8141,8498,105.0,9,0.0077492227,0.00068749633,0.028645681,9
10,x,0,0.15648642741143703,0.10681463778018951,4835,4713,135.0,10,0.010232472,0.00040942736,-0.017059473,10
11,x,0,0.15648642741143703,0.10681463778018951,9971,10247,165.0,11,0.0070316745,0.00043742167,0.018225903,11
0,x,1,0.18760498613119125,0.15648642741143703,10693,10563,-165.0,0,0.0068587465,0.00019597076,-0.008165448,12
1,x,1,0.18760498613119125,0.15648642741143703,5112,5113,-135.0,1,0.009889363,3.1337624e-06,0.00013057343,13
2,x,1,0.18760498613119125,0.15648642741143703,7843,7712,-105.0,2,0.008017474,0.00026985514,-0.011243965,14
3,x,1,0.18760498613119125,0.15648642741143703,4774,4722,-75.0,3,0.01026167,0.00017546564,-0.007311068,15
4,x,1,0.18760498613119125,0.15648642741143703,3966,3713,-45.0,4,0.011400584,0.0010557115,-0.043987982,16
5,x,1,0.18760498613119125,0.15648642741143703,1546,1568,-15.0,5,0.017919313,0.00022637761,0.009432401,17
6,x,1,0.18760498613119125,0.15648642741143703,1558,1524,15.0,6,0.018010948,0.0003534888,-0.014728701,18
7,x,1,0.18760498613119125,0.15648642741143703,3849,3891,45.0,7,0.011366274,0.00017387525,0.0072448016,19
8,x,1,0.18760498613119125,0.15648642741143703,4605,4767,75.0,8,0.010326858,0.0005538755,0.023078145,20
9,x,1,0.18760498613119125,0.15648642741143703,7743,7844,105.0,9,0.008009446,0.00020762911,0.008651213,21
10,x,1,0.18760498613119125,0.15648642741143703,5164,5213,135.0,10,0.009816472,0.00015130514,0.006304381,22
11,x,1,0.18760498613119125,0.15648642741143703,10407,10517,165.0,11,0.0069130063,0.00016845248,0.007018853,23
0,x,2,0.21684632450342178,0.18760498613119125,10733,10621,-165.0,0,0.00684305,0.0001680615,-0.0070025623,24
1,x,2,0.21684632450342178,0.18760498613119125,5525,5361,-135.0,1,0.009582481,0.0004827307,-0.02011378,25
2,x,2,0.21684632450342178,0.18760498613119125,7528,7092,-105.0,2,0.008263838,0.0009555833,-0.03981597,26
