axis,axis_bin,axis_value,value,stat,sys
z,0,0.05,0.0059,0.0004,0.0004
z,1,0.15,0.0071,0.0009,0.0002
z,2,0.25,0.0070,0.0010,0.0010
z,3,0.35,0.0110,0.0010,0.0010
z,4,0.45,0.0150,0.0010,0.0010
z,5,0.55,0.0290,0.0020,0.0030
z,6,0.65,0.0390,0.0050,0.0000
z,7,0.75,0.0490,0.0050,0.0002
z,8,0.85,0.0520,0.0030,0.0003
z,9,0.95,0.0660,0.0030,0.0004
x,0,0.14,0.0180,0.0030,0.0040
x,1,0.24,0.0230,0.0030,0.0010
x,2,0.34,0.0260,0.0030,0.0010
x,3,0.44,0.0270,0.0020,0.0030
x,4,0.54,0.0260,0.0060,0.0020
pt,0,0.10,0.0170,0.0040,0.0030
pt,1,0.30,0.0280,0.0020,0.0030
pt,2,0.50,0.0240,0.0030,0.0030
pt,3,0.70,0.0230,0.0040,0.0030
pt,4,0.90,0.0290,0.0050,0.0030
q2,0,1.35,0.0180,0.0020,0.0030
q2,1,2.05,0.0260,0.0040,0.0010
q2,2,2.75,0.0300,0.0020,0.0010
q2,3,3.45,0.0310,0.0040,0.0030
q2,4,4.15,0.0190,0.0050,0.0040
